[00:00] 直接切入正題
[04:15] 一路暴增到最新的2026年第一季
[04:19] 居然攀升到了152.67天
[04:22] 這意味著倉庫裡這批貨
[04:24] 依照現在的銷售速度
[04:26] 需要將近五個月的時間
[04:29] 才有辦法全部賣光
[04:31] 把零預收款加上152天的存貨
[04:34] 就是我們眼前的這顆超級定時炸彈
[04:38] 傅鼎帳上現在累積了高達7.86億元的龐大存貨
[04:43] 而且絕大多數都是基於樂觀預期
[04:46] 先生產出來的新血
[04:47] 根本不是實質訂單
[04:49] 一旦下半年需求不如預期
[04:52] 或者散熱風扇陷入同業的消價競爭
[04:55] 這7.86億元的高價庫存
[04:58] 將面臨巨額的存貨疊價損失
[05:01] 這會像一個巨大的黑洞
[05:03] 直接吞噬掉公司好不容易
[05:05] 擠出來的38.1%毛利率
[05:08] 當然我們不能只有空口說白話
[05:11] 我們必須精準量化風險
[05:14] 現在進入第三部分
[05:16] 孤職與敏感度舉證
[05:18] 來看看260元到底有多非理性
[05:22] 從法人的目標價舉證來看
[05:24] 目前所有專業券商給出的目標價共勢
[05:27] 大多落在80元上下
[05:29] 退一萬步來說
[05:30] 就算我們將所有假設推向極致
[05:33] 給予附頂毫無瑕疵的牛式情境
[05:36] 假設EPS真的暴衝
[05:37] 市場也願意給出22倍的成長本益比
[05:40] 算出來的絕對天花板
[05:42] 也只有187元
[05:44] 但是現在市場定價是260元
[05:47] 這完全是貪婪堆棄出來的海式滲樓
[05:50] 在這裡進場
[05:51] 下檔腰斬的風險絕對遠遠大於
[05:53] 那微乎其微的上漲空間
[05:55] 這就引發了我們今天
[05:57] 最後的逆向紅軍致命警告
[06:00] 究竟戳破這個泡沫的
[06:02] 供應鏈骨牌效應
[06:04] 會從哪裡開始倒下
[06:06] 查理蒙格說過
[06:07] 反過來想總是反過來想
[06:10] 在法說會的Q&A環節中
[06:12] 我們秀到了正在發生的
[06:14] 供應鏈毀滅骨牌
[06:16] 第一步
[06:17] 近期記憶體價格瘋狂飆升
[06:19] 這直接導致了第二步
[06:21] 二三線PC品牌廠
[06:23] 面臨嚴重的成本夾擊
[06:25] 他們根本買不起新的DRAM
[06:27] 甚至開始找電子回收料
[06:29] 來壓低成本
[06:30] 終端整機的成本
[06:32] 已經到了崩潰臨界點
[06:34] 而第三步
[06:34] 也就是最致命的一集
[06:36] 如果這些PC廠因為缺料
[06:39] 或者成本過高
[06:40] 而停止出貨
[06:42] 佔府頂營收將近19%的
[06:44] PC低壓元件訂單
[06:45] 將會遭到無情的大幅砍單
[06:48] 這是一個從下游反噬上有
[06:50] 極度恐怖的斷鏈危機
[06:53] 所以如果你現在
[06:54] 還留在這個市場裡
[06:56] 請務必把這三大指標
[06:58] 當作你的保命雷達
[07:00] 第一
[07:00] 緊盯每月營收
[07:02] 如果AI大單是真的
[07:04] 月營收必須常態性的突破
[07:06] 3.5億元大關
[07:08] 第二
[07:09] 緊盯接下來財報的
[07:10] 存貨週短天數
[07:12] 必須迅速降回到
[07:13] 100天以上的安全水位
[07:16] 否則存貨疊加損時
[07:17] 隨時會引爆
[07:19] 第三
[07:20] 密切追蹤
[07:21] 音飛鈴等國際IDM
[07:22] 巨頭的報價動態
[07:24] 因為這攸關著
[07:25] 腹頂毛利率的生死存亡
[07:28] 最後
[07:28] 留給大家一個問題
[07:30] 去思考
[07:31] 當市場的熱錢退去
[07:33] 當這場260元的
[07:34] AI派對加然而止
[07:36] 面對倉庫裡
[07:37] 那高達7.86億元
[07:40] 需要152天才能消化完
[07:43] 而且完全沒有合約保護的
[07:45] 龐大存貨
[07:46] 究竟誰來買單
[07:48] 這份圖解分析就到這裡
[07:50] 希望這些層層
[07:51] 波斯抽檢的數據
[07:52] 能幫你在瘋狂的市場中
[07:54] 找到理性的定毛點
[07:56] 我們下次見
