[00:00] 直接切入正題,今天這份解析,我們要直擊穩貌,代號3105。
[04:36] 訂單做不完?
[04:38] 好,那我必須來潑個冷水了。
[04:41] 大家注意這個極度驚悚的數字,
[04:44] 75.84億元。
[04:46] 這是什麼?
[04:47] 這是穩冒第二季底的期末存貨數字,
[04:51] 直接創下2018年以來的歷史新高。
[04:55] 相較於第一季底,單季暴增了24.44億。
[04:59] 連帶讓他們的流動比率從223%,
[05:03] 最減到162%,
[05:05] 我就問一句,這到底是被迫堆積的無效呆帳,
[05:09] 還是一顆隨時會引爆的計時炸彈?
[05:12] 唉,這就是我們的逆向觀點出場的時候了。
[05:17] 現在悲觀派的外資共識,
[05:20] 死死盯著智慧型手機市場不放,
[05:23] 擔心記憶體缺貨會導致手機成本大漲,
[05:26] 最終反噬到手機PA的拉貨動能,
[05:29] 但他們完全忽略了結構性的質變。
[05:32] 第一,折舊高原期已經過了,
[05:35] 單季7.6億元的折舊費用,
[05:37] 就是現在最超強的毛利率防禦盾。
[05:40] 第二,穩冒正在脫離手機週期的宿命,
[05:44] 高毛利的基礎設施營收暫比,
[05:47] 在上半年就已經追平傳統手機PA了,
[05:50] AI光通訊晶片,更是在第二季末大舉量產,
[05:54] 至於你說的那個75.84億存貨,
[05:57] 財報細節其實寫得很清楚,
[06:00] 高達70%都是原物料,
[06:02] 而且穩冒第一季的合約負債年增率高達28.04%,
[06:07] 這明明就是訂單能見度極高,
[06:10] 為了確保下半年忘記不斷料而進行的戰略屯兵啊。
[06:15] 既然如此,那我們直接攤牌
[06:18] 來看最殘酷的孤職與敏感度矩陣,
[06:22] 這裡存在著極致的預期落差。
[06:26] 在最慘的熊市情境下,
[06:28] 如果高階手機真的被通膨抑制,
[06:31] 法說會承諾跳票,
[06:33] 產能利用率掉到不到60%,
[06:36] EPS只剩3.32元的話,
[06:38] 目標價將直接下殺到90-116元。
[06:43] 但反觀牛市情境,
[06:45] 如果AI光通訊超預期放量,
[06:48] 產能利用率衝破75%,
[06:51] 市場給出40-50倍的本益比,
[06:54] 目標價將直接上看562.5-590元。
[06:59] 這絕對是一個風險與報酬極度拉扯的決戰時刻。
[07:04] 沒錯,目前外資圈對穩冒的目標價預估
[07:08] 簡直是天差地遠,
[07:10] 但是大家看,
[07:12] 根據FactSet的最新調查,
[07:14] 12位分析師對2026年EPS的預估中位數
[07:19] 已經悄悄上修到了6.7救援,
[07:23] 甚至有極度樂觀的機構指出,
[07:26] 如果2027年光通訊跟低軌衛星全面大放量,
[07:31] 長線合理目標價是又望朝800元挺進的,
[07:35] 這顯示市場正逐步給予穩冒一種
[07:38] 先反映未來三年成長期的高估值議價。
[07:42] 樂觀歸樂觀,
[07:44] 但作為嚴謹的分析者,
[07:46] 我們現在必須切換視角,
[07:48] 進入致命情境分析,
[07:51] 也就是紅軍壓力測試,
[07:54] 只要以下三個極端情境發生任何一個,
[07:57] 股價就會瞬間崩盤。
[07:59] 第一,單一客戶流失或技術路見改變,
[08:03] 如果大客戶在2027年轉向歸光子封裝,
[08:07] 也就是把光電整合在一起的次世代技術,
[08:10] 那穩冒新貨重的資本支出馬上就會變成無效產能,
[08:15] 估值直接念零百分之三十的修整。
[08:18] 第二,手機供應鏈斷料惡化引發消費緊縮。
[08:22] 如果手機PA拉貨動能不增繁減,
[08:25] 那你剛剛說的那75.84億元存貨,
[08:28] 就會變成超恐怖的疊價損失,
[08:30] EPS絕對會重挫兩成以上。
[08:33] 第三,地緣政治引發化學原料斷供與會對逆轉。
[08:37] 一旦缺料讓產能利用率跌破55%,
[08:41] 加上台幣強勢升值,
[08:43] 獲利將直接被打回原形。
[08:45] 這些風險的確存在,
[08:47] 所以我們幫大家準備了實戰級的未來一個月觀察清單。
[08:52] 身為投資人,這四大領先指標,
[08:55] 你接下來一個月必須死死盯住。
[08:58] 第一,緊盯八九月的月營收,
[09:00] 依照財策推算,
[09:02] 第三季營收目標應該會落在58.3億至59.4億元。
[09:07] 如果沒達標,
[09:08] 那就是手機忘記出現虛火,
[09:10] 股降絕對面臨修整。
[09:12] 第二,第三季毛利率有沒有佔穩30%,
[09:16] 如果意外跌破,
[09:17] 代表產能利用率復甦停滯,
[09:19] 轉型緊臨大作。
[09:21] 第三,第三季財報公佈時,
[09:23] 那75.84億元的歷史天量存貨,
[09:26] 必須看到結構性的去化下滑,
[09:29] 否則待致風險極高。
[09:31] 最後,持續追蹤AI光通訊發射端,
[09:34] 也就是高階的EML和VCSEL雷射晶片的
[09:37] 客戶驗證進度,
[09:39] 這攸關2027年光通訊占比,
[09:41] 能否挑戰雙位數的大夢,
[09:44] 那帽究竟是即將迎來黃金交叉的
[09:47] 御活鳳凰,還是會被75億存貨壓垮的
[09:50] 未爆彈,你的觀察清單準備好了嗎?
