[00:00] 歡迎來到本次的深度解析
[05:57] 財務法醫深度檢視
[05:59] 我們要來做個管理層說法
[06:02] 與財報冷數字的交叉比對
[06:05] 既然管理層在法說會上底氣這麼足
[06:08] 那我們當然得拿出財務法醫的精神
[06:12] 把他們極度樂觀的說法
[06:14] 跟第一季冷冰冰的財報數據
[06:16] 拿來對戒一下
[06:18] 結果我們發現了一個超級反常
[06:21] 甚至有點嚇人的矛盾
[06:23] 管理層一級強調訂單需求強勁
[06:25] 6月營收也的確暴增了
[06:27] 但是通常用來代表客戶
[06:30] 預付款與訂單能見度的合約負債
[06:33] 在今年第一季
[06:34] 竟然大幅下滑了15.84%
[06:37] 絕對金額只剩下0.85億元
[06:40] 這聽起來超不合理的對吧
[06:42] 一家公司怎麼可能業績狂飆
[06:44] 但預購訂單卻再大衰退
[06:46] 這到底是怎麼回事
[06:48] 經過我們抽絲剝剪
[06:50] 這個謎團的解答
[06:51] 其實正是麗龍店訂單結構
[06:54] 直變的最強鐵證
[06:56] 你想想看
[06:57] 過去疫情期間
[06:58] 消費性電子客戶怕缺料
[07:01] 風廣雜劇而預付款
[07:02] 去包下標準品產能
[07:04] 所以合約負債很高
[07:06] 但現在呢
[07:07] 麗龍店面對的是國際車廠
[07:10] 跟AI伺服器代工廠
[07:12] 這些頂尖客戶的
[07:13] 供應鏈管理能力極強
[07:15] 他們用的是JIT即時拉貨模式
[07:18] 加上麗龍店的交旗
[07:19] 比日系對手更短更靈活
[07:22] 這些頂級客戶
[07:23] 根本不需要用長天旗的巨額定金
[07:26] 去死綁產能
[07:27] 所以和約付債下降
[07:29] 反而是證明了他們的商業模式
[07:32] 成功從標準品囤貨
[07:34] 升級為客製化即時供貨了
[07:37] 所以最關鍵的一點來了
[07:40] 那就是他們盈餘的真實含金量
[07:43] 第一季財報顯示
[07:45] 他們的營業現金對稅後經歷比
[07:47] 高達了75.63%
[07:49] 這完美證明了
[07:51] 營收暴增絕對不是靠著
[07:53] 把庫存硬塞給下游代理廂
[07:55] 所做出來的假象
[07:57] 而是實實在在白花花的現金入賬
[08:00] 他們現在賬上
[08:01] 可是躺著高達44.65億台幣的現金時
[08:06] 這無疑為他們泰國廠的擴充
[08:08] 跟自動化升級
[08:09] 提供了最無懈可及的財務後盾
[08:12] 接著
[08:13] 我們看第四部分
[08:15] 逆向紅軍測試
[08:18] 我們必須來檢驗一下
[08:20] 空方的致命情境
[08:23] 作為理性的投資人
[08:25] 我們絕對不能只看美好的一面
[08:27] 我們必須反過來問自己
[08:29] 如果這家公司在2026
[08:32] 甚至2027年的獲利目標徹底搞砸了
[08:35] 究竟會是哪個環節出了致命錯誤
[08:38] 第一個致命情境
[08:40] 就是這個數字
[08:41] 3200
[08:42] 如果倫敦金屬交易所的履價
[08:45] 因為綠能轉型的關係
[08:47] 長期佔穩在每噸3200美元以上
[08:50] 一旦中端伺服器與網通廠受不了
[08:53] 拒絕接受進一步的漲價
[08:55] 成本轉價談判破裂
[08:57] 利融點就得自己吞下成本
[08:59] 到時候毛利率絕對會直接摔破28%
[09:03] 原本享有的AI轉型高估值
[09:05] 就會瞬間崩塌
[09:08] 第二個潛在危機
[09:10] 則藏在55%這個數字裡
[09:13] 資料顯示
[09:14] 他們目前高達55%的營收
[09:17] 還是高度依賴中國客戶
[09:19] 如果中國境內的電動車市場
[09:21] 爆發極度慘烈的價格內捲戰
[09:24] 甚至出現倒閉潮
[09:26] 車廠為了活下去
[09:28] 絕對會強制要求上游供應商
[09:30] 大幅降價
[09:32] 甚至延遲付款
[09:33] 這對他們好不容易建立起來的
[09:35] 車用電子板塊
[09:37] 絕對會是個毀滅性的衝擊
[09:40] 至於第三個致命情境
[09:42] 就是泰國廠的AEC-200認證平靜
[09:45] 前面提過
[09:46] 泰國廠是他們跨出大中華區的
[09:49] 唯一解藥
[09:50] 但如果因為跨國管理文化差異
[09:52] 或是自動化社會轉移不順利
[09:55] 導致新廠初期良率
[09:57] 遲遲無法達標
[09:58] 拿不到這張極度嚴格的
[10:00] 頂級車用認證
[10:01] 那他們就會徹底措施
[10:03] China Plus One的轉單紅利
[10:05] 未來幾年
[10:06] 不僅吃不到新頂單
[10:08] 還有悲傷超沉重的廠方
[10:09] 先知者就費用
[10:11] 這殺傷力可是很大的
[10:13] 最後
[10:14] 來到第五部分
[10:15] 投資人行動清單
[10:17] 帶大家看看
[10:18] 未來一到三個月的
[10:20] 關鍵追蹤指標
[10:22] 了解了支撐基本面的強項
[10:25] 與潛在致命風險後
[10:27] 我們來到了
[10:28] 本次解析的最精華階段
[10:31] 這份估值舉證
[10:32] 非常完美地展現了
[10:33] 目前市場極端估值的拉扯
[10:36] 如果一切符合法說會的預期
[10:39] 市場共識給的基準目標價
[10:41] 大約會落在
[10:42] 321到370元之間
[10:45] 這裡面隱含了
[10:46] 高達30倍以上的轉型溢價
[10:49] 如果在AI出貨大爆發的
[10:50] 牛市劇本下
[10:52] 甚至可能挑戰
[10:53] 397到454元
[10:55] 但各位千萬別忘了
[10:57] 如果剛剛提到的風險成真
[10:59] 獲利跳票了
[11:00] 被打回傳統
[11:02] 零組見評價的雄市目標價
[11:04] 可是會一路暴跌到
[11:05] 127到153元的區間
[11:09] 所以我們接著來看一份
[11:11] 具體可操作的
[11:13] 四大領先指標清單
[11:15] 未來一到三個月
[11:17] 請各位務必緊盯這四個燈號
[11:20] 第一
[11:21] 每個月初確認
[11:22] 履價是不是安穩在
[11:24] 3200美元以上
[11:27] 第二
[11:27] 接下來的財報中
[11:29] AI營收占比
[11:31] 有沒有顯著突破8%到10%的
[11:34] 關鍵門檻
[11:35] 第三
[11:36] 密切關注泰國廠的
[11:38] 車規認證
[11:39] 何時正式達標
[11:41] 最後
[11:42] 傳統旺季的單月營收年增率
[11:45] 必須使手在15%以上
[11:48] 這400鑰匙
[11:49] 將直接決定
[11:50] 這個高速成長的故事
[11:52] 能不能繼續延下去
[11:54] 總結來說
[11:56] 麗龍店確實在這波
[11:57] AI與車用的浪潮中
[11:59] 展現了讓人驚豔的轉型成績
[12:02] 還有超級長大的財務底氣
[12:05] 但在節目的最後
[12:06] 我想留下一個深刻的問題
[12:08] 讓大家去思考
[12:10] 究竟
[12:10] 這家公司是真的完成了
[12:12] 結構性的進化
[12:13] 永遠逃離了傳統零組件
[12:15] 容易被殺價的低毛利泥沼
[12:18] 還是說
[12:18] 這一切只不過是另一場
[12:20] 披著AI革命外衣
[12:22] 隨時會反轉的景氣循環高峰呢
[12:25] 所有的數據
[12:27] 邏輯我們都攤在眼前了
[12:29] 接下來就看市場
[12:30] 會給出什麼樣的最終解答
[12:32] 感謝大家收看本次的解析
[12:34] 我們下次見囉
