[00:00] 今天我們不廢話直接切入正題
[05:15] 估值舉證大對決
[05:17] 我們把華爾街最殘酷的現實攤開來
[05:20] 直接來算算這筆賬
[05:22] 主持人A 根據FESSA調查
[05:25] 法人對瑞玉2026年的EPS共識預估
[05:29] 平均值落在新台幣32.50元
[05:33] 我們把這32.50元的共識EPS
[05:36] 帶入三階段定價模型
[05:38] 這就會得出這家公司未來的命運舉證
[05:41] 向下看是極度保守的Burry防線390元
[05:46] 中間是法人共識的合理價大概569元
[05:50] 向上看就是你口中升級成功的瘋狂價812元
[05:55] 你說說看現在的股價
[05:57] 到底該放在哪個位階
[05:59] 我先說最壞的情況
[06:01] 如果第三季漲價失敗
[06:03] 或是PC需求繼續爛下去
[06:05] 我們用2026年預估的EPS32.50元
[06:09] 乘上比較保守的15倍本益比
[06:11] 再打個八折的風險折扣
[06:13] 算出來的Burry防線便宜價
[06:16] 只有新台幣390元
[06:18] 這才是真正具有極高安全編輯的數字
[06:21] 390元真的太誇張了啦
[06:25] 如果你去參考同業
[06:27] 像是聯發科聯用的前瞻本益比
[06:29] 市場平均的毛點大約是落在17.5倍
[06:33] 用32.50乘上17.5倍
[06:36] 得出新台幣568.75元
[06:39] 這才是法人共識真正的價值回歸合理中樞
[06:44] 而且你要想
[06:45] 如果你把剛才提到的WiFi7
[06:48] 換集潮給算進去
[06:50] 一旦升級成功
[06:51] 市場絕對會給予更高的估值溢價
[06:54] 如果我們給予歷史高點的25倍本益比
[06:58] 算出來的瘋狂價可是高達新台幣812.50元
[07:03] 這才是潛在最驚人的上漲空間
[07:05] 好了好了
[07:06] 把你的瘋狂價先收起來
[07:09] 我們回到現實吧
[07:10] 目前的報告結論其實寫得非常清楚
[07:14] 瑞玉現在的股價交易在568到600元之間
[07:18] 這相當於22.7倍到24.9倍的前瞻本益比
[07:24] 這已經極度逼近歷史區間的上援了
[07:27] 在第三季報價調漲的效益還沒被真正驗證
[07:31] 而且短期毛利率還在承受壓力的情況下
[07:34] 現在的風險回報比其實是中性偏空的
[07:38] 追高絕對非常危險
[07:41] 為了證明我的擔憂是有道理的
[07:44] 我們進入第三部分
[07:47] 致命情境
[07:48] 紅軍測試
[07:50] 我們直接換上空頭戰袍
[07:53] 來進行一場事前驗失
[07:56] 看看崩盤的黑天鵝
[07:58] 思音到底可能會是什麼
[08:01] 主持人 A
[08:02] 這裡隱藏著一個單一最大的致命斷點
[08:07] 如果時間來到2026年底
[08:10] 投資這檔股票遭遇了50%的嚴重虧損
[08:14] 思音絕對只有一個
[08:15] 那就是DRAM漲價潮引發WiFi 7升級海嘯中斷
[08:21] 你要知道 WiFi 7是需要搭載更高容量DRAM的
[08:26] 一旦DRAM的漲勢失控
[08:28] 總物料成本超出極限
[08:30] 電信商跟品牌廠絕對會直接推遲整個升級週期
[08:36] 這會導致銳欲高毛利接棒的計畫完全落空
[08:39] 毛利率很有可能直接摔回40%以下
[08:43] 主持人 A
[08:44] 散戶朋友們大家一定要睜大眼睛看
[08:47] 這三個致命威脅
[08:50] 第一客戶完全不接受漲價
[08:52] 直接把訂單轉給中國大陸的低較金變場
[08:56] 第二就是我們剛才提到的那
[08:58] 243.1億元的高額存貨
[09:01] 如果在下半年PC虛除進一步萎縮
[09:05] 2027年馬上就要面臨巨額的跌價損失
[09:08] 第三高達營收27.2%的研發費用
[09:12] 如果最後不能成功轉化為100G光收發晶片
[09:16] 或者是車用營收
[09:18] 那營業利益率絕對只會持續惡化
[09:21] 好啦 A
[09:22] 剛才已經把最可怕的地獄劇本都給講完了
[09:25] 但身為聰明的投資人
[09:27] 我們現在進入第四部分
[09:29] 散戶行動與觀察清單
[09:31] 讓我來帶大家找出操作的甜蜜點
[09:33] 還有關鍵催化劑
[09:35] 這個核心催化劑的時間走非常關鍵
[09:39] 大家請務必記下來
[09:41] 首先緊盯8月跟9月初
[09:44] 即將公佈的月度營收數據
[09:47] 這是檢驗客戶到底接不接受第三季新報價的第一個領先指標
[09:53] 接著 10月底的第三季法說會
[09:56] 將會正式揭曉毛利率到底有沒有指跌回神
[10:01] 最後就是明年第一季 100G光收發起晶片
[10:05] 能不能如期量產
[10:07] 這將決定他們長線的成長動能
[10:10] 另外提醒一下
[10:11] 外資也正經盯著他們的營業費用率
[10:15] 看能不能好好控制在37%左右
[10:18] 那大家最關心的到底什麼時候可以買
[10:21] 如果你認同升級週期的邏輯
[10:24] 堅硬的進場甜蜜點
[10:25] 是懂股價拉回到了合理估值的下元
[10:28] 也就是新台幣565元到585元這個區間的時候再進行分皮佈局
[10:34] 那如果第三季毛利率真的重回48.5%以上
[10:37] 到時候再考慮帶量突破季線時進行加碼
[10:41] 我必須冷酷的切入一下
[10:43] 請各位牢記這個冷冰冰的數字
[10:46] 新台幣516元
[10:49] 這是除息參考價的強之稱位
[10:52] 不管你對剛才那個萬能物業管家的故事有多麼心動
[10:56] 一旦股價跌破這個鐵板價
[10:58] 就代表基本面的邏輯已經徹底崩壞了
[11:02] 請你無情停損
[11:03] 千萬不要留戀
[11:05] 所以最後的問題我們要留給大家來思考
[11:09] 瑞與究竟能不能靠著WiFi 7跟AIPC的規格升級
[11:14] 強勢逼迫市場為這套豪宅服務買單
[11:18] 還是說那些高昂的D-RAN記憶體跟代工磚頭成本
[11:22] 最終會成為壓垮這位萬能管家獲利的最後一根稻草
[11:27] 即將開出的8月營收將是第一張先開的底牌
[11:31] 我們拭目以待
