[00:00] 强帽 代号2481
[00:02] 我们今天废话不多说
[03:31] 我们必须无情力
[03:32] 把这堆数字给拆解开来
[03:34] 所以我们直接翻开财报名系
[03:37] 来戳破这个8.97亿的假新闻
[03:40] 真正的数字
[03:41] 其实只有1.35亿台币
[03:43] 完全正确
[03:44] 那个所谓的8.97亿
[03:47] 根本只是强帽整计推销
[03:49] 管理和研发费用的总和
[03:51] 那本来就是维持一间
[03:53] 百亿级IDM大厂正常运作的开销
[03:55] 真正一厂的
[03:56] 就有这笔因为美国跨国律师事务所诉讼
[03:59] 所提列的1.35亿元准备金
[04:02] 媒体直接把恐慌金额
[04:03] 夸大的将近7倍
[04:05] 这才是本业优良的财报
[04:07] 被诬情挫杀的真正真相
[04:09] 好 我们澄清的乌龙
[04:11] 证明强帽本业其实很为赚钱
[04:13] 那他现在就真的
[04:15] 100%安全了吗
[04:16] 绝对不是
[04:17] 大家看
[04:18] 资产负债表上
[04:19] 其实藏着一把极度危险的双面刃
[04:22] 首先是合约负债
[04:23] 也就是客户的预付款
[04:25] 居然崩跌了46.04%
[04:28] 这是一个非常严重的系统警讯
[04:30] 代表现在的下游客户
[04:32] 根本就不愿意给出长期的订单承诺
[04:35] 但更恐怖的是什么
[04:36] 是在没有长单保护伞的情况下
[04:39] 强帽的总存货
[04:40] 居然还疯狂膨胀到了27.92亿元
[04:43] 这数字真的太勇种了
[04:45] 这代表强帽现在等于是
[04:47] 拿自己的资产负债表当肉店
[04:49] 硬行着庞大的库存来接短单跟极单
[04:53] 这无疑是在走刚所啊
[04:55] 当然啦
[04:56] 看好强帽的乐观派
[04:58] 一定会立刻拿营收结构出来反驳我们
[05:02] 他们会说
[05:02] 为什么强帽敢堆这27.9亿的库存
[05:06] 因为这是在替未来备煮弹药啊
[05:10] 没错
[05:10] 摊开数据一看
[05:12] 车用营收现在已经稳稳占据了
[05:14] 35%的绝对高位
[05:17] 而且最引人注目的是
[05:18] AI服务器板块更是破天荒的
[05:21] 首次突破双位数
[05:23] 来到了11%
[05:24] 多头的剧板就是坚信
[05:26] 这11%的AI营收是一颗随时会引爆的
[05:30] 超级引擎
[05:31] 所以强帽必须像现在这样疯狂囤获
[05:34] 才有办法瞬间未保接下来
[05:37] 大爆发的算力电网需求
[05:39] 这种极度乐观跟极度悲观的强烈撕裂
[05:43] 就造就了现在这个极端疯狂的估值举证
[05:47] 大家看这真的是真金白银的好堵
[05:50] 看看这个夸张的落差
[05:52] 如果AI乌托邦真的成真
[05:54] 华尔街愿意给到高达30倍的北异比
[05:57] 目标价只是上看190元
[05:59] 但反过来说
[06:00] 如果库存不小心爆掉
[06:02] 回归到传统循环股那种血肉模仿
[06:05] 本异比将会被暴力压收到只剩15倍
[06:08] 股价更是会惨杀到45元
[06:11] 从109到45这中间可是整整4倍的超级巨大差距
[06:16] 而现在176元的股价说白了
[06:19] 几乎已经把牛市最完美的预期
[06:21] 给全部pricing 全部定满了
[06:24] 接下来进入我们的红军测试阶段
[06:27] 三大实体供应链致命风险
[06:30] 既然现在的股价已经来到一个
[06:32] 绝对不容许犯错的超高位阶
[06:35] 那我们就必须来扮演最冷酷的空头
[06:39] 寄出这三个随时可能会摧毁牛市剧版的致命破口
[06:43] 第一刀 零组件 脚肉机
[06:46] 大家知道中国电动车市场现在疯狂内卷降价
[06:50] 真的是杀到鸡骨
[06:51] 这个压力直接灌到二阶功率半导地厂身上
[06:55] 如果强貌被迫卷入这场价格战
[06:58] 那刚刚引以为傲的32.7%毛利防线一旦崩溃
[07:02] EPS绝对是直线坠落
[07:05] 第二刀 折旧巨兽反射
[07:07] 强貌为了去中化跑去越南和菲律宾大举盖新厂
[07:12] 万一投产不顺利或者粮率一直拉不上来
[07:15] 这些海外新机台的折旧费用就会像一只大怪物一样
[07:20] 1.1滴吃掉本业辛苦赚来的血汗钱
[07:23] 最后第三刀 国王的新衣
[07:25] 也就是CPOC进炮末破裂
[07:28] 现在全市场都在期待强貌靠这项尖端技术
[07:32] 去挑战千亿市值
[07:34] 但听好了
[07:34] 如果未来两季之内
[07:36] 他们拿不出国际一线大厂的实质长单认证
[07:39] 那现在的超高估值绝对会面临极其痛苦的连环下杀
[07:44] 所以 最后我们要丢给大家一个最核心的灵魂考问
[07:49] 强貌究竟是一颗真正的AI超跑引擎
[07:52] 还是说他骨子里其实只是一个躲在27.9亿库存告墙背后的传统水电工
[07:59] 这个答案很快就会揭晓
[08:01] 这边直接给各位一个最明确的行动清单
[08:04] 接下来请死死丁主即将公布的第二季营业利益率
[08:08] 如果那些一次性的诉讼费用消失之后
[08:11] 本业获利能够暴力回血重新占上9%
[08:14] 那这台超旗跑车就真的准备起飞了
[08:17] 但反过来说
[08:18] 如果费用继续失控
[08:20] 请大家务必要果断行动
[08:22] 好啦 今天这份法说会深度解释就到这边
[08:25] 我们下次见
