[00:00] 统达光电,代号2409
[05:35] 合理价大概落在22.50到25.00元之间
[05:39] 那万一双轴转行政的奇迹班大成功
[05:42] 车用Micro LED迎来史识级爆发
[05:44] 那种疯狂牛市价会到多少
[05:47] 就算我们给出最乐观的0.90元EPS
[05:50] 在乘以高达35倍的本益比
[05:52] 昂贵价最多也就是31.50到31.70元
[05:56] 但是各位你看一下现在的股价
[05:58] 已经来到24.20元了
[06:00] 股价在24.20元代表什么意思
[06:03] 它已经站在法人合理价区间的中上援了
[06:08] 这代表现在进场
[06:10] 风险回报比是极度危险的1比1.1
[06:14] 也就是说往下跌的风险跟往上涨的空间
[06:18] 几乎是一模一样的
[06:20] 完全正确
[06:21] 这个价位根本没有留给散户任何的安全边际
[06:24] 你买在这个位置
[06:26] 等于你扛下了所有转型失败的巨大风险
[06:30] 但就算成功了
[06:31] 你也只能赚到一点点肉血
[06:33] 接下来气氛要转向严肃了
[06:36] 我们要启动事前验识分析
[06:38] 假设你今天买进最后却大亏了50%
[06:41] 到底会是哪里出了问题
[06:44] 做空机构的红军部队
[06:45] 现在正死死盯着这三个最致命的实体断点
[06:49] 到底是哪三个 快说
[06:51] 步骤1 核心显示事业持续大失血
[06:54] 中国面板厂产能全开打价格战
[06:57] 让土打本业长期无法获利
[07:00] 步骤2 这也是最怕发生的
[07:02] 地缘政治冲突升级
[07:04] 这会瞬间切断土岛
[07:05] 在墨西哥跟保加利亚厂区的供应链
[07:08] 让智慧移动的成长大梦直接碎裂
[07:12] 步骤3 车用MicroLED
[07:14] 要等到2028年才能大规模量产
[07:17] 这中间长达两年的空窗期
[07:19] 庞大的资本支出
[07:20] 绝对会把现金流给彻底烧干
[07:23] 刚才讲的都还在已知风险的范围内
[07:26] 投资最怕的是什么
[07:27] 是单点故障的黑天鹅
[07:29] 而这只黑天鹅的死因非常明确
[07:32] 那就是AI伺服器的面板及封装
[07:34] 也就是FOWP或TGV玻璃基本技术
[07:38] 突然被半导体金元厂的先进封装
[07:41] 给全面取代
[07:42] 哇 如果这件事真的发生
[07:44] 对复达会有多伤
[07:45] 这是绝对毁灭性的打击
[07:48] 这会让复达为了双走转型
[07:49] 砸下的天价资本支出
[07:51] 瞬间化为无有
[07:53] 如果你卖厂房的钱刚好又烧光了
[07:56] 市场绝对会启动
[07:57] 极度强烈的进质比下杀
[07:59] 这就是最致命的单点故障
[08:02] 好了 我们不能只给大家泛卖恐惧
[08:04] 必须要给出实际的行动指南
[08:06] 各位投资人
[08:07] 这是接下来你必须死死盯着的
[08:10] 催化机日历
[08:11] 拿笔记下来
[08:12] 这些关键节点非常重要
[08:14] 2016年10月下旬
[08:16] 一定要盯紧第三季财报公布
[08:19] 管理层已经先打预防针说
[08:21] 第三季营收会拉回了
[08:23] 所以你要去验证
[08:25] IT产品的库存调整到底有多惨
[08:27] 还有垂子厂与业务
[08:29] 到底有没有达标
[08:30] 再来未来三个月内
[08:32] 紧盯墨西哥车用场第二阶段的搬迁进度
[08:35] 以及车用MicroLED的样品审查结果
[08:38] 这会直接决定
[08:40] 转型这个故事
[08:41] 到底还能不能继续讲下去
[08:43] 最后
[08:44] 这是我们整理出最精准的
[08:46] 技术筹码定位与交易计划
[08:49] 目前外资跟投信法人的动向
[08:51] 都是维持谨慎中立
[08:53] 没有什么特别激情的买盘
[08:55] 所以讲直接一点
[08:57] 买点跟听损点到底是在哪
[08:59] 技术面的进场甜蜜点
[09:00] 我们建议耐心等到
[09:02] 股价回挡到0.9倍股价
[09:05] 进值比附近
[09:06] 也就是大约17.80到18.00元
[09:09] 这个区间再考虑
[09:11] 那如果刚刚说的
[09:12] 磁城保护傘彻底破裂了呢
[09:14] 铁板停损价直接设在14.50元
[09:17] 如果股价破底
[09:19] 跌破第一季的低点
[09:20] 而且进负在比恶化标破40%
[09:23] 这代表卖厂房的钱
[09:25] 已经救不了火了
[09:27] 资产保护傘一旦破裂
[09:29] 这时候千万不要犹豫
[09:31] 必须果断砍仓停损
[09:33] 在今天这场深度解析的最后
[09:36] 我们把所有的数据跟逻辑全部收敛
[09:39] 留给大家一个直指核心的问题
[09:41] 头达正在努力打造的
[09:43] 数位以表板大梦
[09:44] 到底跑不跑的赢
[09:46] 老工厂核心本业施写的速度
[09:49] 这究竟会是一场华丽的预火重生
[09:51] 还是教科书级别的超级价值陷阱
[09:55] 数字是绝对不会说谎的
[09:57] 市场马上就会给出答案
[09:59] 紧盯我们今天给出的关键指标
[10:01] 最重要的是保护好你的安全边际
[10:04] 这就是今天的深度解析
[10:06] 我们下次见
