[00:00] 直接切入重點,今天我們把焦點鎖定在代號6415的
[03:22] 因為他們現在不但賣零件了,
[03:24] 他們賣的是從MCU
[03:26] 到電池管理系統的一戰士大禮包,
[03:29] 這種包裹式的銷售把客戶黏得死死的,
[03:33] 這就是那些悲觀派根本沒看懂的超深戶成合。
[03:38] 故事說得再好聽,
[03:40] 我們還是得進到第三部分,
[03:42] 財務法醫檢視冷數據,
[03:45] 把這些承諾放上手術台好好解剖一下。
[03:49] 身為專業投資人,
[03:51] 我們不能只聽老闆話大餅對吧?
[03:54] 第一個跳出來的紅色警戒,
[03:56] 就是他們高達將近170天的存貨周轉天數,
[04:01] 在傳統財務學裡,
[04:02] 這絕對是大災難,
[04:04] 將近半年的庫存消化不掉,
[04:06] 這難道不是一堆賣不出去的死扣存嗎?
[04:10] 更嚇人的是第二級,
[04:12] 第一季的營業現金流竟然罕見轉付,
[04:15] 直接燒掉了0.38億台幣,
[04:18] 跟上一季滿滿的現金流入相比,
[04:21] 這個落差實在太驚人了,
[04:23] 現金正在框流,
[04:25] 庫存又堆得跟山一樣高,
[04:27] 這公司是不是要出事了?
[04:29] 答案是,絕對沒有出事,
[04:32] 解藥就藏在2026年5月這份最新的營收數據裡,
[04:37] 你看年增率高達31.59%,
[04:41] 這數字直接打臉了死庫存的說法,
[04:44] 那些170天的庫存根本不是賣不出去,
[04:47] 而是公司為了吃下半年的AI伺服器跟車用大單,
[04:51] 主動砸現金去囤積戰備物資,
[04:54] 這其實是為了防堵對手搶單,
[04:57] 提前駐起了的防禦護城河。
[05:00] 第四部分,
[05:01] 我們來看看這些財報訊號,
[05:04] 在多空劇本下會怎麼拉扯估值。
[05:07] 我們仔細比對外資的預估取證,
[05:10] 落差真的非常誇張,
[05:12] 如果最慘的雄勢發生,
[05:14] 車用跟AI雙雙落空,
[05:16] 目標價會直接腰斬到340元,
[05:19] 如果乖乖符合預期,
[05:20] 合理價大概是616元,
[05:23] 那要是AI大爆發上演完美牛市呢,
[05:26] 目標價上看800元,
[05:27] 享有65倍本益比。
[05:29] 但大家別忘了,
[05:30] 我們一開始說,
[05:31] 目前的收盤價已經來到673元,
[05:34] 這代表什麼?
[05:35] 這代表現在的股價已經提前塞滿了期待,
[05:38] 市場等於是在拿著放大鏡,
[05:40] 要求管理層接下來,
[05:41] 必須做到近乎完美的執行力,
[05:44] 不容許一點閃失。
[05:46] 所以第五部分,
[05:47] 必須啟動逆向紅軍測試,
[05:50] 找出能瞬間擊潰這個完美劇本的
[05:54] 三個致命斷點。
[05:56] 既然市場定價這麼緊繃,
[05:58] 我們就必須極度冷靜,
[06:00] 有三個致命風險,
[06:02] 可能會讓牛市翻車,
[06:04] 第一,地緣政治,關稅戰。
[06:07] 如果歐美對中國電動車寄出毀滅性關稅,
[06:10] 導致出口崩盤,
[06:12] 歸力的車用成長就會直接被掐住脖子。
[06:16] 第二,第四代產品的良率陷阱,
[06:19] 如果12吋製程的良率一直拉不起來,
[06:22] 毛利率死死卡在48%的泥鬧,
[06:25] 絕對會引發可怕的估值雙殺。
[06:28] 第三,AID單被國際大廠擠掉,
[06:31] 永遠只能小量試產,
[06:33] 進不了主力的量產名單。
[06:35] 這三個地雷,
[06:36] 只要不小心採爆一個,
[06:38] 多頭劇本就會當場瓦解。
[06:40] 所以總結這份深度拆解報告,
[06:44] 大家接下來唯一需要死定的指標是什麼?
[06:47] 在即將到來的8月法說會,
[06:50] 秦密直接跳過營收,
[06:52] 把目光鎖定在這個終極問題。
[06:55] 第二劑的毛利率,
[06:56] 到底能不能強勢占回50%這個
[06:59] 生死分水嶺?
[07:01] 只要跨過這條線,
[07:02] 就證明良率問題解決了,
[07:05] 庫存清完了,
[07:06] 長線多頭的格局也就缺利了。
[07:09] 這場12吋晶圓大清洗的好賭
[07:11] 到底會不會贏?
[07:13] 答案就藏在這個數字裡。
[07:15] 你準備好見證這場財報對決了嗎?
