[00:00] 准备好颠覆你的市场认知了吗?
[03:56] 就完完全全证明了
[03:58] 传统面摆事业
[03:59] 正在变成一头
[04:00] 能炸出超高
[04:02] 自由现金流的
[04:03] 完美现金乳牛
[04:04] 接下来
[04:05] 是整份报告中
[04:07] 最令人振奋的领先指标
[04:09] 旗下专注于系统整合的
[04:12] 神通资讯科技
[04:13] 目前的未交货订单
[04:15] 也就是backlock
[04:16] 高达新台币140亿亿元
[04:19] 这其中还包含了
[04:21] 319.6亿元的
[04:23] 西东线统包工程
[04:25] 140亿亿
[04:27] 用大白话来说
[04:28] 这意味着什么
[04:29] 这表示即使神通未来的两年
[04:31] 所有业务员全体放厂价
[04:33] 完全不接任何一张新单
[04:35] 靠着会计上的完工比例法
[04:37] 他们未来的营收能见度
[04:39] 依然是坚弱盘时
[04:41] 完全防弹的
[04:42] 对我们一般投资人来说
[04:43] 这就是最安心的业绩保证啊
[04:46] 让我们呈现一下
[04:48] 6月30日法说会上
[04:50] 那个非常精彩的Q&AG棘手时刻
[04:54] 当时法人可是毫不留情的开火
[04:57] 直接问
[04:57] 台湾半导体都在成长
[04:59] 你们五六月营收却呈现年减
[05:02] 请问公司营运到底何时改善
[05:05] 这句话可以说是一针见血
[05:07] 只指市场对它空有AIT才
[05:10] 却揪不出营收的最大恐惧
[05:13] 但面对这种猛烈火力
[05:15] 管理层的防御真的是大师级别的
[05:18] 幕僚长徐造华直接用
[05:20] 会计逻辑沉稳的反击了
[05:22] 他解释
[05:23] 营收下华单纯是因为
[05:25] 神通资讯的大型工程
[05:26] 验收节做问题
[05:28] 像西东县现在还在前期
[05:30] 未来只要里程碑移到
[05:32] 营收就会猛烈灌入账面
[05:35] 而且针对原物料通膨风险
[05:37] 他们更霸气宣告
[05:38] 拥有绝对定价权
[05:40] 成本必然能转嫁给下游客户
[05:43] 这就是挂占霸权才有的底气
[05:46] 所以
[05:47] 这里就要带出我们的逆向观点了
[05:50] 现在市场最大的盲点
[05:52] 就是像看着后照进开车一样
[05:54] 整天死盯着面粉本页的营收衰退
[05:58] 还有那个单约营收下华
[06:00] 没错
[06:01] 市场这种献性的错觉
[06:03] 正好完美掩顾了我们
[06:05] 我们的逆向观点是
[06:07] 莲华现在正在经历最完美的过渡期
[06:09] 也就是玻璃劣质营收
[06:11] 流存高品值利润
[06:13] 他们一边利用低价小卖去扩大毛利
[06:16] 一边默默收割台湾制造业指数
[06:18] 连续9G成长所带来的
[06:21] 结构性半导体利润爆发
[06:23] 第三部分
[06:25] 估值对决与重定价
[06:27] 我们即将启动
[06:28] 严苛的SOTP加总估值法
[06:32] 再一次调出那些公司
[06:34] 没有名讲的后台数据
[06:36] 如果你去猜解着
[06:37] 2026年第一季10.5亿
[06:39] 税后净利的结构
[06:41] 就会发现将近七成的净利
[06:43] 居然是来自莲华林德气体
[06:45] 连成化学这些转投资收益
[06:48] 面粉的贡献真的只剩下一小块
[06:51] 就够说我们什么
[06:52] 我们现在是在为一家
[06:54] 实质垄断台积电特用气体的
[06:57] 科技公司定价
[06:58] 而不是一家卖面条的工厂
[07:00] 我们以相对保守的
[07:02] 2026年EPS2.85元来当做基准
[07:05] 为大家建构了三种情境
[07:08] 最惨的极端清算价
[07:09] 我们称之为Berry防线
[07:11] 就算科技股大崩盘
[07:12] 被控股折价严厉惩罚
[07:14] 股价也有27.36元的铁底
[07:17] 那你想想如果市场回归理性呢
[07:20] 终合面粉系统整合
[07:22] 与AI气体的法人共识合理价
[07:24] 将会高达49.87元
[07:27] 更刺激的来了
[07:28] 一旦外资突然觉醒
[07:30] 意识到这可是买不到
[07:32] 台积电气体公寓相识的
[07:34] 最佳替代标的
[07:35] 引发那种无脑狂热的疯狂价
[07:38] 将上看65.5元
[07:40] 对比目前的股价
[07:41] 老天哪
[07:42] 这是一个潜在上涨空间
[07:44] 高达50%以上的疯狂机会啊
[07:47] 第四部分
[07:48] 事前掩饰
[07:49] 与致命断点
[07:50] 各位 收起兴奋的情绪
[07:53] 这是一场来自深渊的领事
[07:55] 如果2026年底
[07:57] 我们不信满手写心的认赔出厂
[08:00] 最大的黑天鹅绝对是这条路径
[08:03] 集团交叉持股的系统性
[08:05] 火烧连环传
[08:07] 你要知道
[08:08] 连华194亿的总资产中
[08:10] 又高达49%是OCI评价的金融资产
[08:14] 也就是他们重仓了
[08:16] 连强跟神达
[08:18] 一旦爆发全球流动性危机
[08:20] 这些二级市场的股价崩盘
[08:22] 连华的进值
[08:23] 将会瞬间蒸发数十亿
[08:25] 进而引发外资恐慌性的践踏
[08:28] 但如果抛开总体经济环境
[08:31] 单就物理层面来看
[08:33] 连华唯一的单一致命断点
[08:36] 就是连华临德气体供运链
[08:38] 发生重大的公安或运输事故
[08:41] 毕竟高纯度气体极度易燃爆
[08:43] 而且有毒
[08:44] 一旦核心厂房爆炸
[08:46] 或者高压槽车外卸
[08:48] 盗制台积电这些先进产线停摆
[08:51] 连华最引以为傲的寡战信任护城河
[08:54] 将会在一个晚上之内
[08:56] 彻底吐崩瓦解
[08:58] 好 深呼吸
[09:00] 第五部分
[09:01] 催化剂与行动时机
[09:04] 准备好锁定我们的黄金居级时刻
[09:07] 请大家把这三个催化剂日历
[09:10] 死死剂在你的行事历上
[09:13] 第一 七月八日的储权习大秀
[09:16] 高达4.2%的现金值利率
[09:19] 绝对会吸引海量EDF
[09:22] 疯狂卡位
[09:23] 第二 八月上旬的营收发布
[09:26] 护钢物流中心与吸毒厂办的租金
[09:29] 将在财报上迎来试试级的跳升
[09:33] 第三 也就是第四级
[09:35] 亚秦动力绿能完工
[09:37] 加上百亿工程进入密集任劣期
[09:40] 这将会是全年营运爆发的最大核弹
[09:44] 来 执行面的冷酷数据来了
[09:47] 拿笔记好
[09:48] 目前的建仓甜蜜点落在
[09:50] 42.00到43.50元之间
[09:53] 极限停损铁板价
[09:54] 请严格设定在37.50元
[09:58] 而上上攻级的初步合理目标价
[10:00] 则是看49.87到54.00元
[10:04] 而且我必须说
[10:06] 这里有一个极度疯狂的充满讯号
[10:09] 根据法说会外我们挖到的未公开数据
[10:12] Bantu投信目前的持股
[10:14] 居然只剩下少的可怜的1316张
[10:18] 他们完全处于一种严重的促使状态
[10:21] 也就是FOMO啦
[10:24] 一旦下半年的财报数字炸开
[10:26] Bantu机构绝对会面临极大压力
[10:29] 被迫高价认错回补
[10:31] 到时候一场惨烈的加空行情
[10:33] 即将上演 绝对非常精彩
[10:37] 所以 一边是稳定收集的
[10:39] 传统面粉防护罩
[10:41] 一边是爆发力惊人的AI气体
[10:44] 与基建订单
[10:45] 莲华这周伪装成乡村模仿的
[10:48] 超级核电厂
[10:49] 究竟会成功退下沉重的面粉带
[10:52] 加免成为台股最强的AI基建巨头
[10:55] 还是说 华尔街那该死的定价盲点
[10:58] 会继续让这份超额报酬沉税下去
[11:01] HOST A
[11:02] 数据 逻辑 还有出手的时机
[11:05] 都已经完完整整贪在你们面前了
[11:08] 风险极低 但上挡空间极高
[11:11] 接下来到底该怎么做
[11:12] 就看各位的决断了
[11:14] 感谢各位收看今天的深度解析
[11:16] 我们下次见
