[00:00] 分析师A 耀华 代号 2367
[00:03] 各位 今天我们不跟你废话
[00:05] 直接切入这场充满血腥味
[04:45] 一旦跨越了学习曲线
[04:47] 凉率爬坡释放出来的暴力
[04:49] 绝对会非常惊人
[04:52] 好 讲完的产业逻辑
[04:53] 我们现在化身财报法医
[04:56] 带大家来破解资产
[04:57] 附在表上那些
[04:58] 吓死人的失血警报
[05:00] 没错 接下来
[05:01] 我们将透过三组极端的冷数据
[05:04] 帮大家还原法说会上
[05:06] 经营成说法的真实度
[05:08] 看看要滑真正的底气
[05:10] 到底藏在哪里
[05:11] 我们来看第一个法医级数据
[05:14] 高达4.66亿台币的合约负债
[05:18] 这可是客户的预付款
[05:20] 你想想在公司第一季
[05:21] 毛利崩盘的同时
[05:23] 居然有财力雄厚的中端大客户
[05:26] 愿意拿百花花的真金版营出来
[05:28] 确保要华未来的产能攻击
[05:30] 这是一个极度强烈的领先指标
[05:33] 直接证明了订单根本没有消失
[05:36] 它只是遞延了而已
[05:38] 接着看第二个极端数据
[05:40] 72.28天
[05:42] 这是第一季飙升到极度异常的
[05:44] 存货周转天数
[05:46] 同时存货金额高达了将近29亿元
[05:50] 很多人一看到这个数字就开始恐慌
[05:52] 以为这是卖不出去的呆滞死库存
[05:55] 大错特错
[05:56] 现在CCL跟PP这些原物料
[05:59] 被AI伺服器排挤
[06:00] 正在疯狂涨价
[06:01] 这时候要华选择了战略性囤积凉草
[06:05] 这是极其聪明的操作
[06:06] 他们正在把大量现金
[06:08] 转化为原物料来锁住成本
[06:10] 强势对抗全球通膨
[06:13] 分析是A
[06:14] 但是囤积凉草也是有代价的
[06:17] 那就是第一季的
[06:18] 音乐活动现金流量比例
[06:20] 直接崩跌到正儿欲龙的
[06:23] -476.73%
[06:26] 听起来公司好像快面离现金断练了
[06:29] 对吧
[06:30] 我们把叙事反转过来看看
[06:32] 这其实是因为北美第一轨
[06:34] 为行大客户内部的组装问题
[06:36] 导致拉货地严
[06:38] 做好的办成品全卡在仓库出不去
[06:41] 再加上狂买原物料
[06:42] 预付了大量现金
[06:44] 才导致现金流呈现这种极度的复制
[06:48] 各位
[06:48] 这其实是一法备极度压缩的弹簧
[06:51] 一旦第三季客户如期重启拉货
[06:54] 再加上5%到20%的涨价协议生效
[06:57] 这29亿的战略存货
[06:59] 将会在瞬间转换成高毛利的营收
[07:02] 到时候现金流绝对会出现
[07:04] 暴力的正向大逆转
[07:06] 分析师B
[07:07] 既然这是一个被地盐效应
[07:09] 掩盖桌的强劲反弹信号
[07:11] 那这场战役的潜在回报到底有多大
[07:14] 我们现在就进入估值举证与终极对决
[07:17] 分析师A
[07:18] 我们要直接摊开法人圈
[07:20] 对要华未来估值的极端定价
[07:22] 让大家清楚看到
[07:23] 在市场的恐惧
[07:25] 机构的贪婪之间
[07:26] 到底存在多么巨大的拉扯空间
[07:29] 分析师B
[07:30] 各位 这份估值举证
[07:31] 我们直接摊开来看
[07:33] 如果米其林转型失败
[07:35] 涨价谈判破裂
[07:36] 陷入最惨的雄士情景
[07:38] 2027年的EPS只有1.2元
[07:42] 目标价将会崩叠到
[07:43] 跌破进值的14.40元
[07:46] 分析师A
[07:47] 但如果转型成功了呢
[07:48] 在符合法说会预期的基准情形下
[07:51] 顺利涨价低轨卫星占比也达标
[07:54] 目标价将直接上看70元
[07:56] 分析师B
[07:57] 要是更猛烈一点
[07:58] 进入急败预期的牛士情景
[08:01] 光模组跟新链双双大爆发
[08:03] EPS突破5块钱以上
[08:06] 目标价更是上看惊人的125元
[08:09] 你看我们现在52.80元的股价
[08:11] 正好卡在雄士与基准情景之间
[08:14] 这都代表市场目前正处于
[08:16] 半信半疑的观望状态
[08:18] 所有人都在等待真实数据的验证
[08:21] 好
[08:22] 在大家因为125元的牛士目标
[08:25] 赶到热血沸腾之前
[08:27] 我得先踩个刹车
[08:28] 为了保持客观
[08:29] 我们必须进行严格的
[08:31] 内向红军测试
[08:33] 没错
[08:34] 投资绝对不能只有盲目的乐观
[08:36] 我们必须用最严格的标准
[08:38] 来审视这个转机去本中
[08:40] 最有可能直接摧毁
[08:42] 要划复苏之路的致命供应链风险
[08:45] 到底哪个环节一出错
[08:47] 会让这个投资逻辑彻底崩塌
[08:50] 分析师B
[08:51] 我们推演出了三个最致命的断点
[08:54] 第一是原物料剪刀插
[08:57] 如果大客户强硬拒绝这20%的涨价
[09:00] 而上游铜箔机板
[09:01] 又因为AI续求爆发二次爆涨
[09:04] 药华将为陷入成本
[09:06] 完全无法转价的剪刀插地域
[09:08] 分析师A
[09:09] 第二
[09:10] 这点我们认为最为致命
[09:12] 也就是泰国新厂的高阶粮率
[09:14] 如果跨国建厂的文化摩擦
[09:16] 加上员工培训期太长
[09:18] 导致高层数版的粮率
[09:19] 卡在60%以下
[09:21] 实质无法突扩
[09:22] 那才能开出将变成
[09:24] 越做越亏的永久性泥爪
[09:26] 庞大的折旧费用
[09:27] 会直接吃垮本业的获利
[09:29] 第三
[09:30] 低轨卫星客户永久性抽单
[09:32] 万一竞争对手在东南亚
[09:34] 扩产的速度更快
[09:36] 或者是客户格格升级
[09:37] 但药华跟不上
[09:39] 现在地盐的订单
[09:40] 就会变成永久流失
[09:42] 药华将会瞬间失去
[09:43] 太空盖面骨的光环
[09:45] 分析师A
[09:46] 综合今天这场深度解析里
[09:48] 所有的惊喜与惊吓
[09:50] 最后我们要留给大家一个最关键
[09:53] 也具挑衅意味的观察指标
[09:56] 作为各位验证牛市剧本的
[09:58] 最终防线
[09:59] 分析师B
[09:59] 请各位死死盯住这个核心问题
[10:02] 接下来这几个月
[10:03] 药华的单月营收
[10:05] 到底能不能稳健站上16亿大关
[10:08] 我们看到5月份的营收
[10:09] 已经来到15.33亿
[10:11] 随着泰国厂第三季正式投产
[10:13] 以及低轨卫星客户恢复拉伙
[10:15] 如果6月到8月的营收
[10:17] 能够稳稳站上16到17亿
[10:19] 这将是管理层在法说会上强调
[10:22] 订单只是遞言
[10:23] 这个说法属实的最强证据
[10:25] 这更是确立V型反转的罪名确信号
[10:28] 这场跨越转型死亡股的战役
[10:30] 才刚刚开始
[10:31] 准备好你的观察清单
[10:32] 我们下次见
