[00:00] 跳過廢話,我們直接切入今天這份震撼市場的財報解析
[05:41] 直接灰飛煙滅甚至造成股價腰斬
[05:45] 我們深入拆解一下
[05:47] 如果AI泡沫破裂
[05:49] 三大原廠肯定會立刻把HBM產線切回DDR4
[05:54] 到時候南亞科的定價權就會瞬間瓦解
[05:59] 再來 公司開出了520億的資本支出
[06:03] 未來總投資高達4800億
[06:06] 萬一EUV量產失敗
[06:08] 恐怖的折就費用
[06:09] 就會變成吞噬獲利的超級黑洞
[06:12] 最後 萬一中國長新存儲大舉發動
[06:15] DDR4價格割喉戰
[06:18] 南亞科的平均售價
[06:19] 同樣會面臨嚴重的侵蝕
[06:22] 這些風險你絕對不能假裝沒看到
[06:25] 主持人B
[06:26] 第五部分 散戶必坑與催化日曆
[06:30] 教你怎麼掌握最關鍵的領線指標
[06:33] 真的 財報越好你越不能無腦追高
[06:36] 我們要立刻把焦點轉向這份報告裡
[06:39] 最具行動力的催化劑日曆
[06:42] 未來一到三個月
[06:43] 請務必盯緊這幾個領先指標
[06:47] 第一個 全球記憶體風向球
[06:49] 也就是美光的下一次財報
[06:51] 只要美光對HBM的需求
[06:53] 有任何一丁點鬆動
[06:55] 台系記憶體
[06:56] 覺得會遭逢利多出境的提款賣壓
[06:59] 第二個 是現貨價跟合約價的剪刀差
[07:02] 如果現貨價連續跌個三四周
[07:04] 南亞科去談長約的籌碼
[07:06] 就會大幅流失
[07:08] 主持人A
[07:09] 第三個也是絕對不容妥協的硬級標
[07:12] 300億營收防線
[07:14] 南亞科6月營收已經來到293億了
[07:17] 既然管理層強勢宣誓第三季會更好
[07:21] 7月跟8月的月營收
[07:23] 就必須強勢站穩300億大關
[07:26] 如果出現越減
[07:28] 哪怕年增率依然爆表
[07:29] 那都是成長動能
[07:31] 已經見頂的危險領先訊號
[07:34] 主持人B
[07:35] 最後
[07:36] 技術面跟籌碼面的絕對警戒線
[07:39] 連三脈
[07:40] 如果你發現
[07:41] 在法説會釋出這種空前利多之後
[07:44] 外資跟投信不但沒有大局進場
[07:47] 反而連續三個交易日
[07:49] 出現萬張等級的聯合賣鈔
[07:52] 請注意
[07:53] 這代表聰明前正在利用
[07:55] 散戶的樂觀情緒趁機盜貨
[07:58] 以但這個訊號出現
[07:59] 快跑千萬不要去接到
[08:02] 總結今天的解析
[08:03] 我們把最大的高風險
[08:04] 高報酬懸念留給你
[08:06] 在擁有史詩級79.5%毛利率
[08:10] 與極端預期差的當下
[08:11] 南亞科究竟是你布局
[08:13] AI基礎設施的終極標的
[08:16] 還是景氣循環陷阱的最後狂歡
[08:18] 這個答案就看你接下來
[08:20] 怎麼追蹤了
