[00:00] 頁城GISKY股票代號6456
[05:16] 它完完全全懸浮在基準跟牛市情境之間
[05:21] 這代表什麼
[05:22] 代表市場已經極度樂觀地
[05:24] 把2027年的光學轉型奇蹟
[05:27] 全部提前算盡現在的股價里了
[05:30] 但大家請千萬要注意
[05:32] 市場完全忽略了眼前的雄勢風險
[05:35] 只要剛剛說的長短料問題在惡化
[05:38] 或者會回稅易扣下去
[05:41] EPS崩跌到負的2.50元
[05:44] 那股價將會瞬間跌破淨值
[05:46] 失去所有的轉型意價
[05:48] 目標價會直接下探到45到50元
[05:52] 現在用69元買進
[05:54] 真的就像是在沒有安全網的高空走缸鎖
[05:57] 超級危險
[05:58] 為了補備市場盲目的樂觀洗腦
[06:01] 我們必須進入最後一個階段
[06:04] 逆向紅軍測試
[06:06] 來看看可能直接集會公司的三大供應鏈斷點
[06:12] 我們找出了最有可能瞬間觸發雄勢劇本
[06:16] 直接摧毀股價的三個致命情境
[06:19] 第一
[06:19] 如果全州大廠現在把產能
[06:22] 全部壓在AI伺服器的HBM記憶體
[06:26] 導致一般消費級的記憶體缺貨
[06:28] 一路拖到2027年
[06:31] 那他們的就業務絕對會先失血過度而死
[06:34] 第二
[06:35] 連續波雷射也就是CW Laser
[06:37] 它的技術壁壘真的極高
[06:39] 如果明年初的法說會上
[06:41] 公司承認光通訊良率
[06:43] 還是沒辦法滿足資料中心
[06:45] 99.9%的嚴苛標準
[06:47] 那現在這個高達75元的本夢筆泡沫
[06:50] 絕對會瞬間破滅
[06:51] 不過最迫在眉睫的其實是第三點
[06:54] 蝦普的日本塞工廠也就是SDP
[06:57] 預計在今年年底就要關閉囉
[07:00] 沒錯
[07:01] 大家千萬別以為這只是一家單一面板廠
[07:04] 倒閉這麼簡單
[07:05] GISKY過去之所以能吃下大客戶這麼多訂單
[07:10] 靠的就是犯鴻海集團的面板資源整合
[07:13] 那種一條龍的優勢
[07:15] 一旦SDP關門大級
[07:17] GISKY在短期內根本找不到
[07:19] 同等成本優勢的LCD面板
[07:22] 那他們最核心的美系大客戶
[07:24] 極有可能直接拿這個當理由
[07:27] 把平板貼合的訂單
[07:28] 大舉轉移給藍絲科技
[07:30] 或是歐肥光這些虎視單單的中國強敵
[07:33] 這絕對會直接抽乾公司的營運血脈
[07:36] 既然現在危機重重
[07:39] 投資人到底該怎麼自保
[07:41] 請立刻記下這份生存行動清單
[07:45] 第一
[07:45] 緊盯即將公佈的6月和7月營收
[07:49] 如果遲遲無法重返50億元的安全水位
[07:53] 這就鐵鎮如山
[07:54] 證明中端拉貨依舊停滯
[07:57] 千萬不要傻傻進場摸底
[07:59] 第二
[08:00] 你要跳出個股的框架
[08:02] 去盯拳手消費級DRAM的現貨報價
[08:05] 只要報價一鬆動
[08:07] 就代表下游準備重啟拉貨
[08:09] 這絕對是最強的營運拐點訊號
[08:12] 第三
[08:13] 死丁第三季越南新廠的完工與驗證進度
[08:17] 這可是他們穩住美系客戶
[08:19] 保住明年營收動能的最後底線
[08:23] 總結來說
[08:24] 今天的深度解析
[08:26] 幫大家揭開了GISKY最殘酷的現況
[08:31] 這家曾經風光無限的頂級貼膜墊
[08:34] 現在正緊緊抱著280億的現金
[08:38] 在轉型神經外科醫師的手術台上
[08:41] 進行一場史無前例的巨大好堵
[08:45] 在下一次法說會來臨之前
[08:47] 市場上那種不切實際的樂觀預期
[08:49] 跟冰冷的財報現實
[08:51] 終究會迎來一場劇烈的正面對決
[08:54] 最後我們留給大家一個深思的問題
[08:57] 當大幕落下
[08:58] 這家公司究竟能熬過死亡股迎來新生
[09:02] 還是會在昂貴的手術台上徹底失血過多
[09:06] 請大家務必頂緊剛剛說的那些關鍵數據
[09:09] 我們的解析下次見
