[00:00] 2546 根基营造 现在股价落在93.2元
[00:04] 我知道你在想什么
[04:00] 来解决基层缺工
[04:01] 夸张吧
[04:02] 而且他们还大规模导入低碳PLC混泥土
[04:06] 直接减碳7.5%
[04:08] 完美符合外商最在乎的ESG标准
[04:11] 当其他同业还在中南部工地
[04:14] 加价抢工人的时候
[04:15] 他们早就用科技降维打击
[04:18] 诸起一道超高的技术壁垒的
[04:21] 好
[04:21] 故事说得很精彩
[04:23] 但我们是看数字说话的
[04:25] 接下来直接切入
[04:27] 财务法一级的核心数据检视
[04:29] 准备好接招了吗
[04:31] 这是一个会让麦克风
[04:32] 调到地上的震撼数字
[04:34] 震76.06%
[04:36] 这是他们今年第一季
[04:38] 合约负债的年增率
[04:41] 在营造业财报里
[04:42] 合约负债是什么
[04:43] 就是客户已经白花花
[04:45] 捧给你的工程预付宽
[04:48] 暴增76%
[04:49] 这是不择不扣的硬指标
[04:51] 这说明科技业客户的热钱
[04:54] 正疯狂涌进来
[04:55] 像定存一样
[04:56] 死死所住的根基未来
[04:58] 一到两年的营收下限
[05:01] 防御里点到满
[05:02] 还没完呢
[05:04] 另一个法一级的杀手数据
[05:06] 营业活动进线金流
[05:08] 从去年第四季的负数
[05:10] 到了今年第一季
[05:11] 极度暴力的翻转为
[05:13] 正的17.83亿星台币
[05:16] 这个强烈的财务讯号告诉我们
[05:18] 强势的高科技客户
[05:20] 正在大量注资
[05:21] 让根基手上的现金水位
[05:23] 标到78.5亿的历史新高
[05:26] 有了这笔庞大的银蛋
[05:28] 他们去采购原物料的时候
[05:29] 就拥有绝对的现金溢价优势哦
[05:32] 当然我们也不粉视太平
[05:35] 通膨了残酷现实还是得面对
[05:37] 你看通膨压力
[05:39] 确实把第一季毛利率
[05:40] 微幅击压到了7.76%
[05:43] 但是见证奇迹的时刻来了
[05:46] 靠着庞大在手订单
[05:47] 带动营收成长8.6%
[05:50] 他们成功发挥了规模经济的威力
[05:53] 用总营收的扩张
[05:54] 硬是守住了5.33%的营业利益率
[05:58] 这简直是一场教科书等级的防御战
[06:00] 完美示范怎么用营收规模战胜毛利压缩
[06:04] 不过投资没有包营的
[06:07] 在我们完全被这个多头剧本受服之前
[06:10] 必须启动逆向红军测试
[06:12] 看看这神话有什么致命风险
[06:15] 如果这个看长逻辑彻底崩盘
[06:18] 绝对是因为这三个致命断点
[06:21] 第一 护国神山台积电无预警下修
[06:24] 或递言资本支出
[06:25] 这种对大客户的单点依赖
[06:27] 会瞬间让订单化为泡影
[06:30] 第二 通膨出现二次恶性爆发
[06:32] 原物料长负失控
[06:34] 到连合约的物价补贴都照不住
[06:37] 第三 也是最要命的履约风险
[06:40] 如果AI机器人和移工闲接失败
[06:42] 导致关键科技厂房交期严悟
[06:45] 那公司不只要赔天价伪约金
[06:47] 商喻更是毁灭性打击
[06:49] 以后外商大单就别想接了
[06:52] 了解了风险
[06:53] 最后我们来看看这场重定价游戏的庞大潜力
[06:57] 还有未来的战术行动
[06:59] 当根据从传统营造厂
[07:01] 退变成科技资本支出概念股
[07:03] 这中间的想象空间到底有多大
[07:05] 我们直接拆解这个估值矩阵
[07:08] 如果法说会承诺跳票
[07:09] 市场把它打回传统营造股
[07:11] 只给8倍本益比
[07:13] 最惨的熊市目标价会落到57.6元
[07:16] 但如果一切稳健发挥
[07:18] 击准目标价上看105.6元
[07:21] 最刺激的是什么
[07:22] 如果市场全面认可
[07:24] 它是半导体建厂供应链
[07:26] 享受科技股的本益比扩张到14倍
[07:28] 在牛市情境下
[07:30] 目标价直接飙到156.8元
[07:33] 从8倍到14倍的扩张
[07:34] 这就是市场重新定价释放出来的巨大潜力
[07:38] 为了不当被市场情绪收割的韭菜
[07:41] 请立刻记下未来30天的战术行动清单
[07:45] 第一 紧盯7月和8月的单月营收
[07:49] 觉得要使手在20亿元以上的高档
[07:52] 不然就代表工程进度有延档的危险
[07:55] 第二 严密监控国内
[07:56] 钢筋跟机垫设备的物价指数
[07:59] 防堵通棚破表
[08:01] 第三 也是最关键的
[08:03] 买根基的股票
[08:04] 你必须学会听台积电的法说会
[08:06] 因为台积电的资本支出指引
[08:08] 说白了就是根基未来两年的生死步
[08:12] 所以 回到我们一开始的问题
[08:14] 问问你自己
[08:16] 2546这档股票
[08:17] 它到底还是市场恐惧中
[08:20] 那个被防事动疆的无聊盖方公投
[08:23] 还是手握925亿天亮订单
[08:26] 满手现金的终极AI建场军火商
[08:29] 是市场主流的恐惧队了
[08:31] 还是我们刚刚解剖的法医及数据队了
[08:34] 这个充满张力的答案
[08:36] 就交给各位亲自去市场里好好验证了
