[00:00] 各位投資朋友,歡迎來到這場超高張力的財報解析。
[03:02] 大力光有辦法用最普通,甚至帶有瑕疵的管子,
[03:06] 接合出機密誤差低於0.3微米的超級通道。
[03:10] 這種畫伏球為神奇的組裝手藝,
[03:13] 直接把業界0.5到0.8微米的標準狠狠甩在後面。
[03:18] 但是大家先冷靜一下,
[03:19] 千萬不要被這0.3微米的美好固執徹底蒙蔽雙眼了。
[03:23] 我們必須來談談真正決定這檔股票命運的關鍵,
[03:27] 也就是它們新產品可變光圈鏡頭的良率。
[03:30] 接下來我們要直接把戰場轉移進行最嚴格的財報法醫檢視。
[03:35] 好,進入我們的第一部分,財報法醫學與逆向觀點。
[03:40] 我們現在就來撥開這些華麗的外衣,
[03:42] 好好檢視一下大力光的真實體質。
[03:46] 如果你跟著我深入檢視資產負債表,
[03:49] 你或發現這家公司現在呈現一種防禦有餘,
[03:53] 攻擊法力的疲態。
[03:55] 我們直接點出財報上的三大紅旗。
[03:58] 第一,高達139.32天的陰運周轉天數。
[04:02] 這代表什麼?
[04:03] 這意味著有高達90.9億元的存貨積壓在那裡,
[04:08] 去化速度真的非常緩慢。
[04:10] 第二,合約負債也就是長期訂單的能見度極低。
[04:15] 管理層甚至不會言的說,一旦星機賣不好,
[04:19] 客戶絕對是馬上下修排程,完全沒有長期合約保護。
[04:24] 第三,也是我覺得最致命的一點,
[04:27] 執行長首度證實,
[04:29] 下半年旗艦星機搭載的可變光圈鏡頭,
[04:32] 因為圍成粒子管控極其嚴格,
[04:35] 初期的產能利用率實質上竟然是複數。
[04:39] 這表示做出來報廢的遠遠比有效產出的還要多啊。
[04:45] 說到這場法說會,
[04:47] 底下的法人們可沒有輕易放過管理層哦。
[04:50] Q&A環節簡直就像狙擊手一樣尖銳。
[04:54] 有分析師就直接逼問了,
[04:56] 你們的光線陣列也就是FA
[04:58] 跟現有供應商到底有什麼不同?
[05:01] 未來真的能獨佔市場嗎?
[05:03] 面對這種超強烈的質疑,
[05:05] 執行長林恩平非常冷靜地丟出了這句
[05:08] 極具技術自信的名言。
[05:11] 我們是用不完美的V型槽
[05:13] 配上不完美的光線,
[05:15] 做出完美的FA。
[05:17] 這句話一出來,
[05:18] 堪稱完美防禦了外資的質疑。
[05:21] 他不僅點出他們深厚的公差管理戶成合,
[05:24] 同時也非常務實地承認,
[05:26] 為了供應鏈的安全,
[05:27] 客戶未來必然會維持多供應商策略。
[05:30] 這真的展現了極高的誠實度。
[05:33] 其實這也帶出了我們今天的逆向觀點。
[05:37] 大家知道嗎?
[05:38] 市場在法說會前一度陷入恐慌,
[05:42] 認為康寧新發布的Glass Bridge技術
[05:45] 會直接摧毀大力光的CPU夢想。
[05:48] 但其實這是一個徹頭徹尾的誤解。
[05:51] 康寧的技術是為了解決邊緣口合入境的問題,
[05:55] 而大力光主攻的叫做光葬口合。
[05:58] 你要知道,連NVIDIA的GPU主要也是採用這條路線的。
[06:04] 這兩條技術路線在未來將會長期併存,
[06:08] 所以康寧不僅沒有吃掉大力光的市場,
[06:11] 反而是一起把整個CPU市場的餅給做大了,
[06:15] 市場真的是錯殺了大力光的技術競爭力。
[06:18] 好,但樂觀派的投資朋友也先別高興得太早。
[06:23] 我必須在這裡潑大家一盆冷水。
[06:25] 大家想想看二零二八年的營收預估,現實是很骨感的。
[06:30] 即便大力光的CPU市產線未來順利量產,
[06:34] 它對整批營收的貢獻佔比,就上到了二零二八年,
[06:38] 也僅僅只有1%到2%而已。
[06:40] 剩下的98%依然被傳統手機本頁死死綁住。
[06:44] 這代表什麼?
[06:45] 這代表市場完全高估了CPU短期內能帶來的財務貢獻,
[06:50] 大力光的命運終究還是掌握在傳統手機的毛利手裡。
[06:54] 好,那既然機本面充滿了這麼極端的預期落差,
[06:59] 請接著進入第二部分,估值大對決。
[07:02] 我們直接來拆解外資反而目標價背後的數字邏輯。
[07:07] 說真的,大力光現在到底值多少錢?
[07:10] 我們來看看不同情境下的估值矩陣,
[07:13] 你就會發現這個風險報酬的落差有多恐怖。
[07:17] 如果我們落入了最糟的雄勢情境,
[07:19] 也就是剛才說的可片光圈良率崩壞, AI光環被完全剝離,
[07:24] 那本一筆就會被打回原形,
[07:26] 回落到傳統領主件的15-18倍。
[07:29] 那目標價的防線就會一口氣退手到2625元到3150元。
[07:35] 這個我們稱之為Bury防線。
[07:37] 但是如果是向富邦投顧等機構喊出的極端牛市,
[07:41] 也就是所謂的瘋狂價,
[07:43] 他們可是給出了高達27倍的本一筆,
[07:45] 目標價直接一路喊到6340元。
[07:49] 這中間的差距真的是非常巨大。
[07:52] 其實要支撐這高達27倍的本一筆,
[07:56] 市場的邏輯完全是建立在一個雙引擎的完美敘事上。
[08:01] 哪雙引擎?
[08:02] 第一,iPhone的可片光圈必須成功帶來產品單價的實質提升。
[08:07] 第二,大力光必須成功轉型,
[08:10] 被市場視為罕見的AI基礎設施概念股來重新定價。
[08:15] 但就像我們前面所說的,
[08:17] 這兩個引擎只要有任何一個中途熄火,
[08:20] 這個所謂的瘋狂價,絕對會瞬間崩塌。
[08:24] 主持人A,這就來到了我們的第三部分,
[08:28] 事前驗失。
[08:30] 現在我們必須把語氣放沉重一點,
[08:33] 一起來看看未來究竟有哪三大致命斷點,
[08:37] 可能會直接擊潰大力光的成長聲化。
[08:41] 與其跟著市場無腦狂寬,
[08:43] 身為散戶我們更必須冷靜思考,
[08:46] 如果大力光接下來市值腰斬,直接跌掉50%,
[08:51] 那最大的黑天鵝到底會是什麼?
[08:53] 第一致命斷點,可變光圈良率陷入死亡之故。
[08:57] 如果在接下來的第三季財報中,
[09:00] 毛利率不僅沒有受惠與傳統旺季,
[09:03] 反而還跌破了48%的生死線。
[09:07] 這就宣告大力光深陷低毛利代工的泥鬧,
[09:10] 股價絕對會面臨20%到30%的估值重挫。
[09:15] 那第三個斷點則是CPO認證如果發生嚴當,
[09:19] 或是客戶強勢引入多供應商爆發價格戰,
[09:23] 把原本高精度的FA變成殺雞取亂的鴻海市場,
[09:27] 這也是一大重傷。
[09:29] 但各位請特別注意,
[09:31] 最危險的其實是剛剛跳過的第二點,
[09:35] 萬一AI手機中端銷售遭遇滑鐵爐,
[09:38] 這個觸發的警戒指標其實非常明確,
[09:41] 就是單月營收60億元,
[09:44] 如果9月或10月的單月營收,
[09:46] 連60億元這個大關都無法突破,
[09:49] 那就代表大客戶已經啟動了砍單機制,
[09:52] 這會引發機構法人的連鎖停損潮,
[09:55] 全年的EPS預期絕對會快速回落。
[09:59] 好,那面對這麼多的不確定性,
[10:02] 我們直接進入第四部分,行動催化及日曆,
[10:06] 這是我們特別為大家整理出來,
[10:08] 能帶各位避開估值陷阱的領先指標。
[10:12] 投資不能只聽長期的夢幻故事,
[10:15] 我們必須掌握具體的時間進程。
[10:18] 接上來這三個關鍵時間點,
[10:20] 請大家務必刻在腦海裡。
[10:23] 首先是8月和9月,
[10:25] 請嚴密追蹤大力光的單月營收
[10:28] 是不是有重返50億到60億的高檔,
[10:31] 這是檢驗蘋果拉貨動能最直接的時機時。
[10:35] 再來9月底,請請盯供應鏈的新聞,
[10:39] 確認CPO的自動化市產線是不是有如期裝機完畢,
[10:43] 最後就是10月中旬的第三季財報公佈,
[10:47] 這將會是毛利利能不能重返50%的終極保衛戰。
[10:52] 等等,在這裡我必須強力介入一下,
[10:55] 我們要嚴守這場解析的臨幻想原則。
[11:00] 很多散火朋友這時候一定很想問,
[11:02] 那技術面的支撐位到底在哪裡?
[11:05] 外資籌碼現在到底怎麼看?
[11:07] 請特別注意,在這份基於法說會的分析報告中,
[11:12] 完全沒有提及任何技術面指標或外資籌碼動向。
[11:16] 既然報告沒寫,我們就絕對不瞎猜。
[11:19] 這是一場純粹基本面與估值的印象,
[11:22] 大家必須嚴格依靠剛剛說的財務指標來做判斷。
[11:27] 沒錯,所以總結一下我們今天給散戶朋友的尋寶清單,
[11:32] 請大家主動去追蹤這四件事。
[11:35] 第一,追蹤89月營收的年增率。
[11:38] 第二,緊盯Q3毛利率能不能重返50%大關。
[11:43] 第三,驗證9月底CPO市場限制進度,
[11:47] 最後還要特別觀察,
[11:48] 2000萬畫素以上的高階鏡頭出貨占比,
[11:52] 能不能突破現有10%到20%的天花板。
[11:56] 你想哦,如果連這個比例都突破不了,
[11:58] 那就代表本業成長的天花板真的已經卡死了。
[12:03] 總而言之,這是一場極度高風險的技術轉型。
[12:07] 大力光現在就站在歷史的十字路口,
[12:10] 究竟他們能不能成功跨越可變光圈的死亡之骨,
[12:15] 旋律化身為AI基礎設施不可或缺的超級血管工呢?
[12:20] 還是說在圍成粒子的干擾,
[12:23] 還有本業成長停滯的雙重打擊下,
[12:25] 這高達27倍本益比的AI狂熱,
[12:29] 終究只會是傳統相機雕刻師最後的幻象。
[12:33] 下半年馬上就會見真章。
[12:35] 希望我們今天的深度財報解密
[12:37] 能幫助大家看透市場迷霧,做出最理性的判斷。
[12:41] 今天的解析就到這邊,各位投資朋友,我們下次見!
