[00:00] 各位直接切入正題
[03:42] 管理層已經明說
[03:44] 紐約州的行政命令
[03:45] 對大型雲端服務商的實質建值影響
[03:48] 極為有限
[03:49] 市場完全低估了現在
[03:51] 產能公布應求的吃緊程度
[03:54] 把缺料誤判成了需求放緩
[03:56] 第三部分
[03:57] 極限估值與勝率對決
[03:59] 我們要透過混合估值模型
[04:01] 找出價值安全邊界
[04:04] 首先來看極端下檔風險
[04:06] 根據23位分析師調查
[04:08] 2026年預估EPS中位數
[04:10] 上修到了36.0元
[04:13] 我們就用這36.0元為基準
[04:15] 建構Bury防線
[04:17] 也就是終極安全邊界
[04:19] 算法很殘酷
[04:20] 用36.0元乘上極度保守的
[04:23] 20倍本益比
[04:24] 再打個8折
[04:25] 算出來的極端防守價是576元
[04:28] 如果跌到這裡
[04:29] 代表風險已經極低了
[04:31] 但我們不能只看悲觀面
[04:34] 回到法人的共識合理價
[04:36] 如果給予同業平均的
[04:38] 25倍本益比
[04:39] 合理價落在900元
[04:41] 要知道
[04:42] 國際上的數據中心
[04:44] 電源與易冷龍頭
[04:45] Vertif
[04:46] 預估本益比高達32.6倍
[04:49] 燃料電磁同業
[04:50] Bloom Energy
[04:51] 更是高達40.2倍
[04:53] 這證明了台達電
[04:55] 在國際龍頭標準下
[04:56] 絕對還有非常巨大的
[04:58] 估值重估上漲空間
[05:00] 更刺激的來了
[05:02] 如果市場進入
[05:03] 對AI資本支出的極度狂熱期
[05:05] 這就是我們的瘋狂價
[05:07] 一旦市場給出歷史高峰的
[05:09] 35倍本益比
[05:11] 股價的絕對巔峰
[05:12] 前力將上看1260元
[05:14] 這就是泡沫段的極致目標
[05:17] 也是獲利結算的最佳時機
[05:20] 第四部分
[05:21] 致命黑天鵝情境分析
[05:23] 我們來做個
[05:24] 事前驗屍與地獄做空劇本
[05:28] 把樂觀情緒收起來
[05:30] 假設時間來到2026年底
[05:33] 這筆投資讓我們慘賠了50%
[05:36] 到底是發生了什麼事
[05:38] 這是來自地獄的做空劇本
[05:41] 第一
[05:42] 如果AI伺服器建制熱潮
[05:44] 在2027年出現斷牙式降溫
[05:47] 700億的龐大資本支出
[05:49] 加上縮短到3年的折舊
[05:52] 會立刻變成
[05:53] 吞噬毛利率的閒置折舊風暴
[05:55] 第二
[05:56] 中國對首相是麥格米特
[05:58] 正請力複製中低階電源技術
[06:01] 一旦觸發鴻海價格戰
[06:03] 將嚴重壓迫利潤
[06:05] 第三
[06:06] 如果電動車事況持續低迷
[06:08] 交通部門將持續大撕血
[06:10] 嚴重拖累整體的股東權益報酬率
[06:14] 還有一個最致命的
[06:15] 短期供應鏈斷點
[06:17] 管理層已經坦承
[06:19] 關鍵功率半導體元件
[06:21] 尤其是高階MOSFET
[06:23] 出現了極端的短缺
[06:25] 交貨期顯著拉長
[06:27] 如果這個瓶頸不解決
[06:28] 就算雲端大廠訂單塞報
[06:31] 台大店也無法轉化為出貨營收
[06:34] 這將直接擊潰所有的獲利預期
[06:37] 剛才提到的
[06:38] 都還是商業競爭
[06:39] 但最大的黑天鵝
[06:41] 是所謂的典範轉移
[06:43] 用五歲小孩聽得懂的話來說
[06:46] 如果未來 AI 模型訓練演算法出現突破
[06:50] 超級大腦突然不需要吃那麼多電了
[06:52] 或者業界發明了一種
[06:54] 完全不需要台大店水冷設備的
[06:56] 全新散熱技術
[06:58] 那麼台大店砸下幾百億
[07:00] 擴建的傳統電源於水冷機櫃產能
[07:03] 將瞬間淪為無用的沉默成本
[07:05] 與巨額負載
[07:07] 這才是最致命的死因
[07:09] 最後第五部分
[07:10] 散戶避坑與尋寶行動
[07:13] 催化劑日曆與籌碼甜蜜點一次看懂
[07:17] 我們把視角拉回現在
[07:19] 準備降落
[07:20] 對於正在盯著這檔股票的投資人
[07:23] 接下來該怎麼做
[07:24] 請記下這份催化劑日曆
[07:27] 首先第三季
[07:28] 正負四百幅高壓直流電源產品
[07:31] 進入量產階段
[07:33] 這是關鍵的技術里程碑
[07:35] 接著10月底公佈Q3財報
[07:38] 市場會拿著放大鏡嚴格檢驗
[07:41] 他們下半年優於上半年的承諾
[07:43] 到底有沒有兌現
[07:45] 最後第四季
[07:46] 觀察這批新產品的出貨放量
[07:49] 如果出貨速度超越預期
[07:51] 就會激發新一輪的股價上調
[07:54] 技術面上的進場甜蜜點
[07:57] 可以設定在除權襲後的
[07:58] 爆亮旗掌支撐區
[08:00] 但請務必記住
[08:02] 設定好你的停損鐵板架
[08:05] 沒錯一旦財報開出來
[08:06] 貿利率無預警跌破30%
[08:08] 或者是AI相關營收占比
[08:10] 出現連續兩劑下滑
[08:11] 不要有浪和猶豫
[08:12] 立刻棄權停損
[08:13] 投資永遠是在風險與報酬中
[08:16] 找尋平衡
[08:17] 所有的極限擴產與估值重購
[08:19] 都在這份財報法醫的檢視下了
[08:22] 現在問題來了
[08:23] 這700億的瘋狂資本支出
[08:25] 究竟會成為台達電
[08:27] 稱霸全球的無敵護城河
[08:29] 還是壓垮貿利率的沉重包袱
[08:32] 答案或許就藏在你的
[08:34] 下個月觀察清單裡
