[00:00] 傑瑪34563穆德科技
[05:00] 對價格根本不敏感
[05:01] 市場完全看錯方向了
[05:03] 接下來進入第二部分
[05:06] 估值大對決
[05:07] 我們來看看這個跨越產業
[05:09] 紅溝的混合估值模型
[05:12] 既然市場有這麼大的認知盲區
[05:15] 我們就要把穆德真實的內在價值給逼出來
[05:18] 這裡建構了一個三階段的情境模型
[05:21] 請注意哦
[05:22] 這是基於多家卷商對2026年EPS共識
[05:26] 均值25.24元算出來的
[05:28] 這部分法書會上並沒有提及
[05:31] 純粹是外部預測
[05:33] 如果在極度悲觀的系統性風險下
[05:35] 我們的便宜價也就是Berry房線
[05:37] 落在403.8元
[05:40] 但如果市場完全瘋狂
[05:42] 給予先進封裝概念股極致的溢價
[05:44] 那個昂貴價的天花板
[05:46] 可是高達1345.2元
[05:49] 你去對比一下同業的預估本益比
[05:52] 答案就超明顯了
[05:53] 得率拿到了30倍
[05:55] 置勝更是高達53倍
[05:58] 而正在跨越產業紅溝的穆德
[06:01] 目前股價居然只在合理價區間的下緣
[06:05] 這代表什麼
[06:06] 這代表一個高度不對稱的1比2.8
[06:09] 風險回報比
[06:11] 只要他們的轉型被市場徹底認可
[06:13] 隨時都有可能上演
[06:14] 獲利跟本益比同步噴發的
[06:17] 戴威斯雙級大戲
[06:19] 好 深呼吸
[06:20] 我們進入第三部分
[06:21] 終極風險與壓力測試
[06:24] 現在我們要來進行事前驗施囉
[06:27] 狂熱過後
[06:28] 我們必須做最嚴格的壓力測試
[06:31] 假設2026年這當股票真的崩盤了
[06:35] 到底會是什麼原因
[06:37] 我們可不是死多頭
[06:38] 必須看見潛在的致命傷
[06:41] 第一把火
[06:42] 礁奇崩潰
[06:43] 如果高階光學鏡頭缺料惡化
[06:46] 礁奇拖到八個月甚至一年
[06:49] AI大廠絕對翻臉轉單
[06:51] 那205億合約負債
[06:53] 炫減便泡影
[06:54] 第二把火
[06:55] 通膨反噬
[06:57] 如果成本失控
[06:58] 又沒辦法對台積電這些巨頭漲價
[07:01] 毛利率一旦跌破60%銅線
[07:04] 本益比絕對會被無情屠殺
[07:06] 第三把火
[07:08] 大此村先進封裝檢測設備
[07:10] 在第四季的beta測試
[07:12] 如果慘遭客戶退貨
[07:14] 那砸下去的極意研發費用跟估值溢價
[07:18] 絕對瞬間蒸發
[07:20] 那在所有風險裡面
[07:21] 報告點出了一個最可怕的單一致命斷點
[07:25] 也就是跨國產能的物理極限
[07:28] 你又知道
[07:28] 奈米級的光學調校
[07:30] 絕對不是那種低階的組裝流水線
[07:33] 如果泰國曼谷廠
[07:35] 或是中國大陸的新廠
[07:37] 因為工程師技術不到位
[07:39] 或者無程式參數不穩
[07:40] 導致良率沒辦法複製
[07:42] 那60億的產能藍圖
[07:44] 就只是一張空頭支票而已
[07:47] 最後
[07:47] 如果真的引發50%暴跌的黑天鵝
[07:50] 完美風暴來臨
[07:51] 那劇本一定長這樣
[07:53] 美國商務部突然擴大科技禁令
[07:56] 直接卡死中國本土PCB
[07:58] 跟載板廠的擴產
[07:59] 同一時間
[08:00] 華爾街對AI變現失去耐心
[08:02] 微軟Google帶頭大砍資本支出
[08:05] 終端泡沫破裂
[08:07] 再加上地緣政治繳殺
[08:08] 這將會是不可逆的毀滅性打擊
[08:11] 好的
[08:12] 感謝A波的這一噴冷水
[08:14] 但大家記住
[08:15] 機會永遠是伴隨著風險的
[08:18] 我們進入第四部分
[08:20] 實戰時機與策略
[08:22] 來看看催化劑日曆跟籌碼博弈
[08:25] 接下來的3到4個月
[08:27] 絕對是黃金G級期
[08:29] 8到9月
[08:30] 昆山熱旗跟新竹三廠相繼啟用
[08:33] 這就是消化合約
[08:34] 負債的第一個明確訊號
[08:36] 緊接著9月
[08:38] Semi-Con台灣國際半導體展
[08:41] 雖然法卓會沒有特別提這個展覽的細節
[08:44] 但這絕對是沐德向全球展示
[08:46] 先進封裝檢測火力的最強舞台
[08:49] 到了10月
[08:50] 不僅有TPCA展
[08:52] 泰國曼谷廠也將正式投入營運
[08:55] 你看這幾個月
[08:56] 每一個節點都是引爆股價重估的猛要啊
[09:00] 我們再來透視一下籌碼面
[09:02] 這段數據報告也有著名是
[09:04] 法卓會未提及的外部資料
[09:07] 但極度關鍵
[09:08] 目前內部人跟特定法人的籌碼集中度
[09:12] 高達51%左右
[09:14] 也就是說
[09:15] 這些本土大金魚
[09:16] 實時抱著籌碼根本不放
[09:19] 而外資持股
[09:20] 現在居然只有6%到7%
[09:23] 這暗示的什麼
[09:24] 這暗示大勤外資
[09:26] 根本還沒意識到沐德這次轉型的爆發力
[09:29] 一旦外資開始認錯回補
[09:31] 那就是主聲段發動的時候了
[09:34] 所以大家最關心的實戰點未來囉
[09:37] 籌碼甜蜜點的進場支撐位
[09:39] 我們設定在680到700元這個區間
[09:42] 如果因為大盤挫殺跌進這裡
[09:44] 真的閉著眼睛撿這個流動性溢價的禮物
[09:48] 但是風險控制永遠是活命的唯一法則
[09:52] 我們的停損鐵板價
[09:53] 嚴格設定在580元
[09:55] 如果出現代量長黑疊迫這個價位
[09:58] 代表我們剛剛提到的黑天鵝
[10:00] 極右客人已經被市場上的聰明前提前知道了
[10:03] 一旦破線無條件停損出場
[10:06] 絕對不要帶任何個人情緒
[10:08] 沒錯
[10:08] 從賣鐵蕎到賣奈米雷射探測儀
[10:11] 這是一場極度暴力的1比2.8不對稱戰局
[10:16] 雖化劑的日曆都已經攤在各位面前了
[10:18] 現在唯一的問題是
[10:20] 你準備好迎接這場高勝率的生死轉型了嗎
[10:23] 今天的深度解析就到這邊
[10:25] 我們下次見
