[00:00] 7月24號全球宏觀經濟大震盪
[03:14] 這可是過去常態的兩倍
[03:16] 更可怕的是
[03:17] 扣除存貨後的速動比率
[03:19] 急劇像到了59.11%
[03:22] 整體負債比率也飆升到58.38%
[03:25] 大量的流動資金全部卡在庫存裡
[03:28] 這絕對是財務結構上的定時炸彈
[03:31] 慢著
[03:32] 你不能只看左邊的風險指標
[03:34] 你看看右邊這項無敵的防禦數據
[03:37] 第一季的合約負債年增率
[03:39] 高達114.87%
[03:42] 這可是延續了去年第四季
[03:44] 311.47%的瘋狂增速
[03:47] 大家要知道
[03:48] 合約負債本職上
[03:49] 就是下游客戶預先付的定金
[03:52] 這無可辯駁地
[03:53] 印證了下游中端客戶
[03:54] 因為恐慌缺貨
[03:56] 正捧著大把現金
[03:57] 提前綁定產人
[03:59] 這完全給了下半年的營收
[04:01] 一個堅若盤時的保障
[04:03] 這就帶出我們的逆向觀點了
[04:05] 現在市場的多空雙方
[04:07] 其實都嚴重陷入了盲區
[04:09] 大家還是把羽餐當成傳統的
[04:11] 標準型記憶體摸豬場
[04:13] 但完全錯了
[04:15] 人家早就構築了
[04:16] 極深的邊緣運算護城河
[04:19] 確實
[04:19] 數據顯示
[04:20] 他們目前已經有過半的營收
[04:22] 是來自公控特殊營用
[04:23] 沒錯
[04:24] 而且他們還推出了
[04:25] LOP DDR5 CAM2記憶體解決方案
[04:29] 再加上無風扇專用的
[04:30] Gray Threx散熱技術
[04:32] 降溫可以高達23.4度
[04:34] 最關鍵的是
[04:35] 這些醫療網通資安
[04:37] 還有自動化領域的客戶
[04:39] 對價格的敏感度其實極低
[04:41] 他們要的是極端環境下的
[04:43] 絕對穩定度
[04:44] 羽餐早就華麗轉身
[04:46] 變成邊緣運算基礎
[04:48] 設施的關鍵供應商了
[04:49] 這才是他們能維持
[04:51] 高毛利的最強底氣
[04:53] 好
[04:53] 既然雙方的論點
[04:54] 都攤在陽光下了
[04:56] 我們接著進入第三部分
[04:58] 孤職對決
[04:59] 來計算這其中的極端風險與報酬
[05:02] 面對上半年
[05:03] 高達35.5億元的
[05:05] 瘋狂美股盈餘
[05:07] 過去法人那套
[05:08] 60到70元的舊有孤職模型
[05:10] 已經徹底失效了
[05:12] 大家看看我們建構的
[05:13] 這一套孤職與敏感度矩陣
[05:16] 這是一場極端風險
[05:17] 與極端報酬的殘酷對決
[05:19] 如果法說會的承諾跳票
[05:21] 進入雄勢情境
[05:23] 面臨純貨疊價損失
[05:25] 預估全年美股盈餘
[05:26] 掉到45至50元
[05:28] 在緊氣循環漸頂的懲罰性
[05:30] 4到5倍本益比下
[05:32] 目標價將崩疊至
[05:34] 180到250元區間
[05:36] 這對散戶來說
[05:37] 覺得是腰斬
[05:38] 以上的毀滅性打擊
[05:39] 但我們反過來想
[05:40] 如果符合預期
[05:42] 在基準情境下
[05:43] 全年美股盈餘
[05:44] 65到72元
[05:46] 目標價是可以上看
[05:47] 390到504元的
[05:49] 那如果是最狂的
[05:50] 牛市情境呢
[05:51] 如果邊緣運算大爆發
[05:53] 而且供需持續緊缺
[05:55] 全年美股盈餘
[05:56] 突破85元以上
[05:58] 到時候想有轉型
[05:59] 溢價的8到10倍本益比
[06:01] 目標價將直指
[06:02] 680到850元
[06:04] 各位從180元的
[06:06] 深淵到850元的天花板
[06:08] 這個風險
[06:09] 報酬比的差距
[06:10] 真的太驚人了
[06:11] 不過身為嚴謹的財務法益
[06:14] 我們必須進入第四部分
[06:16] 致命風險
[06:17] 馬上進行無情的
[06:19] 逆向宏軍測試
[06:21] 我們必須想清楚
[06:22] 如果這場好賭失敗
[06:24] 最可能是哪個單一環節出錯
[06:27] 有三個致命情境
[06:28] 可能會讓這檔股票
[06:30] 瞬間雪崩
[06:31] 第一 供給衝擊
[06:33] 如果中國長新
[06:34] 或者是長江存儲
[06:36] 在製程上取得突破
[06:38] 開始向全球
[06:39] 清消低價標準品
[06:41] 雨災那166天的
[06:43] 劇量存貨
[06:44] 就會面臨毀滅性的跌價
[06:46] 原本50%以上的毛利率
[06:47] 恐怕會直接墜牙
[06:49] 下碳到20%
[06:51] 第二 需求破壞
[06:53] 如果PC和筆電平擺商
[06:55] 承受不住物料清單成本標長
[06:57] 消費者也不買單
[06:59] 才會導致第四季
[07:00] 拉貨瞬間激動
[07:02] 第三 這也是最可怕的
[07:04] 流動性枯竭
[07:06] 如果速動比率
[07:07] 跌破50%
[07:08] 加上存貨區化變慢
[07:10] 40億的營運資金迅速耗盡
[07:13] 這時候萬一銀行抽銀根
[07:15] 公司就會被迫任賠島貨來換現金
[07:18] 這絕對是萬劫不負的打擊
[07:21] 聽完這麼心驚肉跳的風險分析
[07:24] 散戶到底該怎麼實際操作
[07:27] 進入我們最後的第五部分
[07:29] 行動清單
[07:30] 為你送上散戶避坑
[07:32] 與尋寶的30天生存指南
[07:36] 投資人們 我們不說空話
[07:38] 請緊盯接下來這四大領先指標
[07:41] 第一 避坑動作
[07:42] 每天去追蹤DDR4的報價
[07:45] 一旦出現現貨價跌破合約價
[07:48] 這代表超額利潤即將消失
[07:50] 這是最明確的空頭訊號
[07:52] 請果斷解碼
[07:54] 第二 下一季Q3的財報
[07:56] 如果存貨周轉天數
[07:58] 繼續突破170天
[08:00] 而且速動比率無力回升
[08:02] 千萬千萬別追高
[08:04] 那如果是好的尋寶訊號呢
[08:06] 第三 去追蹤合約負債
[08:08] 如果接下來的財報
[08:10] 合約負債還能維持雙位數
[08:12] 甚至三位數的年增
[08:13] 代表鐵底的支撐極強
[08:16] 第四 驗收DDR4G營收
[08:18] 密切關注10月跟11月
[08:20] 如果EMMC和CM2模組
[08:23] 能帶動單月營收
[08:24] 穩定佔上25億到30億元
[08:27] 這就印證了他們實質轉型成功
[08:30] 這絕對是長線佈局的最佳買進訊號
[08:33] 所以各位投資人
[08:34] 現在最大的問題來了
[08:36] 與參這場40億元的
[08:39] 高槓感囤貨好賭
[08:40] 究竟是會徹底改寫
[08:42] 整個記憶體產業的獲利規則
[08:44] 還是會以一場
[08:45] 史詩級的庫存崩盤悲劇來收場
[08:48] 這張牌桌上的波動與風險
[08:49] 絕對超乎想像
[08:51] 照著我們給的清單
[08:52] 死死盯緊你的數據
[08:53] 這份解析
[08:54] 我們下次見
