[00:00] 直接切入正題
[03:35] 沒錯
[03:35] 儘管AI成長非常強勁
[03:37] 但看看2026年前五個月的數據
[03:40] 智慧手機物聯網跟消費電子
[03:42] 合計依然佔據了高達
[03:44] 71%的絕對比重
[03:46] AI與歸光子其實只佔了23%
[03:49] 這意味著什麼
[03:51] 如果下半年全球消費性電子的
[03:52] 買氣稍微有點低迷
[03:54] 這71%傳統業務的衰退
[03:57] 將會輕而易舉的吞噬掉
[03:58] 那23%AI業務帶來的
[04:00] 所有增量利潤
[04:02] 規格生存的命脈
[04:03] 很大程度其實還是在
[04:05] 傳統科技手裡
[04:07] 我們繼續往下挖
[04:08] 來看看法說會Q&A環節中
[04:11] 管理層面對法人
[04:13] 連續居及時的關鍵回應
[04:15] 當被問到這些AI訂單
[04:17] 是不是只是競爭對手
[04:19] 產能滿載後裔出來的
[04:21] 外裔需求時
[04:23] 從今日的回答居然是
[04:24] 我不確定
[04:26] 這語氣可以說是極度缺乏確信度
[04:28] 這強烈暗示了
[04:29] 他們在最高階AI晶片測試領域
[04:32] 根本沒有資本市場
[04:34] 想像的那種壟斷優勢
[04:36] 所謂的外裔訂單
[04:38] 以淡整個產業的需求
[04:40] 出現微幅鬆動
[04:41] 他們絕對是最先被抽單
[04:44] 溢價能力最弱的那一群
[04:46] 更精彩的在後面
[04:47] 當法人單刀植入
[04:49] 直接問平均價格漲幅
[04:51] 來探測他們的定價權勢
[04:53] 管理層居然表示
[04:55] 尚未估算出平均漲幅
[04:57] 一家對外宣稱高階產能
[04:59] 已經被雲端巨頭
[05:00] 提前預訂滿滿滿的測試廠
[05:03] 竟然無法給出一個
[05:04] 明確的漲價指引
[05:06] 這代表什麼
[05:07] 這代表他們在面對
[05:08] 那些超大客戶時
[05:09] 根本是處於絕對弱勢的
[05:11] 價格承受者
[05:13] 如果你沒有強勢的
[05:14] 全面漲價能力
[05:15] 那你到底要拿什麼去
[05:16] 對抗未來勢必會
[05:18] 跟著飆升的折舊成本
[05:19] 現在進入第三部分
[05:21] 我們要進行一場
[05:22] 財務法醫調查
[05:24] 看看合約負債
[05:25] 是如何雪崩的
[05:27] 既然管理層在法書會上
[05:29] 含酷其詞
[05:30] 那我們就親自潛入
[05:31] 資產負債表裡找答案
[05:33] 首先我們來看一個表面上
[05:34] 看起來超級漂亮的數字
[05:36] 14.97
[05:37] 這是他們
[05:38] 2026年第一季的
[05:40] 存貨周轉天數
[05:41] 對風車廠來說不到15天
[05:43] 這是一個非常輕盈
[05:44] 非常健康的狀態
[05:46] 這證實了目前產線上的
[05:47] 流轉速度依然很順暢
[05:49] 駕動率確實也維持在
[05:50] 不錯的水準
[05:51] 但小心哦
[05:52] 這可能會給人一種
[05:53] 虛假的安全感
[05:54] 讓你以為一切都在
[05:56] 完美的掌控之中
[05:58] 在這層虛假的安全感背後
[06:00] 真正的殺機
[06:01] 其實藏在這個
[06:02] 合約負債的崩塌現場
[06:04] 合約負債本質上是什麼
[06:06] 它就是客戶為了搶奪
[06:08] 稀缺產能
[06:09] 而提前支付給你的
[06:10] 預收款或是保證金
[06:12] 如果AI測試產能
[06:13] 真的引發了
[06:14] 國際大客戶的
[06:15] 包廠大戰
[06:16] 這個數字理所
[06:17] 當然應該要跟著資本支出
[06:19] 一飛衝天對吧
[06:20] 但你看看數據
[06:21] 從2025年第一季的0.25億
[06:24] 一路暴跌到2026年第一季
[06:26] 居然只剩下0.098億
[06:28] 衰退幅度高達六成
[06:30] 預付款可以說是幾乎枯竭了
[06:33] 這背後代表著
[06:34] 什麼樣的殘酷現實
[06:36] 這代表大客戶
[06:38] 在整個供應鏈中
[06:39] 擁有絕對的霸權
[06:41] 他們只要雕出一紙
[06:43] 完全沒有約束力的預測訂單
[06:46] 四個個的乖乖
[06:47] 砸下88億的真金白銀去擴產
[06:50] 客戶根本就不洩負錢
[06:52] 來綁定機台
[06:53] 沒有那種照付不易的
[06:55] 長約保護
[06:56] 意味著一旦風向稍微改變
[06:59] 這88億擴充產能
[07:01] 帶來的所有財務風險
[07:03] 將100%由C格的股東
[07:05] 單方面吃下來
[07:07] 這數據無情的戳破了
[07:08] 市場對於絕對定價權的
[07:10] 那種玫瑰色幻想
[07:12] 把剛剛說的這些風險
[07:14] 全部帶入孤職舉證裡
[07:16] 我們就能徹底看清
[07:18] 現在進場的投資人
[07:20] 處境有多危險
[07:21] 我們來推演一下
[07:23] 目前股價229.50元
[07:25] 這代表市場
[07:26] 已經在交易所謂的牛市情境了
[07:29] 也就是預期EPS
[07:30] 會達到9.25元
[07:32] 而且還享有極高的
[07:34] AI本益比溢價
[07:35] 就算規格100%
[07:37] 完美兌現了
[07:38] 法說會上所有的承諾
[07:40] 股價向上的空間
[07:41] 算一算
[07:42] 大概也只剩下30%
[07:44] 也就是差不多300元左右
[07:46] 但各位
[07:47] 請看看最上面的雄市情境
[07:50] 一旦產能真的閒置
[07:52] 外易訂單消失
[07:54] EPS下滑
[07:55] 本益比只要回歸傳統的15倍
[07:58] 目標價將會直接下殺到97.5元
[08:02] 向上的空間非常有限
[08:04] 但向下的重估殺傷力
[08:06] 卻高達50%以上
[08:08] 這絕對是一場勝率與賠率
[08:10] 極度不對稱的危險博弈
[08:12] 接下來是第四部分
[08:14] 也是最關鍵的
[08:15] 逆向弘軍測試
[08:17] 直擊致命風險
[08:19] 作為嚴謹的財務分析
[08:21] 我們必須要推演最壞的狀況
[08:24] 第一個致命情境是
[08:25] 虎口二場的全新機台
[08:27] 確實已經就位了
[08:29] 但如果
[08:30] 那些雲端巨頭
[08:31] 剛好面臨了先進風裝
[08:32] 比如說CoAZ的良率瓶頸
[08:35] 導致晶片流片被迫遞延呢
[08:38] 目前的超高估值
[08:39] 是完全建立在
[08:40] 新廠一開出
[08:42] 就立刻滿載的完美架設上
[08:44] 因為前面說過
[08:46] 他們缺乏預收款跟合約保護
[08:48] 所以一旦前端出現延遲
[08:50] 隨格收到了晶片數量
[08:52] 遠遠低於當初的口頭承諾
[08:54] 這些價值幾十億的
[08:56] 全新測試機台
[08:57] 就只能在廠房里漲灰塵
[08:59] 完全閒置
[09:00] 一旦機台閒置
[09:02] 就會直接引發
[09:03] 這四個字
[09:04] 折舊海嘯
[09:05] 在半拿體封測業
[09:07] 折舊是一隻
[09:07] 不眠不秀的吃人怪獸
[09:10] 一旦駕動率
[09:11] 跌破了80%的生存紅線
[09:13] 每個月暴增的折舊費用
[09:15] 將會直接集穿營業利益的方向
[09:18] 毛利率一旦幫他
[09:19] 外吃的大規模降頻報告
[09:21] 絕對會排散到海而來
[09:23] 到時候
[09:23] 股價上附加的那些AIE價
[09:25] 將會在瞬間徹底瓦解
[09:28] 最後來到第五部分
[09:29] 我們要給大家
[09:30] 一份生存行動計畫
[09:33] 如果你不想成為
[09:34] 最頗狂熱中
[09:35] 被高檔套牢的最後一隻老鼠
[09:38] 未來三個月
[09:38] 請你死死盯住這份清單
[09:41] 第一
[09:42] 八月中旬財報一出來
[09:43] 立刻去檢查合約負債
[09:46] 如果數字還是趴在0.1億左右
[09:48] 像是破底
[09:49] 那就鐵證如山
[09:50] 證明大科物包廠
[09:52] 完全只是沒有
[09:53] 違約金寶藏的空頭支票
[09:55] 第二
[09:56] 絕對要嚴格檢驗
[09:57] 7月與8月的月營收
[09:59] 管理層既然承諾虎口二廠
[10:01] 7月量產
[10:02] 那麼營收就必須出現
[10:04] 斷層式的躍升
[10:05] 要穩穩站上21億以上
[10:08] 如果只呈現那種溫吞的微幅增加
[10:10] 全年的樂觀EPS預估
[10:12] 就只是海市滲樓
[10:14] 第三
[10:15] 密切監控 金圓墊
[10:16] 日月光等同業的動態
[10:19] 如果他們也開始
[10:19] 無上限擴充AI機台
[10:21] 甚至出現消價競爭搶單的狀況
[10:24] 這絕對是
[10:25] 折舊海嘯來臨前
[10:26] 最強烈的反轉信號
[10:28] 沒有實質預付款
[10:30] 綁定的天文數字擴產
[10:32] 配上一個已經透支
[10:33] 未來完美的股價
[10:35] 在今天解析的最後
[10:37] 我們要留下這個問題
[10:38] 讓大家思考
[10:39] 當產能不再稀缺
[10:41] 當折舊海嘯真的來襲時
[10:43] 誰會是那個承擔100%
[10:46] 財務風險的接盤俠
[10:48] 希望不是一目前的你
[10:50] 今天的逆向拆解就到這裡
[10:52] 我們下次見
