[00:00] 各位投資朋友直接切入重點
[09:51] 散戶避坑與尋寶行動
[09:54] 我們到底該在什麼時間點
[09:55] 看什麼催化技術住
[09:58] 呼 聽完剛剛這麼硬派的風險分析
[10:01] 大家先深呼吸一下
[10:03] 我們現在從理論回到實際的操作面
[10:05] 到底什麼時候該盯什麼數據
[10:07] 這才是大家最關心最能變現的
[10:10] 這份散戶避坑與尋寶的催化器日曆
[10:14] 請立刻截圖
[10:15] 第一關 7 月 27 日
[10:17] 這是 CONTRON 收購案的最後期限
[10:19] 死盯著當天公告的收購比例
[10:21] 到底有沒有過 30%
[10:23] 這直接決定了最大的不確定性
[10:25] 是否解除
[10:26] 沒錯
[10:27] 第二關就是 8 月初公佈了 7 月營收
[10:30] 大家要知道 Q2 的爆發
[10:32] 其實包含了還債成分在裡面
[10:34] 所以 7 月營收能不能紋紋守住
[10:37] 150 億元的房線
[10:38] 才是檢驗 NCRV 這 120 億大單
[10:41] 是不是真的開始常態性放量的關鍵
[10:44] 最後第三關
[10:45] 8 月中旬的 Q2 財報
[10:47] 千萬拜託別只看 EPS 而已
[10:50] 你要看存貨周轉率
[10:52] 有沒有順利回到 1.04 以上
[10:54] 還有最關鍵的
[10:55] 營業現金流到底有沒有轉正
[10:58] 在這邊 我一定要踩個煞車
[11:00] 提醒大家
[11:01] 這份法說會報告
[11:02] 完全沒有提供任何關於技術面支撐
[11:06] 或是外資主力籌碼動向的指引
[11:09] 所以我們必須嚴格回歸基本面的財務數字
[11:13] 以及訂單進度來做決策
[11:15] 絕對不能盲目猜測
[11:17] 這才是最穩健
[11:18] 最負責任的禁止調查態度
[11:20] 節目的最後
[11:21] 我們要把這個價值千斤的問題
[11:24] 留給各位觀眾去思考
[11:26] 華漢這次押上的這 3,771 元存貨好賭
[11:30] 以及充滿精密算計的歐洲大併購
[11:33] 到底會讓他們成功加勉為實體 AI 的王者
[11:37] 還是會引發一場毀滅性的庫存雪崩呢
[11:41] 答案就藏在即將到來的 8 月關鍵數據裡
[11:44] 投資調能 請睜大眼睛 緊盯著
[11:47] 我們下次的深度解析見囉
