[00:00] 大家好,投资不想随便抓,锁定价值股雷达。
[04:20] 雷达跟你讲实在话,这就是在整个产业链里面保持绝对中立的最大好处。
[04:25] 他绝对不会笨到把自己公司的命脉跟单一一家巨头给实施绑在一起。
[04:30] 不管你今天用谁家的云端系统,他都有实力帮你完美整合。
[04:34] 现在市场上很多做云端服务的同业,往往都是被某一家国际大厂给牢牢绑住。
[04:40] 只要上面大厂的政策或者脸色稍微一变,底下小厂的业绩马上就会非常难做。
[04:45] 红鸡资讯这种左右逢源的中立承包商定位就完全不同。
[04:49] 他反而成功把被单一平台彻底绑死的营域风险给大幅压了下来。
[04:54] 这是他能够在业界持续接到不同领域,大客户订单的最强底气。
[04:59] 这边雷达就要来告诉你这个获利的水表到底是怎么转动的。
[05:03] 这里面的获利重点其实就只有四个字,这就是系统底藏的运算单位。
[05:08] 企业员工没开口问人工智慧一句话,系统只要在后台帮你生成一段文字。
[05:13] 这背后统统都在疯狂跳表。
[05:15] 这些看似微不足道的云端运算动作,全部都在帮红鸡资讯产生一笔又一笔的微信收入。
[05:21] 雷达跟你讲一句实在话,在商业模式上就是一个极度可怕的双向现金流飞轮。
[05:27] 飞轮的一边是红鸡资讯,兼用技术帮你把庞大的公司系统全部搬上云端,
[05:32] 并且帮你做好三大公有云的完美整合。
[05:35] 系统整合完毕之后,就是先把你们家员工的使用量给用力吹出来,
[05:39] 让大家习惯这种高效率的数为办公模式。
[05:42] 飞轮的另外一点就更有意思了,他转过头来又马上化生成你们公司的省电节能顾问。
[05:48] 顾问的工作,就是帮老板做运算单位的最佳化,还有执行最严格的内部资料安全治理。
[05:54] 各位投资朋友,你可以仔细想想看,这门一举两得的企业生液到底有多么奇妙。
[06:00] 公司经营阶层特别表示,我们一般老百姓个人使用人工智慧,往往都是不用花半毛钱的。
[06:07] 可是今天一旦换成大型企业,要全面倒入使用,那绝对是一笔又真实又昂贵的添加水电账单。
[06:13] 所以,红机资讯这门生意的底层逻辑,其实非常简单粗暴,客户系统的运算使用量越大,
[06:19] 红机资讯每个月能收到的钱就越多。
[06:22] 而且,他帮企业老板省下的远往前越多,公司内部的资料,这里的越是严谨。
[06:27] 这些大老板就越不可能离开他的云端服务。
[06:30] 一手用力,吹出庞大的系统使用量。
[06:33] 另一手,又帮老板省下不必要的营运成本。
[06:36] 这两手策略同时在市场上快速运转起来。
[06:39] 当这两个货利引擎完美结合在一起的时候,这个狂印钞票的双向飞轮就绝对停不下来了。
[06:45] 我们接着来看这页法售会资料里头有一个极度夸张的数字。
[06:49] 雷达请各位投资朋友,今天无论如何,一定要把它记在脑海里。
[06:54] 这个直接牵动未来公司营收爆发力的关键数字,就是整整高达一百倍的惊人落差。
[07:00] 以前大家在办公室里问人工智慧一句话,他就在萤幕上乖乖回答你一句简单的话。
[07:05] 那种落后的传统模式叫做单纯问答。
[07:08] 这背后系统资料的运算单位额朵,领多就是基本的一小分。
[07:12] 但是现在整个科技产业的发展趋势已经完全不一样了。
[07:16] 现代大企业真正想要倒入的是具备高度自主性的人工智慧。
[07:20] 老板们想要买的是一种不用主管精紧盯的,
[07:24] 就会自己主动去寻找各种问题来解决的,超级富为员工。
[07:28] 这种自主人工智慧要自己去公司的庞大资料库里面捞取重要数据,
[07:32] 甚至还要自动清理那些杂乱无章的历史就资料。
[07:35] 数位员工还要不断去呼叫各种应用程式界面来串接系统,
[07:39] 甚至得24小时不眠不休的帮老板盯着营运状况。
[07:42] 公司管理阶层明确表示了,这种高度自主的数位员工在背后所吃掉的庞大运算单位,
[07:48] 实在是超乎大家想象。
[07:50] 他的运算用量跟过去那种单纯的疑问一搭比起来,至少是整整暴增了一百倍以上。
[07:58] 这种暗表激飞的收钱水标一旦快速赚起来到底有多么可怕。
[08:02] 红击资讯在实战案例中就曾经帮一家台湾知名的科技大厂
[08:07] 针对他们规模庞大的海外工厂进行技术升级。
[08:10] 红击资讯直接替这家客户量身打造了一套完全由人工智慧驱动的全球出货预测平台。
[08:17] 这个成功案例的精华关键其实完全藏在后面这句说明理念,大家一定要把重点画起来。
[08:24] 公司表示他们跟全球三大工友云端巨头之间的利润分配模式正在经历一场极度巨大的改变。
[08:30] 他们的获利结构正从过去单纯的问答流量抽成,全面扩展到涵盖各种负载应用的多元化分润机制。
[08:37] 我们从这里可以得到一个非常合理的商业推论,企业把自主人工智慧在营运面上应用的越深越广。
[08:44] 红击资讯能够从中抽成赚钱的面向,就会变得越来越庞大。
[08:48] 这才是红击资讯整个长期收租故事里面最可怕的获利放大器。
[08:53] 一家公司未来的营收成长动力到底要从哪里来?
[08:56] 雷达今天就透过这些资料,直接把底细拆解给您看。
[09:00] 简单来说,就是三根粗壮的获利柱子,再加上一个火力非常强大的区域扩张外挂。
[09:05] 我们先来讲讲这家公司最稳固的营运地基,这也就是云端服务以及大量授权的软体业务。
[09:12] 这里面就包含了刚刚一直强调的庞大运算单位收入,公司表示这块最核心的业务目前占了整体营收超过60%的极大笔中。
[09:21] 他们在今年第一季就做出了21亿元的稳证业绩,比起去年同期更是直接成长了16%。
[09:28] 这个庞大的营收计计绝对是稳定整家公司获利的最强压仓石,大家投资这家公司晚上绝对睡得着掉。
[09:35] 接下来看到公司的第二根获利支柱,这块业务主要聚焦在企业应用开发还有其他的客制化软体服务。
[09:42] 应用开发这块业务目前占了总营收大约17%-18%的稳证比重。
[09:48] 他每年的业绩还能维持8%的稳定成长。
[09:51] 这背后最大的营收推手就是靠着政府机关的大型专案,以及企业客户不断升级的新产品需求,在持续推动。
[09:59] 而红击资讯的第三根支柱其实是雷达觉得最有意思的一块,这也是一般散户投资人最容易忽略的资讯安全加值服务。
[10:08] 这块业务虽然目前的营收基数最小,但它向上的爆发力却是三根柱子里面充得最猛烈的。
[10:14] 各位投资朋友,这里要特别注意听清楚。
[10:17] 公司管理层强调的是,资安业务的未完工订单比起去年大幅成长了18%。
[10:22] 大家要记住,这是未来确定能入账的合约订单,而不是过去的营重。
[10:27] 大家千万不要把这两个完全不同的财务概念给搞混了。
[10:30] 讲完三根支柱,最后我们来看看公司火力全开的区域扩张外挂。
[10:34] 目前他们在中国上海的据点,一年大约可以贡献两亿元的稳定业绩。
[10:39] 这个上海营业据点最大的战略意义,其实是作为掌握两岸台商情报,以及接单机会的最前线超战。
[10:46] 至于最近才刚插齐的越南河内据点,这是仅仅锁定着台湾电子五哥的庞大供应链需求。
[10:52] 虽然河内据点目前规模还是很小,一年大约只有两千万到三千万元左右的初期业绩。
[10:58] 但是,雷达跟你讲一句实在话,只要公司能够把核心业务的货利模式持续放大,加上把成功的台湾经验完美复制到海外区域。
[11:08] 最后,再加上未来潜在的策略性并购来加速扩展版图,当这三级承担火箭一起在市场上点火升空的时候,
[11:16] 红鸡资讯未来好几年要维持双位数的惊人成长率,这才是真正有坚实底气,可以完全撑得住的强大基本面。
[11:24] 光是听公司讲这些美好的前景故事,其实完全没有用,雷达在市场上最看重的指标终究还是施打时的财务数字。
[11:32] 根据最新开出来的财报显示,在2026年第一季,红鸡资讯的单季营业营收已经来到了29.6亿元。
[11:40] 这个数字比起去年同期是直接成长了15%,而单季的税后净利更是交出了1.99亿元的漂亮成计单。
[11:47] 换算下来,第一季的每股营鱼就高到4.8元,而且跟前一个季度相比,这个计增率是直接大幅冲高了50%见识。
[11:56] 各位投资朋友,你可以仔细想想看,在第一季传统淡季还能交出这种增长幅度,这绝对是一笔不少的庞大货礼。
[12:04] 你以为这种营收大爆发只是一时的谈话一线吗?雷达在这边,仔细看过后续数字之后,觉得事情绝对不是这样。
[12:11] 我们接着来看最近期的营收状况,2026年5月份单月做出了5.75亿元,比起去年同期是暴增了30.5%。
[12:21] 如果把今年前5个月的累计营收加总起来,总共是44.16亿元,跟去年同期相比,也是稳定成长了19.7%。
[12:29] 大家在看财报的时候,一定要特别注意这个极其重要的财务美角,单月份的营收增幅居然比前5个月的累计增幅还要来得高。
[12:37] 这背后代表的公司近几个月的营运成长动能,正在持续疯狂加速,这绝对不是外界所担心的后进不足或者正在衰退。
[12:45] 公司管理阶层特别表示,今年能有这么惊人的爆发力,完全是踩在2025年全年高达96.6亿元的高级期上面。
[12:53] 这是一条非常健康而且文物网上爬升的长期负荷成长曲线,绝对不是靠着单月份的专案入帐去勉强暴冲出来的。
[13:01] 雷达跟你讲一句实在话,这种跟着企业数位转型,一起成长的财务数字,才是对我们投资人来说最踏实的保障。
[13:10] 不过,丑话我还是要帮大家说在前面,随着未来的整体机器被不断电告,后面几期的营收波动,我们还是得紧紧盯着。
[13:18] 大家千万不要只看了一个单月的营收大好,就在股市里面害过头,还是要保持理性去观察后续的订单能见度。
[13:27] 关于前面有提到过的那一条,秩序安全浮险,为什么雷达在这边会特别强调他是公司未来的最强黑马?
[13:35] 我今天就跟你讲一个最根本的市场逻辑,因为这项服务已经从过去可有可无的升级选配,彻底变成了非买不可的刚性需求。
[13:43] 公司在法说会上就举出了一个非常惊人的真实施加案例,有一家规模很大的医疗院所,他们的核心系统被恶意软体偷偷中了木马。
[13:53] 原本负责维护的其他系统厂商居然完全没有发现任何遗状,一直到红击资讯的技术团队进入之后,才把这个致命威胁给揪了出来。
[14:03] 他们不仅帮这家大型医院在第一时间挡下了骇客的恶意攻击,最后更是顺理成章地把整套庞大的资讯安全年度合约全部转到红旗资讯手上。
[14:12] 大家冷静想想看,在这种攸关公司生死的事情一旦在业界发生,其他公司的大老板们还敢为了省钱去护士资讯安全这笔费用马。
[14:20] 雷达在这边看来,那是绝对不敢的。
[14:23] 现在网络上的骇客行为越是猖狂,红击资讯旗下的云端备份跟备员系统订单,就会越远远不觉得进来。
[14:30] 公司管理厂表示,他们能在市场上建立起这么高的竞争互成合,完全是靠着自主研发的跨平台管理系统,以及全方位托管平台。
[14:39] 雷达跟你讲一句,最实在的心里话,资讯安全这么深意,他的本质根本就不是技术,他在商业上其实就是信任两个字。
[14:48] 不论是政府机关,还是大型民间企业,他们一旦愿意把最核心的营运名卖交托给你。
[14:53] 后续在习惯之后,就很难再随意更换其他厂商。
[14:56] 这是一个非常合理的商业推路。
[14:58] 正门资讯安全服务,就是把一次性的专案合作,此次年成长七伙伴关系的关键年卓计。
[15:05] 所以,这批霍利黑马的崛起,绝对不是运气好。
[15:08] 他是精准才在企业大老板们最害怕系统崩溃的刚性需求上面。
[15:13] 把目前市场上三种最主流的人工智慧商业模式攀开来做对比。
[15:17] 你一眼就能看懂红击资讯为什么要挑这条路走。
[15:20] 第一种模式就是大家之前疯狂追逐的硬体运算晶片供应商。
[15:24] 这做的是军备竞赛,虽然短时间内能跟大客户收一次性的大笔资金。
[15:30] 但是这种硬体代工的客户年卓度其实非常低,只要后需有更便宜,效能更好的晶片出现,随时都面临被竞争对丑换掉的风险。
[15:38] 而且这些硬体厂本身在日常营运中也不太会去消耗运算单位,他们占不到后续远远不绝的营端流量分论。
[15:46] 第二种模式则是我们一般大众最常接触到的个人用人工智慧应用程式,也就是贩子各种面向一般消费者的软迹。
[15:53] 这种模式多半是靠着零星的每个月订阅,甚至干脆提供免费版本。
[15:58] 客户的年卓度顶多算中等,而且个人使用者所消耗的运算单位也非常有见。
[16:04] 第三种模式则是红击资讯目前众兵看守的终极战场,也就是直接深入各大企业内部的自主人工智慧系统。
[16:11] 公司管理层特别强调,这种企业级的服务是直接嵌入在客户的日常营运系统里面,
[16:17] 所以是属于持续性的经常性营运费用之处。
[16:20] 它的客户年卓度极高,而且背后的两大核心驱动力,就是全天后不间断的自动化流程,以及政府最严格的资讯安全和规标准。
[16:30] 这种自主数位员工所要吃掉的后台运转单位,跟过去相比,是直接从一百倍起跳,这背后的流量暴增幅度实在是非常惊人。
[16:39] 大家现在把这三种商业模式的表格自戏摆在一起算一算,你就会发现到底哪一栏的生意才是真正能够细水长流的印钞机。
[16:48] 雷达跟你讲实在话,企业导入人工智慧根本不是去买一个工具软体那么简单,它在未来是一门深度整合的云端数位功用事业。
[16:58] 这就是红击资讯目前在台股市场上砸下重金在赌的巨大商机,也是我们身为投资人必须要看懂的深层获利逻辑。
[17:06] 故事讲得再怎么漂亮,雷达现在还是要除了当坏人,来帮大家铺几盆冷水清醒一下。
[17:12] 这第一盆冷水要亮起黄灯,虽然公司整天在外面高喊着运算单位的流量经济有多好。
[17:20] 可惜公司表示,连他们自己的财务长都亲口坦诚,公司目前在合约上根本就不是按照运算单位来计价的。
[17:27] 而且现在各大云端平台的机废标准都完全不一样,法说会上提到那9.2元的营收贡献,也只是内部自己出估。
[17:34] 外面的会计师根本没有办法查核验证。
[17:37] 雷达跟你讲一句实在话,这代表他们描绘的故事虽然非常漂亮,但是现在实际的变现模型,其实还是模糊不清的。
[17:46] 这第二盆冷水同样也要亮起黄灯,因为他们所宣称的收租金生意其实是有一个非常明显的天花板。
[17:53] 公司内部数据显示,这种持续性的维护保固服务,其实只占了总收入的8%-12%左右。
[18:00] 剩下高的89成的大众营出,追根究底都还是一次性截案的传统专案,这根本就不是真正每个月稳定收钱的订单。
[18:09] 而这第三盆冷水,就是直接亮起黄灯了,因为对于未来的全年量化财务预测,公司精英阶层在法术会上根本就给不出来。
[18:17] 大家天天高喊的主权人工智慧已经讲了很久,但是目前在台湾实际上能够拿出来的落地案例,实在是屈指可数。
[18:25] 而且他们目前能够赚到流量分论,说穿的都是紧紧抱着微软以及亚马逊还有谷歌这三家国际大厂的大腿。
[18:33] 这代表着最核心的价格溢价权,完全不在自己手上。大厂只要稍微调整一下分论比例,红击资讯的毛利马上就会受到严重冲击。
[18:42] 雷达在这边用一句话帮大家做总结,他现在本质上就还是一家专案承包商,距离成为真正的订阅制收租平台,还有一段很长的路要走。
[18:52] 帮大家铺完冷水之后,雷达在这边也要回过头来讲讲。这档股票在未来为什么还是非常有看头。
[18:59] 这最关键的重点,就是采在整个云端科技产业发展趋势,即将发生重大转弯的拨点上面。
[19:05] 在过去几年里,各大企业拼命砸大钱,为的都是去购买运算单位以及把资料搬上云端,这属于依次性的资本支出,建置好之后就直接宣告结束。
[19:15] 可是现在这个时间点转折来了,很多企业老板用着用着才突然精绝。
[19:20] 原来这些运算单位根本不是免费的,每个月收到的水电账单更是比想象中还要昂贵。
[19:26] 就在这个时候,大老板们内心对于营运成本的焦虑,以及资讯安全的恐惧,就这样排山倒海的冒了出来。
[19:34] 但这些负面焦虑对红击资讯来说,难道是坏事吗?
[19:38] 雷达跟你讲这刚好相反,这反而是他们未来最肥美的商机所在。
[19:42] 因为未来的刚性需求就在这里,企业为了商存还是必须持续使用云端,
[19:48] 但是大家会要求要用的更精打细算。
[19:52] 这就衍生出了运算单位最佳化以及成本控管,还有最核心的资讯安全防护,等种种全新的刚性需求。
[20:01] 公司官方报告指出,到了2029年,云端服务将会彻底变成所有企业日常营运的最核心命买。
[20:08] 雷达跟你讲一个投资的底层逻辑,整个产业链的价值最后一定会跑到那个有能力,把客户死死留在使用曲线上的人处理。
[20:15] 当未来所有的企业老板都开始精打细算的时候,红击资讯卖的服务就是帮你把每一分钱都花的有最高效益,
[20:22] 这在未来绝对会是最硬的刚性需求。
[20:26] 雷达要特别留给大家一张用来长线追踪的关键清单。
[20:29] 往后几截,我们就简简盯着这几个指标。
[20:32] 我们首先要来验证这家公司的商业模式到底够不够硬。
[20:36] 第一点就是云端服务包含运算单位那一块的营收,年增率能不能死守住双位数的成长。
[20:42] 这第二点也是最优官生死的一点,就是那个持续性维护收入的营收占比,在未来能不能成功突破8%-12%的天花板。
[20:52] 这一条财务数字将会直接决定这家公司到底是不是真的在转型收住,还是其实在楼调充弹。
[20:58] 第三点则是前面提到的资讯安全,那18%的订单动能,在接下来的季度里面有没有真的转化成10大时的营收进账。
[21:06] 第四点就是上海以及越南这两个海外据点的营业占比,公司在未来的财报中肯不肯第一次老老实习的单独介入出来。
[21:14] 看完商业模式,我们再来看看管理阶层到底有没有诚意,他们在接下来的法说会上敢不敢给出明确的全年财务预测。
[21:22] 他们敢不敢第一次端出可以被量化的运算使用量以及具体的分论数字,甚至大家关心的主权人工智慧能不能从规划变成真正具名的大型案子。
[21:31] 雷达跟你讲得非常明白,前面那几项指标决定了他们的收租模式到底成不成立,而后面这几项指标看的,这是管理阶层说的话到底对不对些。
[21:41] 如果您认同这种绝对不随市场情绪起舞,只专注于产业数据以及逻辑推演的硬核分析风格。
[21:47] 请现在就立刻订阅价值股雷达频道并且开启小铃铛,顺手按下喜欢以及分享给政变的朋友。
[21:54] 您的支持就是我们团队继续留在市场上为大家挖掘财报细节并且帮大家锁定优质好股的最大动力。
[22:02] 我是价值股雷达,非常感谢大家今天的收看,我们下期节目再见。
