[00:00] 大家好,投资不想随便抓,锁定价值古雷达。
[04:02] 既然利润这么薄,那他到底要靠什么来赢过别人呢?答案就是靠着庞大的经济规模,靠着庞大采购带来的溢价能力,还有跨产业的工程杠杆有史。
[04:13] 一个原本看起来低毛利的传统代工厂,到底要怎么在这一波人工智慧的大浪潮里面,同时把营收成长,还有毛利率全部都拉上去。
[04:22] 这就是我们接下来要看的一场精彩好戏。
[04:25] 杰普这家公司真正厉害的本事,绝对不是只有单纯帮忙带工一颗小小的零件而已。
[04:30] 他最有价值的地方在于他有办法从一个单一的技术强项,一路顺利扩张到把整座机房的生意统统拿下来。
[04:38] 他的技术能力是一整串完整串联起来的,从最核心的运算,还有资料储存,一路到网通设备,还有光学传输技术。
[04:46] 再加上最难搞定的电源管理还有散热系统,最后连整个机柜的组装整合都统统包办起来。
[04:53] 他的商业打法其实非常巧妙,我跟你讲这就好像是在帮别人做房屋装潢一样。
[04:59] 一开始先用自己最厉害的强项,顺利接近客户的厨房工程,把这个厨房的活干得漂漂亮亮,让人无话可作。
[05:06] 等到人家完全信任你的技术与品质了,接着就会放心让你继续做客厅还有未预设备的装潢。
[05:12] 到了最后就是整间房子的工程都顺利承担给你统包下来。这绝对不是我随便在嘴上讲讲而已。
[05:19] 公司的高层已经明确对外表示,他们拿下的第二家超大型云敦打客户,就是这样从单一技术能力顺利扩张到此下整个资料中心的订单。
[05:28] 现在他们连第三家重量级客户,也正在成功复制同一套一模一样的获利剧本。
[05:34] 你仔细去想想看这个策略的威力,先找机会进场把事情做好,然后再慢慢扩张。
[05:40] 一步一步把客户想换掉你的转换成本,不断往上垫高。
[05:44] 等到整座机房都离不开你的时候,客户还能够轻易换得掉你们。
[05:48] 我看,这是非常困难的。这一条深不见底的客户粘捉度,才是这家公司在市场上真正最值钱的地方。
[05:56] 很多人以为,捷普就是单纯吃人工智慧的晚饭,其实完全错了。
[06:01] 这家公司底子里是三条腿走路的文件结构。
[06:04] 他们的第一条腿,叫做智慧基础设施。
[06:07] 这级营收直接充上42亿美元,年增率高到21%,成长动能非常巧合。
[06:13] 第二条腿,则是医疗或是供控这些受监管的产业。
[06:17] 营收也有32亿美元,年增率维持在4%的稳定节奏。
[06:21] 第三条腿,是智慧生活跟数位商务,贡献了14亿美元的营收,年增率同样有5%的平稳表现。
[06:29] 你仔细看这份成绩单就会发现,人工智慧在前面全力往前充斥。
[06:34] 另外两大失业群,则在后方稳稳地走。
[06:37] 公司高层明确表示,这套多元化经营到今天为止,依然是正确的策略。
[06:42] 因为在不同的仅气循环里面,这就是个天然的避险机制。
[06:46] 我跟你讲,这点真的非常重要,它不是把过去的多元化基础丢掉,
[06:50] 然后盲目的改成,全部压保在人工智慧上面。
[06:54] 而是在原本就已经很稳固的多元化底盘上,
[06:57] 成功长出一颗爆发力十足的人工智慧引擎,让整体营运如虎天野。
[07:02] 以后就算遇到紧急波动,让某一条推冷下来,
[07:05] 也还有另外两条嘴牢牢撑着,像这种下挡有支撑的公司才真的扛出来。
[07:10] 为什么雷达会特别强调,这一季是个重大的转折点,
[07:14] 因为这正是节谱商业模式被市场彻底验证的关键时刻。
[07:19] 只要仔细拆解财报,就会发现有三件事同时发生。
[07:22] 第一就是人工智慧的营收展望,再次往上大幅度上修。
[07:26] 经营团队从原本预估的131亿美元,霸气提高到大约136亿美元,
[07:32] 完全展现出接担的强大自信。
[07:35] 第二个亮点是原本的代工北业,也跟着同步转好,
[07:38] 先前一直被华尔街看摔的汽车,以及智慧生活部门。
[07:42] 这次表现,跌破大家眼睛。
[07:45] 这些传统业务这次交出来的成绩大,
[07:48] 通通做得比公司自己原本保守假设的数据还要漂亮很多。
[07:52] 第三件事,就是全年营收指引直接大动作往上调升,
[07:56] 从341亿上修到大约350亿美元,年增大概来到17%。
[08:01] 这种三件奇发的业绩表现,绝对不是单一部门的谈话一线,
[08:05] 而是整家公司营运体制全面升级的铁证。
[08:08] 公司高层自己对外定调,这套货利模式正在完美运作,
[08:12] 所以整体的生意规模,才能够如此快速的扩张成长。
[08:16] 我跟你讲,当一家公司赶在法术会上讲出这种话,
[08:19] 整个资本市场看待他的眼光跟问题,就完全变了。
[08:23] 以前,大家总是在怀疑这家低毛利的代工厂会不会成长,
[08:27] 现在法人圈要问的是,这个成长的品质到底存不存?
[08:31] 甚至大家都在关心这种双位数的爆发力究竟称不称的久。
[08:35] 当市场的问题升级到这个层次,才是股价起飞的关键。
[08:40] 摊开这几热腾腾的财报数据,雷达直接给他四个字的评价,
[08:45] 那就是无可挑剔的四率全身。
[08:47] 我们先来点是最上层的营收表现,单级做到88亿美元,
[08:51] 这比公司自己给出的财色终点还要高出2亿5000万美元。
[08:55] 而且仔细专言数据就会发现,这个超标是各部门分散贡献的,
[08:59] 绝对不是单靠人工智慧这一块死命硬撑起来的。
[09:02] 当各个部门都能稳定贡献现金流的时候,
[09:05] 整家公司的货利品质自然就比较扎实,
[09:08] 也能够抵御外在环境的波动。
[09:10] 再来往下看,最实质的货利数字,
[09:13] 核心美股盈于来到3.16美元,年增率高达24%,
[09:17] 核心营业利益也充上5104万美元,
[09:20] 带动核心营业利益率稳稳占上5.8%的水准。
[09:24] 接下来,检视公司的现金流更是漂亮的没话说,
[09:27] 调整后自由现金流高达3亿5900万美元。
[09:31] 营运现金流近占5亿3500万美元,
[09:34] 而进资本之处居然才花了1亿7600万美元,
[09:37] 空管的非常精准。
[09:39] 最后,我们来体检这家公司的财务体制,
[09:42] 目前占上满满的现金,高达14亿美元,
[09:45] 资金子弹非常充沛。
[09:47] 负债对核心税钱吸钱折就,贪销钱获利的倍数,
[09:51] 就有1.3倍,证明这家公司的负债压力非常轻微。
[09:54] 更夸张的是,他这季还从市场上回购了大概219100万美元的股票,
[09:59] 完全展现对自家盈运的强烈信心。
[10:02] 大家冷静一下来想想看,
[10:04] 一家公司不只赚钱,还满手现金,财务体制又干净,
[10:08] 甚至还顺手买回自家股票。
[10:10] 像这种几乎零死角的完美机报,
[10:12] 说实话,你真的已经很难再挑出什么毛病了。
[10:16] 虽然这家公司是靠着三条腿在走路,
[10:19] 但是只要我们一条一条拆开来看,
[10:21] 就会发现各部门的冷热温差其实非常大。
[10:24] 先来看看他最核心的引擎制,也就是智慧基础设设。
[10:28] 这个部门单级的营收年增率高达21%。
[10:32] 最厉害的是,他的核心营业利益率直接冲到6.1%,
[10:36] 比起去年同期,足足大幅度增加了80个基点。
[10:39] 到底这股强悍的动能是从哪里来的?
[10:42] 答案是,旗下的网通跟通讯业务,
[10:44] 年增率超过50%,
[10:46] 主要就是被印度的基础建设拉起来的。
[10:49] 而且像是资本设备,还有云端这两个领域,
[10:52] 也都同步交出了双位数的成长,
[10:55] 可见整个人工智慧供应链的需求有多么火热。
[10:58] 再来我们看到数监管产业,
[11:00] 这个部门虽然年增率只有4%,
[11:02] 但是获利能力小幅提升了10个基点。
[11:06] 之所以能稳住获利,全靠着汽车部门,
[11:09] 最近意外转强,才在测试逆风的环境下稳住了脚步。
[11:13] 最后则是智慧生活,跟数位商务,
[11:16] 虽然营收年增率也有5%,
[11:18] 可是它的营业利益率只有4.9%,
[11:20] 是三个部门里面最低的。
[11:22] 你看出里面的门道了没有?
[11:24] 真正的关键在于,
[11:25] 人工智慧这个部门,在同一时间内,
[11:28] 不仅贡献了整家公司最快的营收成长速度。
[11:31] 更连带拉高了整体的利润率,
[11:33] 这种又快又肥的业务,
[11:35] 正在一块一块的重新捏造这家公司的赚钱结构。
[11:39] 这家公司喊出全年人工智慧营收,
[11:41] 要做到136亿美元,
[11:43] 虽然数字看起来非常惊人,
[11:45] 但是我们看财报,不能只看表面。
[11:48] 先来聊聊量的部分,
[11:49] 2026块几年度的人工智慧营收,
[11:51] 来到136亿美元,
[11:53] 这比上一个块几年度,
[11:54] 多了整整46亿美元。
[11:56] 而且这个成长,
[11:57] 绝对不是只靠单一产品在营成,
[11:59] 而是测试设备需求爆料,
[12:01] 零端基础设施在冲,
[12:03] 连网通的交换技术,
[12:05] 也都在全面拉伸。
[12:06] 再来才是这份财报真正漂亮,
[12:08] 也是外资最看重的地方,
[12:10] 那就是这家公司
[12:11] 是用非常聪明的亲资产方式,
[12:13] 去吃下这波大成长的。
[12:15] 公司高层在法术会上特别强调,
[12:17] 目前总资本支出,
[12:19] 大概只占了整体营收的1.5%-2%.
[12:22] 你瞧瞧看,
[12:23] 营收明明冲得这么快,
[12:25] 却几乎不用砸大钱,
[12:26] 去盖一堆重资产的厂房,
[12:28] 这种成长对股东来说,
[12:30] 赚得有多轻松。
[12:31] 更棒的是,
[12:32] 整体的毛利还在持续往上走,
[12:34] 因为他们手上我有电源管理,
[12:36] 夜冷散热,
[12:37] 以及西光子这些高价值,
[12:39] 高技术门槛的能力。
[12:40] 这些热门技术实在在的
[12:42] 把利润空间给拉高了。
[12:44] 像这样,量做得大,
[12:46] 利润质量有好的公司,
[12:47] 在市场上,
[12:48] 才叫真正的真本质。
[12:50] 听完了现在的业绩表现,
[12:52] 我们接下来,
[12:53] 要把眼光看向未来,
[12:54] 因为这家公司
[12:55] 目前有三个正在点货的
[12:57] 题材。
[12:58] 第一个大亮点,
[12:59] 就是第三家
[13:00] 超大型的云敦大厂客户,
[13:02] 现在,已经被他们
[13:03] 稳稳地收入口袋里。
[13:05] 公司表示,
[13:06] 这个新客户在
[13:07] 2027块几年度,
[13:08] 会先贡献个几亿美元,
[13:10] 到了2028块几年度,
[13:11] 才会真正放量,
[13:12] 充到10亿美元以上。
[13:14] 这完全就是在
[13:15] 复制前面那套,
[13:16] 从单一墙向切入,
[13:18] 再做到整座机房的
[13:19] 成功路径,
[13:20] 代表他们的商业模式
[13:21] 可以不断被复制。
[13:22] 第二个题材,
[13:23] 是全球产能
[13:24] 正在积极扩张,
[13:25] 这一次是以美国
[13:26] 北卡罗来纳州的
[13:27] 厂房为主轴,
[13:28] 全球厂房左面积,
[13:29] 要再增加10%。
[13:31] 北卡新厂,
[13:32] 预计在2027年1月,
[13:34] 就会全速运动,
[13:35] 接下来一到三年,
[13:36] 引售规模会一路往10亿,
[13:38] 20亿,
[13:39] 甚至30亿美元扒挣。
[13:41] 第三个题材,
[13:42] 这是高贸利的
[13:43] 并购案跟储存业务,
[13:44] 他们刚完成的这桩并购,
[13:46] 具备双位
[13:47] 苏利润率的
[13:48] 模组化电源系统,
[13:50] 而储存这块业务,
[13:51] 则是受到
[13:52] 第二家客户的强力带动,
[13:53] 整体的出货规模,
[13:54] 远远超过了
[13:55] 市场原本的预期。
[13:56] 我跟你讲,
[13:57] 这三个新题材
[13:58] 有一个最大的
[13:59] 共通点,
[14:00] 那就是,
[14:01] 全部都在往
[14:02] 更高毛利的业务靠拢,
[14:03] 未来这家公司
[14:04] 不仅会长大,
[14:05] 还会长得更肥。
[14:07] 投资人光是看
[14:08] 过去的辉煌成绩,
[14:09] 绝对不够,
[14:10] 我们现在得看
[14:11] 公司高层自己
[14:12] 对未来是怎么开价的。
[14:13] 我们先来聊聊
[14:14] 下一个基督的表现,
[14:20] 如果我们取这个
[14:21] 区间的终点来换算,
[14:22] 这代表整体的
[14:23] 年增率
[14:24] 大概落在16%的
[14:25] 稳健水准。
[14:27] 其中,
[14:28] 人工智慧核心这个区块
[14:29] 更是亮眼,
[14:30] 光是这里,
[14:31] 就能贡献大概
[14:32] 49亿美元的
[14:33] 金人业绩。
[14:34] 它的年增率
[14:35] 高达32%,
[14:36] 如果你跟
[14:37] 上一级比,
[14:38] 这绝对是一个
[14:39] 非常强势,
[14:40] 而且明显的挑战。
[14:41] 再来我们看看,
[14:42] 持至获利方面的表现,
[14:43] 核心营业利益
[14:44] 预估落在
[14:45] 5.8千9百万
[14:46] 到6亿4千9百万
[14:48] 美元之间。
[14:49] 算下来,
[14:50] 中位数的利润率
[14:51] 大概是6.4%,
[14:53] 而核心美股盈余
[14:54] 则是抓在3.8%
[14:55] 到4.2美元。
[14:57] 接着,
[14:58] 我们把眼光放远
[14:59] 来看全年的预测,
[15:00] 全年营收
[15:01] 大约可以充到
[15:02] 350亿美元的
[15:03] 庞大规模。
[15:04] 整年的
[15:05] 核心营业利益率
[15:06] 大约守在5.8%,
[15:08] 核心美股盈余
[15:09] 大概可以
[15:10] 赚到12.7美元。
[15:11] 甚至连
[15:12] 调整后的
[15:13] 自由现金流
[15:14] 都超过了
[15:15] 14亿美元,
[15:16] 这对代工厂来说
[15:17] 是公佩的资金。
[15:18] 不过,
[15:19] 雷达在这边
[15:20] 还是要特别
[15:21] 提醒你冷静一下。
[15:22] 这些下个季度
[15:23] 还有全年的量力数字
[15:24] 都只是猜测而已。
[15:25] 这些
[15:26] 全部都是
[15:27] 公司白纸黑纸
[15:28] 写出来的未来展望,
[15:29] 在市场上
[15:30] 还没有真的发生
[15:31] 也没有真正入障。
[15:32] 我们最后
[15:33] 还是得看
[15:34] 实际交出来的
[15:35] 成绩单对不对的上,
[15:36] 千万别把指引
[15:37] 当成已经
[15:38] 稳稳到手的钱。
[15:39] 好,
[15:40] 现在最关键的
[15:41] 问题来了,
[15:42] 现在,
[15:43] 全市场的人
[15:44] 都在抢着
[15:45] 组装运算
[15:47] 那节补这家
[15:48] 代工大厂的
[15:49] 互存核到底
[15:50] 现在哪里?
[15:51] 雷达今天
[15:52] 直接帮你把他的
[15:53] 竞争优势
[15:54] 拆成四个大块来看。
[15:55] 第一点,
[15:56] 就是他们强大的
[15:57] 技术整合广度。
[15:58] 这家公司
[15:59] 有办法一口气
[16:00] 夸出运算
[16:01] 还有储存
[16:02] 以及网通设备。
[16:03] 甚至连最麻烦的
[16:04] 电源管理
[16:05] 跟业体散热技术,
[16:06] 他们都有本事
[16:07] 从头到尾
[16:08] 提供一条笼的
[16:09] 包办服务。
[16:10] 第二点,
[16:11] 则是令人
[16:12] 派服的供应连职行力,
[16:13] 他们居然还能
[16:14] 顾好每一台机器的品质
[16:15] 以及保证准时交货,
[16:16] 这绝对不是一般
[16:17] 二线厂做得到的事情。
[16:19] 第三点,
[16:20] 是他们早就已经
[16:21] 深度嵌入到
[16:22] 客户的系统里,
[16:23] 做到变成大厂
[16:24] 营运里面
[16:25] 完全不可或缺的一环。
[16:26] 第四点就是
[16:27] 创造出极高的
[16:28] 转换成本,
[16:29] 今天如果哪个大客户
[16:30] 突然想要
[16:31] 换掉这家
[16:32] 老牌带工厂,
[16:33] 他自己就得
[16:34] 承担停机空转
[16:35] 还有量力出包的
[16:36] 巨大风险,
[16:37] 你说现在哪家
[16:38] 不过雷达要提醒你,
[16:39] 这里有个双面刃
[16:40] 你必须懂。
[16:41] 这家公司主导的
[16:42] 轻资产模式
[16:43] 其实有点区强。
[16:44] 这指的是他们
[16:45] 把资本支出降得很低,
[16:47] 而且不持有
[16:48] 产品智慧财产权,
[16:49] 但这绝对不等于
[16:50] 他们是零库存哦。
[16:51] 这种模式的好处是
[16:53] 可以免掉科技产品
[16:54] 改朝换代的
[16:55] 跌价风险,
[16:56] 不怕手上
[16:57] 鸡牙一堆
[16:58] 卖不出去的就货。
[16:59] 但坏储,
[17:00] 就是它的价值
[17:01] 纯粹来自于
[17:02] 高效率的
[17:03] 是真正拥有
[17:04] 能够主导市场的
[17:05] 核心技术。
[17:06] 所以,
[17:07] 借到护程盒
[17:08] 到底够不够深厚?
[17:09] 我们合理的推论
[17:10] 还是得用
[17:11] 大客户未来
[17:12] 留不留得住
[17:13] 来严格检验。
[17:15] 好了,
[17:16] 刚才那些好听的
[17:17] 漂亮话,
[17:18] 大家都听完了,
[17:19] 雷达现在要特别
[17:20] 压地声音,
[17:21] 跟你讲讲
[17:22] 真正的危险警报。
[17:23] 我们先来
[17:24] 检测公司高层
[17:25] 在法说会上
[17:26] 愿意主动开口
[17:27] 讲的好休息,
[17:28] 大家最关心的人工智慧
[17:29] 营收成长率。
[17:30] 不信的说,
[17:31] 2027块几年度的
[17:32] 成长百分比
[17:33] 跟今年差不多,
[17:34] 这可是建立在
[17:35] 更庞大的营收技术上面。
[17:37] 至于优官赚钱
[17:38] 能力的利润率目标,
[17:39] 他们宣誓
[17:40] 未来的核心营业利益率
[17:41] 要努力维持在
[17:42] 6%以上。
[17:43] 这个水准比起
[17:44] 今年全年的5.8%
[17:45] 的确是有些危改上,
[17:47] 光听这些表面说法
[17:48] 当然觉得一切都很好。
[17:50] 但是雷达要你
[17:51] 特别仔细去听,
[17:52] 他在会场上
[17:53] 刻意避而不谈的隐忧。
[17:54] 第一点,
[17:55] 也是整份报告
[17:56] 最致命的关键。
[17:57] 当场有外资分析师
[17:58] 直接问他
[17:59] 明年的整体营收,
[18:00] 会不会持平
[18:01] 甚至成长。
[18:02] 公司高层居然
[18:03] 当场拒绝备注。
[18:04] 他们甚至很坦白的承认
[18:06] 传统的代工本业
[18:07] 还会继续进行裁减。
[18:08] 这代表旧的
[18:09] 业务动能
[18:10] 正在快速流失。
[18:11] 第二位隐忧是
[18:12] 他根本没有对
[18:13] 法人交代清楚,
[18:14] 未来到底要
[18:15] 靠什么武器,
[18:16] 从6%
[18:17] 一路冲到
[18:18] 7%以上的利润率。
[18:19] 第三点,
[18:20] 则是他自己坦诚
[18:22] 2027块几年度的
[18:23] 第一季产能
[18:24] 还在辛苦爬坡。
[18:25] 这段期间,
[18:26] 整体的利润率
[18:27] 肯定会被严重稀释。
[18:29] 最后,
[18:30] 还有一点投资人
[18:31] 绝对要注意。
[18:32] 传统上,
[18:33] 第四季向来就是
[18:34] 这家代工厂
[18:35] 季节性最高的毛利忘记。
[18:36] 所以,
[18:37] 刚刚那个
[18:38] 6.4%的漂亮裁测,
[18:39] 你千万别傻傻地
[18:40] 直接拿去,
[18:41] 当作他
[18:42] 未来全年的常态水准。
[18:44] 危险的警报
[18:45] 还没有全部讲完,
[18:46] 我们现在把声音
[18:47] 再压低一点,
[18:48] 继续往下看。
[18:49] 最新的,
[18:50] 就是全球电子产业
[18:51] 现在最头痛的
[18:52] 供应链卡关问题。
[18:53] 像是高频宽记忆体
[18:54] 以及高密度互联电路板。
[18:56] 目前的市场需求,
[18:58] 减拉高都不行,
[18:59] 导致交货期限
[19:00] 一直被无限拉长。
[19:02] 虽然新一代记忆体,
[19:04] 供给还算可以,
[19:05] 但是,
[19:06] 旧款记忆体以下,
[19:07] 到了下半年
[19:08] 恐怕会去面闹短绝。
[19:10] 我跟你讲,
[19:11] 只要其中一个关键料
[19:12] 减被卡住,
[19:13] 就算你工厂产能再大,
[19:15] 东西,
[19:16] 你做得出来吗?
[19:17] 这点投资人
[19:18] 一定要死死盯着。
[19:20] 第二个大问题,
[19:21] 就是库存堆得有点太高了。
[19:23] 如果我们扣掉大客户
[19:24] 预先支付的押金,
[19:25] 他们的库存周转天数,
[19:26] 大概高达68天。
[19:28] 这个数字,
[19:29] 明显比公司自己设定的
[19:30] 55-60天的目标区,
[19:31] 还要高。
[19:32] 虽然公司高层排凶譜
[19:34] 保证第四季,
[19:35] 就会正常化。
[19:36] 但是这种场面话,
[19:37] 雷达在市场看多了。
[19:38] 我们在心里
[19:39] 先打个存疑的问号,
[19:40] 有待接下来的
[19:41] 实际数据来验证。
[19:43] 第三个就是有些新故事,
[19:44] 根本还没有成型。
[19:45] 大家千万不要看到黑影就开枪。
[19:47] 跟着市场盲目兴奋。
[19:49] 像是他们在印度
[19:50] 跟当地的元巨头搞的那个
[19:52] 多几瓦的大型合作计划,
[19:54] 到现在,
[19:55] 连最基本的确立型框架
[19:56] 都没有看到。
[19:57] 甚至连未来的财务利益
[19:59] 分配结构,
[20:00] 也完全不谈。
[20:01] 公司自己也老是定调,
[20:02] 料到2028块几年度,
[20:04] 才会有实质的业绩贡献。
[20:06] 还有一个隐忧,
[20:07] 就是这家公司的营收
[20:08] 高度绑在少数几个
[20:09] 云端大厂的资本支出上。
[20:11] 只要大厂一砍单,
[20:12] 他们就得跟着缩水。
[20:13] 更何况这一次
[20:14] 医疗部门的展望
[20:15] 还被下修了1亿美元。
[20:17] 克罗埃西亚新厂的产能
[20:18] 也是2028块几年度的事情。
[20:20] 这些公司在简报上
[20:22] 画出来的大笔,
[20:23] 我们丁丁就好,
[20:24] 先别一头热的
[20:25] 算尽今年的货利里面。
[20:27] 来,
[20:28] 我们现在把思考的
[20:29] 成绩网上拉钩一层来看。
[20:30] 大家小心看,
[20:31] 在淘金热的时候,
[20:33] 最稳赚不赔的是谁。
[20:35] 绝对不是那些
[20:36] 每天辛辛苦苦
[20:37] 去合理淘金的人,
[20:38] 而是站在旁边
[20:39] 卖产值给淘金客的
[20:40] 那个精明商人。
[20:42] 杰普这家代工大厂,
[20:43] 在整个人工智慧浪潮里面,
[20:45] 暗演的就是这个
[20:46] 稳钻锅路费的
[20:47] 卖产人角色。
[20:48] 这波由科技巨头发起的
[20:50] 人工智慧添量资本支出,
[20:51] 不论未来的资金规模
[20:53] 有多庞大。
[20:54] 那些硬体设备,
[20:55] 终究要有人
[20:56] 把它亲手造出来。
[20:57] 杰普钻的
[20:58] 就是不论最后
[20:59] 是哪一家的
[21:00] 处理期金片胜出,
[21:06] 他完全不用去
[21:07] 读哪一条技术路线
[21:08] 最后会赢。
[21:09] 完美避开了
[21:10] 要错边的
[21:11] 智慧财产权,
[21:12] 跌价风险。
[21:13] 这种完全不用承担
[21:14] 核心技术淘汰的风险特性,
[21:16] 对长线投资人来说,
[21:17] 真的是非常舒服的避风港。
[21:20] 不过,
[21:21] 卖产人的生意模式
[21:22] 也是有他的天花板,
[21:23] 他的货利上限
[21:24] 通常会被
[21:25] 两件残酷的现实
[21:26] 给死死掐住。
[21:27] 一个是那几家
[21:28] 超大型客户的
[21:29] 资本支出节奏,
[21:30] 另一个就是那些
[21:31] 科技巨头
[21:32] 到底愿不愿意
[21:33] 让利得带工厂?
[21:34] 这也就合理解释了,
[21:35] 为什么对于
[21:36] 明年的
[21:37] 核心营业利益率目标,
[21:38] 公司高层,
[21:39] 只敢保守
[21:40] 设一个6%以上的下限。
[21:42] 所以,
[21:43] 这家公司
[21:44] 未来能不能被市场
[21:45] 重新估计的关键,
[21:46] 就看他
[21:47] 能不能把
[21:48] 现在整合
[21:49] 一条龙的技术广度。
[21:50] 慢慢转化成
[21:51] 自己在面对
[21:52] 大客户时的定价权,
[21:53] 把利润分配的天平
[21:55] 往自己这边
[21:56] 搬回来一点。
[21:57] 最后我们来做个设备,
[21:59] 杰普这套商业模式
[22:00] 在这一季
[22:01] 确实已经被量眼的
[22:02] 数据验证了。
[22:03] 所以,
[22:04] 未来的观察重点,
[22:05] 不再是这家
[22:06] 带工厂,
[22:07] 会不会成长?
[22:08] 而是这个
[22:09] 成长的利润品质
[22:10] 到底存不存?
[22:11] 能不能撑得久?
[22:12] 雷达在这边
[22:13] 特别帮大家
[22:14] 整理出六张,
[22:15] 接下来一定要
[22:16] 死手的计分卡。
[22:17] 第一张就是
[22:18] 2016年9月,
[22:19] 公司会发布
[22:20] 明年的
[22:21] 整体营收职业。
[22:22] 当时候我们要看
[22:23] 精英团队
[22:24] 到底敢不敢
[22:25] 替人工智慧以外的
[22:26] 看看本业
[22:27] 是不是真的会温?
[22:28] 第二张是
[22:29] 核心营业利益率
[22:30] 看看这个赚钱指标
[22:31] 能不能在
[22:32] 接下来的季度
[22:33] 真的占稳6%以上
[22:35] 并且持续往上走。
[22:37] 第三张
[22:38] 则是库存周转天数
[22:39] 看看工厂的
[22:40] 库存管理
[22:41] 有没有如期
[22:42] 降回55-60天的
[22:43] 安全目标剧。
[22:44] 第四张是
[22:45] 新到所的第三家
[22:46] 超大型云端大厂
[22:47] 看它能不能
[22:48] 从2027块几
[22:49] 年度的几亿美元
[22:50] 顺利爬升
[22:51] 到2028块几
[22:52] 年度的
[22:53] 十亿美元等级。
[22:54] 这个放量的
[22:55] 就不会如期兑现
[22:56] 是检验公司
[22:57] 成信的重要指标。
[22:58] 第五张
[22:59] 是全球新产能的
[23:00] 爬坡进度
[23:01] 包括
[23:02] 美国北卡
[23:03] 曼菲斯还有印度厂
[23:04] 在2027年初
[23:05] 到底能不能
[23:06] 达到满载云端。
[23:07] 第六张
[23:08] 就是跟印度
[23:09] 能源大厂合作的
[23:10] 那个案子
[23:11] 看看它有没有
[23:12] 从一张
