[00:00] 大家好,投资不想随便抓,锁定价值古雷达。
[10:49] 那就是他们最老牌也最稳固的企业软体应用以及资料库系统,财报显示这块软体应用的营收来到41亿美元也就是年增10%,更厉害的是里面代表未来业绩的地盐营收,年增率高达16%,这个地盐营收充得比当季任列的营收还要快。
[11:07] 我跟你说,这绝对是天大的好事,这就代表公司仓库里面还有满满的订单跟现金等着未来一季一季慢慢入账。
[11:15] 他们光是在这短短一年内就推出了超过1000个人工智慧代理层次,甚至连老牌的资料库都加上了人工智慧记忆,这些超强的新功能。
[11:24] 而且他们连商业模式也开始玩出新的花样来了,顺势推出了代币套装点注以及预造产出结果来计价的全新方案。
[11:31] 这种让客户用多少付多少的弹性做法,目前已经成功吸引了33个初期客户,未来的营收扩张潜力绝对是不容小巨。
[11:39] 其中最有看头的指标性案件就是美国退伍军人部的电子病例系统。
[11:43] 公司表示,目前已经成功扩建到了14家大型医疗中心。
[11:47] 现在总共有29000名第一线的临床医护人员在线上使用这套系统,每天稳定服务者高达50万名的美国退伍军人。
[11:55] 雷达最后要与众心长的跟各位股民朋友讲一句大实话,甲骨文这块最赚钱的软梯底盘目前在市场上的估值评价其实是严重偏低的。
[12:06] 我们前面讲的那些成长故事,虽然听起来都很美好,但是现在雷达要带大家来看这背后付出的惨痛代表,这页其实有点残酷。
[12:16] 财报清楚显示,这家公司全年的毛利率竟然掉了大约5个百分点,他们完全是靠着节省行销营运成本,采免强把营业利益率给硬撑住。
[12:27] 大家再来看看这个超级恐怖的烧钱速度,他们2026块几年度的进资本只出高达480亿美元,结果2027年竟然直接狂飙到700亿美元。
[12:37] 你仔细去算算看,他们手上能用的营运现金流其实也才320亿美元,这点钱根本不够拿来疯狂扩张,所以合理推论,现在的自由现金流完全是处在负值的状态。
[12:49] 那这个巨大的财务黑洞到底要怎么补呢?
[12:52] 公司高层表示,2027会计年度计划还要在对外筹支大约400亿美元。
[12:58] 而且这次是发行债券,还有争执发行新股双管齐下一起来,不过他们也对外承诺,2026这个日历年之后绝对不会在额外去举债了。
[13:07] 雷达直接跟你讲句大实话,甲骨文现在这种极度疯狂的扩张脚步完全就是拿着投资人的钱再硬拼出来的。
[13:14] 重头戏终于来了,雷达现在要对这份财报提出最严厉的灵魂考问,甲骨文官方宣示他们全球运算晶片的利用率高达97.5%,这产能几乎是呈现完全满在的状态,表面上讲的好像是市场需求极度强劲,供不应求一样。
[13:30] 可是当雷达把即将到期合约,这组关键数值拿放大进紫系一照,你就会发现这背后隐藏的味道其实就完全不太一样了。
[13:40] 财报里面偷偷显示,本季其实有高达35000克的运算晶片即将到期,这些晶片是来自59个不同的大客户。
[13:48] 虽然愿意续约的运算晶片数量,确实覆盖了92%,这数字乍看之下好像非常的高非常稳定。
[13:54] 但是你如果仔细去注意一下,实际愿意续约的客户比例,居然低到只有49%而已。
[14:01] 我跟你讲,这就等于有超过一半以上的客户,其实是用完就跑,完全没有打算要续约。
[14:07] 所以我们合理推论那些没人要的运算晶片,是在同一个季度,马上被转手卖给了其他正缺产能的新客户。
[14:14] 公司高层就是利用这种左手换右手的把戏,把客户严重流失的难看数字也完美掩盖掉了。
[14:21] 我认为这家公司真正的严峻考验还在耗捅,等到哪一天市场上的运算产能不再那么稀缺的时候。
[14:28] 这些大客户对甲骨文到底有没有黏着度,到那个时候退潮了才知道谁在罗勇。
[14:34] 接下来是雷达的第二个严厉考问,这是有关于他们未来成长的真实品质。
[14:39] 你看左边的638亿美元的爆料,在手订单就温温摆在那边。
[14:44] 公司高层甚至还信息满满喊出2030块几年度的惊人长期目标,预估营收年化成长可以高达31%。
[14:52] 另外美股营与的年化成长也上看28%,整个业绩器是可以说是如红斑,锐不可挡。
[14:59] 可是你仔细一看,只要把那些美化账面的遗词性收益也狠狠剥掉。
[15:03] 财报显示,他们2027年的美股营与其实成长幅度只有18%而已。
[15:09] 而且这中间还卡着一个非常巨大的问号,他们两位新商任的财务长才刚刚到处两个星期而已。
[15:15] 他竟然就敢把前任留下来的这套,极度乐观长期目标整晚端过来重申一次。
[15:21] 雷达觉得这种仓促的背书其实还缺乏了一段独立验证的观察时间。
[15:27] 雷达最后要跟你讲一句良心话,甲骨文这个长期的资本市场故事最后到底能不能赢。
[15:33] 这完全就压住在那些庞大的在手订单,到底能不能如期转换成实实在在的营酬。
[15:38] 这比高风险的仗,各位投资人,得要自己好好在心里全狠清楚。
[15:43] 我们前面讲了这么多好的,现在雷达要把风险收敛成四盏红灯。
[15:47] 我们一盏一盏,带着大家仔细看清楚。
[15:50] 第一盏红灯就是毛利严重探底的问题。
[15:53] 财报显示,这家公司的毛利率已经狠狠降了5%。
[15:57] 而且2027块金年度的指引预告还要继续往下掉。
[16:01] 光靠节省行销费用来硬撑利润这招,绝对是有极限的。
[16:05] 第二盏红灯,则是可怕的资金缺口,高达700亿美元的资本支出,加上400亿的对外投资真的非常沉重。
[16:12] 我们合理推论,未来股权一定会面临被严重稀释的问题。
[16:16] 这连带会让资产负债表的压力变得极度不轻。
[16:20] 第三盏红灯,是客户集中度过高的风险,有四个超级大客户各自前下超过80亿美元的夸张大单。
[16:27] 这四家合起来,就超过了320亿美元。
[16:30] 万一这几个大户突然抽腿,那可是会迁一发而动全身的。
[16:34] 第四盏红灯,也是最关键的致命场。
[16:36] 管理阶层在法说会,被问到客户自带硬体的未来占比,竟然给不出确切数字。
[16:41] 他们面对攻击竞争的尖锐问题,也只是在打太极权。
[16:45] 这种营运透明度,真的差了一点,大家不得不防。
[16:51] 这个深层次的逻辑类达,觉得大家最应该要先想通。
[16:54] 人工智慧基础建设的军备竞赛,其实有严重的时间错位。
[16:59] 甲骨文现在正处于疯狂烧钱建制机房的阶段,这绝对是毛利率承受巨大压力的难熬正统期。
[17:05] 他们真正的业绩大爆发落点,绝对是在很后面的未来。
[17:09] 我们直接来看看公司给出的各大基地交互时间表。
[17:12] 目前唯一能够贡献当期营收火力的,就只有阿彩人基地。
[17:16] 公司表示,现在已经顺利交付了42%的产能。
[17:20] 而且预计在未来的90天内还要再赶工交付35%,这进度有关短期财报的表现,大家要顶紧。
[17:27] 再来看到沙克尔福德基地已经有1155万瓦上限,还有使用燃料电池的多纳阿纳基地排在后面。
[17:35] 这两个重要的大型机缝建案都被安排在2027年的上半场,短期内根本无法带来实质的营收贡献。
[17:42] 至于其他像是薩琳跟华盛顿港的建案进度,就更加遥远了,那些都要等到2027年之后,才有机会交无。
[17:49] 雷达的判断是,客户自带硬体确实把甲骨文推向了高阶算力营运服务场。
[17:54] 这方向绝对是正确的,没有错。
[17:57] 可是这家公司的整体营收跟毛利率如果想要看到真正的大幅改善,投资人绝对得耐心等到2027年的下半场。
[18:06] 最后,雷达帮大家把落落产的财报分析浓缩成五个关键的钉盘指标,各位股民朋友请务必要记在心里。
[18:13] 第一个最核心的观察重点,就是基础建设的毛利率。
[18:16] 这绝对是检验这家公司获利能力的超级市金时。
[18:19] 公司高层预期资料中心满载之后,毛利率就会迎来快速的回程。
[18:23] 这句话到底能不能兑现,我们就等着看。
[18:26] 第二个指标,则是那些庞大产能的实际交付进度。
[18:30] 2027块几年度,第一季目标,要逼近一个十亿瓦。
[18:33] 还有刚刚提到的阿比林基地,到底有没有办法如期交务完工,这直接签动了市场对他们执行力的信心。
[18:40] 第三个必须紧盯的,就是运算晶片的真实续约状况。
[18:44] 49%的客户,配上92%的晶片数量。
[18:47] 这种极度不对称的续约结构,未来到底会不会继续恶化。
[18:51] 如果客户开始流失,那对股价杀伤力会非常大。
[18:54] 第四个就是刚刚讲的,资本失控程度,高达700亿的资本支出,加上400亿融资,真的是一笔天文数字。
[19:02] 大家要小心着会不会搞出严重的股权稀释来坑杀小股东,买这家公司股票的投资人,千万不能掉以清心。
[19:10] 第五个观察点是他们的新商业模式能不能顺利放量,代币套装点数跟一结果计价的方案能不能继续扩大。
[19:17] 我们就紧盯这个数量,到底能不能成功冲破33个出汽客户,这代表的新业务有没有真正被市场买单。
[19:24] 最后,请大家务必要在形势力上盯紧两个关键的超级大日子,9月10日的第一季财报公布,将会见到真正。
[19:32] 接下来还有10月28日在拉斯维加斯举办的投资人日,这两场大会绝对会造成股价的剧烈波动。
[19:39] 如果您认同雷达这种绝对不随市场情绪起伍的务实态度,而且专注于产业真实数据跟逻辑推演的分析风格,那就请赶快订阅价值股雷达频道并开启小铃铛,还要记得按下喜欢,跟分享给亲朋好友,一起来看。
[19:54] 你们满满的支持绝对是我们帮大家锁定优质好股票的最大动力,我是永远站在散户这边的价值股雷达,我们下集见。
