[00:00] 大家好,投资不想随便钻,锁定价值股雷达。
[05:50] 因为客户端已经集到连半年的时间都不愿意等了,这就是实实在在的业绩大爆发前众。
[05:56] 在光通讯题材被市场炒得火热的同时,我们绝对不能忽视这家公司在传统铜线技术上的极致炸取能力。
[06:03] 当资料中心的传输进入到1.6T时代,我们面临到一个很现实的物理墙,也就是200G的极限,让铜线传输距离推缩到了5公尺。
[06:12] 很多不看好硬体的人会说,铜线已经走到尽头了,但这家公司的底层逻辑非常无实,就是能用铜线的地方就会继续用铜线。
[06:21] 因为相较于光线产品铜线,在总体拥有成本以及功耗上面,依然具备着统治级的优势。
[06:27] 在5公尺这个机柜内部的极限距离内,铜线又便宜又省电,为了守住这块肥肉,他们大力推进了次世代的传输规格。
[06:35] 目前这个新世代产品已经进入了送样阶段,公司预期将于2027才年上半年就能够顺利量产。
[06:42] 我们推测他们正式图在严苛的物理极限下,依然让铜线稳居资料中心的性价比之王。
[06:48] 这也意味着,只要技术还能突破,他们就会持续诈出铜线技术的最大商业价值。
[06:54] 这不仅是防守,更是为了确保在高阶光学产品普及之前,原有的金融产品线依然能提供源源不绝的现金流。
[07:01] 讲到,现在人工智慧伺服器,最缺也是卡博士卡的最严重的领主件。
[07:08] 大家都知道,只高频宽记忆体,全市场的运算算力扩张,现在都受制于高昂而且严重缺货的记忆体产能。
[07:16] 过去几次电子业的超级循环,只要关键领主前大缺货,整个产业链都会停摆,这也然已经充了一个产业事件。
[07:23] 但这家公司没有选择在既有产能力,跟大家抢破头,他们反而提出了一个急剧破坏力的战略奇形。
[07:30] 他们推出了首发产品,运用了一项独家的记忆体互联技术。厉害的地方,在于它透过降维结法,精准绕过了缺货的痛点。
[07:38] 具体来说,他们是将高阶讯号转换为传统记忆体规格,藉此彻底打破传统物理擅住的限制。
[07:45] 这个急剧也新的产品量产目标设定在2028年,如果这个技术能够顺利落地,它带来的客户价值将会是颠覆形。
[07:52] 因为未来的云端客户将能够以相对低廉的传统记忆体来达成人工智慧专利的无限过涨。
[07:58] 我们回顾过去的科技发展时,只要能帮客户大幅降低成本,又维持效能的记住,最终都会成为急剧爆发力的催化剂。
[08:05] 这不仅仅是帮云端大厂省下大笔钞票,更是直接解开了整个供应链的产能仅固咒。
[08:11] 看完了前面这些令人热血沸腾的技术蓝图,跟成长故事,成为一个在市场看过无数大风大浪的老兵,我现在必须把大家拉回现实。
[08:19] 我们来简视这个极端惊奇的客户结构,来看看财报里头隐藏的致命伤。财报摊开来看,这家公司的前三大客户营收占比非常紧人。
[08:28] 他们分别贡献了39%,跟32%,以及17%的营收。这三个数字加总起来,竟然高达单级营收的88%.
[08:36] 这个高达88%的数字,残酷的揭示了巨大的集中度风险。这就是标准的短期红利,对决长期隐患。
[08:44] 高度集中确实带来了近期的业绩大爆发,但也为这家公司未来埋下了订单波动的剧烈风险。
[08:51] 我们在仔细深挖,大家有没有注意到那个被吸食的第四大客户?
[08:56] 原本市场预期第四大客户的营收占比,能够突破10%,但并没有达标。
[09:00] 为什么没达标,是因为最大客户拉获实在太猛了,导致整体的营收分母变大,硬生生把第四大客户给吸食下去了。
[09:07] 这绝对是一个不容忽视的警报暗示,这代表着全年可能难以达成让第四家云端客户占比稳定突破10%的战略目标。
[09:15] 我们必须极度警戒,一旦这前三大客户有任何一家的资本支出稍微放缓,这家公司原本完美无暇的营收成长曲线,必将面临剧烈的考验。
[09:24] 接着我们来拆解这份财报里,最让人血脉喷张的数字。财报明确显示,本季调整后毛利率创下了68.6%的历史新高。
[09:33] 作为硬体基础设施,能有将近七成的毛利,这在业界是非常罕见的。
[09:38] 但是我们从财报细节来看,公司自己也坦诚,这是一个异常的获利峰值。
[09:43] 这个超高毛利主要是源于产品组合的季度差异超标,这其实是短期出货结构所带来的业绩红密。
[09:49] 我们依照产业逻辑判断,当高毛利的新产品在单季出货笔中突然拉高时,就会产生这种货利暴冲的错觉。
[09:57] 公司给出的第四季财测指出,预估毛利率将回落至64%-66%的曲件,这在财务上叫做君子回归,是非常正常的营运现象。
[10:07] 很多散户看到毛利率预期衰退,就会开始恐慌,但大家要知道,公司的长期毛利率目标依然坚守在63%-65%的合理曲件。
[10:16] 这传递了一个极度重要的投资认知,我们必须将现在的高毛利视为短期的产品红利,而未来数据试图收敛,反而属于非常健康的营运厂态。
[10:27] 这种64%以上的毛利率其实已经足以奥斯群雄了,这背后代表的是他们产品具备极强的定价权,就算稍微让力也依然能创造丰沛的进现金流入。
[10:38] 看完货利,我们来看看他们到底怎么花钱,真正能活到最后的赢家,都是在赚钱时敢于疯狂投资未来的公司。
[10:45] 这家公司的战略意图非常明显,他们要在技术拐点上提供绝对充足的资源,企图以巨额资本换取无可撼动的市场领先地位。
[10:53] 财报显示,他们单计调整后营业费用高达7740万美元,计真率高达35%,甚至超出了财测高标。
[11:01] 这种无据侵蚀利润的研发投入完全是为了全力支撑多线产品的开发,其中有2650万美元的核心资本支出是直接杂向采购生产光照。
[11:12] 大家懂半导体的就知道,光照费用是非常昂贵的,这代表有一大批新世代晶片已经完成设计,准备进入投片阶段。
[11:20] 他们为什么敢这样毫不手软的撒钱投资?
[11:22] 因为他们有最强的后盾,也就是高达13亿美元的满债现金水位。
[11:26] 我们推设,在这场人工智慧军备竞赛中,高达7740万美元的研发中央已经住起了一刀对手难以跨越的算力高强。
[11:34] 加上高达13亿美元的现金储备,资本不够雄厚的二现场,根本连上排桌跟他们玩的资格都没有。
[11:41] 有了钱跟技术之后,接下来最现实的问题就是产能。
[11:44] 我们在业界打滚这么久,看过太多,接到满手订单,却被缺料砍单的产具。
[11:50] 但是这家公司的手脚非常快,他们从先进金园到关键光学雷射的供应链产能已经全面包涉,而且一口气,锁定至2027年。
[11:59] 我们来拆解他们的三大防御节点。
[12:01] 首先是节点亦先进制成金园,从12nm到最先进的3nm产能,以获强而有利的保障。
[12:07] 既然台积电这些金园代工厂的产能都拿到了。
[12:10] 那节点二的后段封装产能,自然也不能漏掉,彻底确保了交期无余。
[12:15] 最精彩的是节点三的光学雷射零组件,针对即将提早放量的光学产品,他们居然已经提前两年布置了关键元件。
[12:22] 公司表示,这载现了他们与供应链伙伴达成坚实承诺的防御能力。
[12:26] 将全面支撑预期的量产爬坡需求不让任何零件成为出货半角时。
[12:30] 我们合理推论,这不仅保证了他们自己的出货顺畅。
[12:34] 这对台股相关的封测代工厂,以及工绝元件供应商来说,等于是吃下了一颗定心丸。
[12:39] 跟着这种把产能全包的龙头长走,后续长达两三年的业绩动能,绝对值得我们投资人好好期待。
[12:45] 最后我们要把眼光放远一点,来看看未来的传输规格蓝图。
[12:49] 现在人工智慧机房的部件,就像是在盖一座超级大城市。
[12:53] 各种传输距离,都需要不同的交通工具来调读。
[12:56] 他们在进程精准打击方面布局的仓路产品,更引人注目的是远程的全新利机产品。
[13:01] 这是一条专为远程开发的主动式蓝线。
[13:04] 根据资料显示,这个产品的目标传输距离上看,只30公尺。
[13:08] 这是一款专为人工智慧打造的200G讯号重整晶片,
[13:12] 而且全面支援以太网络,以及各大主流通讯协定。
[13:15] 在时辰表上,预计2027年就会送量,
[13:19] 2028年就会进入正式量产阶段,全面抢供市场。
[13:23] 我们为什么要特别关注这个主动式蓝线呢?
[13:26] 你可以把它想象成机房里的中常图客运,
[13:29] 完美切入了铜线极限与昂贵光线之间的空白地带。
[13:32] 这是一个极度聪明的战略,不去跟既有的光线大厂硬碰硬,
[13:36] 而是自己开创一个兼具成本与传输距离的全新战场。
[13:40] 公司也透露,首发客户预期将带动强大的后续市场效应,
[13:44] 这绝对是未来几年急剧爆发力的成长引擎。
[13:47] 我们推测,只要这个首发专案成功验证,
[13:50] 其他云端巨头绝对会封用而致抢得采用,因为老板都相省钱。
[13:54] 带人工智慧专利基础设施的世界里,只要能兼顾效能跟建制成本的技术,
[13:58] 永远都不缺买单的大老板。
[14:00] 这几十年看下来,很多老古民一听到库存攀升这四个字,
[14:04] 心里就会不自觉地发毛,觉得公司要出事。
[14:07] 这让我想起2018年那场被动元件的库存风暴,
[14:10] 当时多少散户,就是因为没看懂库存性质,最后惨遭主力洗盘。
[14:14] 但今天我们来看这份财报里的库存数据,
[14:17] 大家必须要有完全不同的解读视角,才能看清真相。
[14:21] 财报清楚显示他们的期末库存攀升至2.08亿美元,
[14:25] 单级整整增加了5,780万美元的备料。
[14:29] 这是一笔非常庞大的资金计讶,
[14:31] 但我们从历史的周期经验来判断,
[14:33] 这种库存堆积绝对不是毒药,反而是一颗业绩定性丸。
[14:36] 为什么雷达敢这样说,
[14:38] 因为公司针对这批库存,早就设立了两个非常明确的业绩发射台。
[14:43] 首先第一个发射台就是这些备料,
[14:45] 直接对准了第四季营收4.25亿至4.35亿美元的庞大财设指引。
[14:49] 大家想想,你要做几亿美元的大生意,
[14:52] 手里怎么可能没有几千万美元的零件,随时备着等客户拉货。
[14:55] 再来第二个发射台就是他们为了2027财年第一季,
[14:58] 提前放量的预期需求已经开始大规模囤积战略物资,
[15:02] 特别是针对刚刚提过的光学产品。
[15:05] 客户急着要货,公司当然要先准备好所有的关键领主界。
[15:09] 我们合理推论,在这种高速成长的赛道中,
[15:12] 为了应对接下来的猛暴性量产拉货需求,
[15:15] 拉高库存水位是绝对必要的物理基础。
[15:18] 这就像是打仗前必须先囤积满满的粮草鸦,
[15:21] 没有这些2.08亿美元的库存大地,
[15:23] 后面那些华丽的营收目标根本就是空谈。
[15:26] 接下来我们要进入最硬核的检验阶段,
[15:28] 市场上的利多消息满天飞,
[15:30] 但身为一个务实的投资人,绝对不能指定公司单方面说故事。
[15:34] 为了确认这家公司,是不是真的具备长线投资价值。
[15:37] 下半场,我们必须严密死定这四个决定后续估值的关键指标。
[15:41] 只要有任何一个指标落后,没有跟上预期,
[15:44] 我们推测都会引发外资跟法人机构,
[15:46] 针对股价进行剧烈的向下调整。
[15:48] 第一,我们谴定第四季严受大标略,
[15:51] 财报给出了4.25亿至4.35亿美元的超高营运目标。
[15:54] 这个数字必须完全兑现,
[15:56] 我们才能真正确认全球人工智慧基础建设的落货力道完全没有见到皮太。
[16:01] 第二个指标是,2027谈年的计增长协律,
[16:04] 大家要好好追踪管理层预期的单计中各位说,计增长能不能维持住。
[16:09] 只要这个成长动能一掉下来,
[16:12] 目前市场给予这家公司的超高本一笔,
[16:14] 马上就会面临残酷的估值修正。
[16:16] 第三,我们必须回头简释那个危险的客户结构,
[16:19] 密切观察第四大客户,占比到底能否顺利突破10%。
[16:23] 这是在验证公司实质扩大客户群的能力,
[16:26] 如果一直无法大标,就代表被前三大客户绑架的营运风险,迟迟无法解除。
[16:31] 最后一个指标也是所有硬体产的命脉,就是毛利率底线防守,
[16:35] 获利能不能守住,才是股价最后的强大支撑。
[16:38] 我们要确认第四季的毛利率是不是真的如预期,
[16:41] 温温守在64%到66%的区间。
[16:44] 这可以帮助我们观察产品组合对于真实获利的影响,
[16:48] 这四个数字就是接下来几集财报开讲时,
[16:50] 大家拿来检验的照耀镜。
[16:52] 我们前面谈了很多公司的互惩合跟成长性,
[16:55] 但做投资,永远要把最坏的剧本放在心里,
[16:58] 才不会受重伤。
[16:59] 我们现在来聊聊这家公司最大,
[17:01] 而且是他们自己完全无法控制的总体经济风险,
[17:04] 这优关着未来的生死存亡。
[17:06] 这个风险就是他们极度依赖全球人工智慧资本支出的延续性,
[17:10] 现在整个市场存在着极强的资金红吸效应。
[17:14] 财报数字无情地点出,这家公司惊人的营收极端成长,
[17:18] 几乎全数来自于相关部件还有超大型资料中心的推动。
[17:22] 前面提到前三大客户占了总营收的88%,
[17:25] 这就是最铁的名证,也导致了一个非常危险的现象,
[17:28] 叫做估值的单一绑定。
[17:30] 他们的高成长性跟市场给予的完美估值,
[17:33] 完完全全单一地绑定在云端巨头,资本支出的延续性上面。
[17:37] 这就是我们推测的群雅风险,
[17:39] 一旦云端大厂投资缩手,
[17:41] 供应商的股价就会像自由落体一样摔下来。
[17:44] 大家试想一下,如果微软跟谷歌这些科技巨头,
[17:47] 因为人工智慧应用的变现速度不如预期,
[17:50] 导致未来一两年的投资力道突然放缓。
[17:52] 这将成为这波年增于百分之两百的狂潮面临的最致命总体经济风险,
[17:57] 这是整个产业链都逃不掉的结束。
[18:00] 一旦大老板们开始缩减预讯,
[18:02] 这种极端依赖单一体裁的供应商,
[18:04] 营收坠落的速度绝对会比大家想象的还要快。
[18:07] 这是在堆图高速成长股时,
[18:09] 我们必须时刻保持警惕的忙去,
[18:11] 千万不要被眼前的暴力冲昏了头。
[18:13] 到了节目的尾声,
[18:15] 我们来帮大家梳理一下当前的产业路线大战,
[18:17] 看清楚未来几年,到底谁能真正赚到钱。
[18:19] 每天打开财经新闻,
[18:21] 大家都在疯狂炒作,CPU共同封装工学的概念,
[18:24] 好像只要沾上边的股票,就会飞天。
[18:27] 但我们身为资深股民必须穿越这种遥远的市场迷雾,
[18:30] 而认知,到底什么才是真正能实质变现的终极武器。
[18:33] 公司这份报告很直白地指出,
[18:35] CPU技术在目前的资本市场存在着严重过渡炒作的现象,
[18:40] 残酷的真相是这个技术目前的杂讯大于讯后,
[18:43] 预估未来三年内的市占率仅仅只有低格位数而已。
[18:47] 我们依照产业现况判断,
[18:49] 这代表未来三年内,
[18:51] CPU根本还无法对大多数供应链产生实质庞大的获利贡献。
[18:54] 那些没有实际营收跟获利数字支撑的本梦比,
[18:57] 往往都是主力用来套了散户的残酷陷阶,
[19:00] 相对的,我们再来看看这家公司的真实价值所在,
[19:03] 他们手上的1.6T铜线,还有光学产品,因为预期提前量产。
[19:07] 这才是未来两到三年内能够为云端巨头解决眼下传输瓶颈的实际武器,
[19:12] 也是客户愿意拿现金来排队的原因。
[19:14] 所以我们做投资的定毛点必须非常务实,
[19:17] 看懂这种光铜并进的进程变现能力,
[19:20] 才是现阶段最具有安全编辑的价值发现。
[19:23] 千万不要去追逐虚无飘秒的十年大梦,
[19:25] 要锁定那些未来三年内,
[19:27] 确定能把基础换成现金流的物实企业。
[19:29] 如果您认同这种不随市场情绪起伍,
[19:31] 专注于产业数据跟逻辑推演的分析风格,
[19:34] 请务必订阅价值古雷达频道。
[19:36] 记得开启小铃铛,还有按下喜欢以及分享。
[19:39] 您的具体支持是我们继续深入外决财报细节,
[19:42] 为您锁定优质好股的最大动力。
[19:44] 我是价值古雷达老朋友,我们下集见。
