[00:00] 大家好,投资不想学链砖,锁定价值股雷达。
[02:55] 中间一定要经过他们一套非常严谨的控制系统,这就是西科红城能够卡住客户的价值所在。
[03:01] 第三段就是所谓的代谢工程,也就是把用过的肺业进行分类回收,不然就会造成环境污染。
[03:08] 你看这整条产线从尽料到最后的产出,它等于是班客户全部都包办处理到好了。
[03:13] 雷达在这里,跟你讲一个最核心的重点,在市场上单纯卖药水的人可以说是满街斗事。
[03:19] 可是能够把这整套循环系统盖好,又能长期在厂区帮你固着的厂商,根本就没有几家。
[03:26] 这就是为什么我们说,能够在半导体供应链卡到这个关键位置,那才是真正的硬功夫。
[03:32] 盖一座经元厂是有一定先后顺序的。
[03:35] 前左基础设施,再来是封锁区,也就是函化里面讲的blockout。
[03:40] 然后才是一次配管,接着基台才会进厂,最后再去做二次配管跟所谓的hook minus up。
[03:47] 那西科红城卡的位置到底在哪里呢?
[03:50] 公司表示,也就是基台进厂前的那一段,也就是一次配管的基础工艺系统,这里可以说是他们的主战场。
[03:58] 你想想看,基台都还没有搬进来,他就要负责先把这整套管路给铺好。
[04:03] 要是没有他,先去打底,台积电后面的基台根本就下不去。
[04:07] 他身为台积电供应链的供应商之一,这种角色平常你是完全看不见的。
[04:12] 可是如果缺了他,这整座经元厂根本就盖不起来。
[04:16] 雷达必须跟你讲,这就是所谓水电等级的关键底位,虽然看起来很不起眼,可是却是非他不可。
[04:23] 气科红城这家公司可不是做完一次工程就拍拍屁股走人的,他是靠着四只脚在走路。
[04:29] 第一只脚是工程跟设备,主要做化学品工艺,还有混酸跟西式系统。
[04:34] 这里面最关键的核心技术,就是那个混酸的均匀度要抓得非常准。
[04:39] 第二只脚则是化学品的管理,也就是所谓的PCMP跟Total Network Management。
[04:45] 第三只脚是循环跟节能,包含肺业肺酸的分类回收,还有提供节能的设备。
[04:51] 第四只脚则是最重要的一环,也就是后续的维运服务。
[04:55] 公司表示,他们对台积电有着4小时以内必须到场的严格承诺,甚至是遇到地震这种突发状况,
[05:02] 他们都还要能够随时去紧急支援。
[05:05] 另外,还有四大的人力平台跟零件维护在背后撑着。
[05:09] 听到这里你看出来了没有,他的商业模式就是先帮你建置一次,然后靠着维运服务持你一辈子。
[05:16] 雷达跟你讲,这种深度的绑定方法,会让客户的切换成本变得超级高。
[05:21] 这才是一家资本额,只有3.7亿的小公司,赶去年住半导体超级大客户的真正本钱。
[05:28] 接下来我们来看看实际的数字表现。
[05:31] 从财报上显示,2025年全年的移收做到了38亿元。
[05:35] 这个38亿,其实是从原本预估的31亿上修上来的,表现算是略优于近期的预期。
[05:43] 到了2026年第一季,年增率又再度重上了33%,可见这个成长动能,只真的存在。
[05:49] 可是雷达要在这里跟你讲一个小细节,其实财务长的心里,一直有一个41的目标门槛。
[05:55] 所以看到这个38亿的数字,诶,感觉上还是收一差了那么一口气。
[06:00] 算下来整体的年增幅度大概是21%左右。
[06:04] 不过,这笔账到底要算在哪一年,这个年度的归属还是要等最终的财报确认财算数。
[06:10] 至于到了4月营收,好像有掉下来一点点,公司表示,这纯粹是因为设备跟工程交付的认列时间差造成的。
[06:18] 并不是整体的市场需求有转弱的迹象,后面几个月,自然就会回升上来。
[06:23] 依据整个产业链的逻辑来判断,这种工程款项的认列,本来就是一个月胖,一个月瘦的。
[06:30] 所以这部分的数字波动不用太过在意,大家只要看准长期的趋势就对了。
[06:36] 我们先来看毛利率,这个数字可以说是细科红尘最关键的死穴。
[06:41] 财报显示,2026年第一季的毛利率是23%,虽然比去年同期的21.2%还略微回升了一点点。
[06:49] 听起来好像还不错,可是雷达要你把眼光拉长来看,他在2022年以前的毛利可是高得多。
[06:56] 那时候,因为有海外市场的利润支持,加上成熟制成还有足够的调研空间,钱是比较好赚的。
[07:03] 现在台湾这个市场,公司自己讲得很白,资讯高度透明,竞争又极度激烈。
[07:09] 这条毛利率的线,就是一路往下溜,根本就回不去当年的高点了。
[07:14] 我们推测,这背后,就是一件事,太营收能充得这么快,有相当程度是拿价格去跟对手硬并来的。
[07:22] 也就是说,高毛利的好日子已经是过去事了,未来利润能不能改善,我们绝对不能听他喊。
[07:28] 要为自己既定着看。
[07:30] 看完毛利,我们再来看费用率的变化。
[07:33] 财报显示他的费用率以前高点大概在9%左右,后来一度压到6-7%的谷底。
[07:41] 可是到了今年,这个费用率又明显弹回去了。
[07:44] 为什么会这样呢?公司给了三个理由,一个是新加坡的布局跟成立在地团队。
[07:50] 另一个是为了美国团队建制,找了大钱,还有一个则是相关的体列损失。
[07:55] 管理层对外定调说,这种经历率稍微下滑的状况,纯粹只是短期的现象而已。
[08:01] 雷达邦尼把这几个数字全部串起来看,营收在冲,毛利在压,费用又在电告。
[08:07] 这三件事加起来,依照产业的逻辑来判断,就是一张非常典型的扩张器财报。
[08:13] 他现在是有一边收到营收的甜头,但是又必须一边付出扩张的代价。
[08:19] 这两个正在同时入帐,所以我们投资人真正要盯紧的是,这个转型的代价到底只是短期的痛,还是会拖很久。
[08:29] 最后,雷达要帮你打破一个在市场上流传的迷思。
[08:32] 很多人看到6000亿的建厂蓝图,就整个人害起来了,可是你必须先冷静一下。
[08:39] 那是客户自己的推测蓝图,根本不是细可红尘握在手上的订单,这两者之间差得可多了。
[08:45] 我们把它真正已经吃到的订单拆开来给你看,台湾这部分是最实在的。
[08:50] 公司表示台南有七座厂在建,未来还要新增两座。
[08:54] 中南部也有参与台积电事务厂跟十八厂的案子,高雄更是从2022年就开始接下1.4跟1.6奈米的大单。
[09:03] 海外的部分,日本一厂已经顺利成节,二厂则是把目标放在3奈米以下的支撑,预计明年就要动工。
[09:11] 新加坡也接到了以美关为主的订单,至于美国的部分,讲白了,它现在只是在准备期而已。
[09:18] 公司自己甚至都不把美国算进去现有的在手暗场里面。
[09:22] 所以我们看海外的发展,一定要看它真正吃到嘴里的肉,千万别被客户画出来的大饼冲昏头。
[09:29] 我们先来讲一个比较有想象空间的题材,那就是最近很热门的群环经济。
[09:35] 公司表示他们现在是跟日本的伙伴一起合作,引进了肺业还有肺酸的分类回收技术。
[09:41] 像是工厂排出来的流酸,还有安水以消酸这些东西,他们有办法做到各收各的。
[09:46] 雷达跟你讲,做这个业务比单纯去接建制工程还要好的多。
[09:51] 因为它有一条很长的长尾效应,客户只要一用就等于被粘住了,整体的粘着性会变得更高。
[09:58] 再来就是大家最关心的配息问题,过去细科红尘的配息率其实都不到50%,不过这次公司特别喊出一个目标,
[10:08] 说要把配息率直接拉到50%以上。
[10:11] 擬议的配息大概是7元左右,可是这里雷达要重重的提醒你。
[10:16] 这个7元的配息现在只是擬议的,并不是已经确定要发放的数字。
[10:21] 这整件事全部都还要等到6月24号的股东会正式通过之后才算数。
[10:26] 在股东会开完之前,谁喊都不能做主。
[10:29] 投资人,千万不要先把它当作已经放进口袋的利息。
[10:32] 我们合理推论,公司确实是想对市场释出诚意,可是只要程序一天没走完,它在法律上就是一个变数。
[10:40] 一个资本额才区区3.7亿的小公司,到底凭什么一年可以吃得下这么多的大案子。
[10:46] 雷达仔细看了一下,发现他们主要是靠着三根柱子在签着。
[10:51] 第一根柱子是维运的年作度,靠着4小时到场以及长期的零件维护,直接把客户的切换成本电到操控。
[10:58] 第二根柱子则是他们的技术能力,公司表示他们自然的振动取养机可以大幅降低误差,
[11:04] 而且从2020年开始转其,在台湾跟海外已经累积了快要20项的专利。
[11:10] 第三根柱子则是日治结盟的背景,因为他们跟关东化学合资,还有日本协力厂的长期合作关系。
[11:18] 听起来西科红城的地基好像很稳对不对,可是雷达在这里还是要教你一盆冷水。
[11:23] 我们合理推论,他这条护城河的本质,其实是靠着长期的服务跟信任感去堆出来的。
[11:29] 他并不是那种规模大到别的竞争对手,进不来的死封锁,也不是具有绝对排他心的技术端立必来。
[11:36] 这意思就是说,在这种强敌怀肆的半导体工程市场里面,如果客户哪天真的想要换人,那种潜在的切换风险依然是存在的,大家还是要保持继心。
[11:47] 前面大家都在讲海外市场之未来的成长读久,可是雷达跟你讲,这个主角同时也是现阶段最大的盲区。
[11:54] 第一个最核心的问题,就是他们在手订单的具体金额,到现在就是不愿意揭露。
[12:00] 这等于是没有摆着黑字的数字来帮未来的业绩倍数,你变成只能听公司高层自己怎么讲。
[12:07] 再来我们一个一个地方拆开来看,美国部分公司自己都说现在还在等结果。
[12:12] 而且大客户在美国的建厂进度,以前在市场上就有过落后的记录。
[12:17] 日本的部分,一场工程做完之后,却是一度陷入成绩。
[12:21] 第二座厂到底要做什么高阶之城,到现在也还没有最终顶岸。
[12:26] 中国市场那就更不用说了,基本上已经快要被淘汰,因为对方在地的国产化要求高到不行。
[12:33] 导致他们直接卡在中国本土内卷,还有地缘政治的双重压力里面。
[12:38] 所以你看海外扩张的故事,虽然讲得很漂亮,可是依据整个产业的建厂逻辑来判断。
[12:44] 最不可控的执行风险,也全部都藏在海外市场。
[12:48] 我们听故事可以,但是要下注之前,一定要格外小心。
[12:52] 我们现在把西科红城所有的风险一次摊开来看,雷达在他的财报跟营运现况里面。
[12:58] 看到了四个非常巨大的压力,此时此刻正同时压着他。
[13:03] 第一个最逃痛的就是缺工问题,公司表示他们在台湾每盖一座厂,至少就需要40-50个人在县堂跑。
[13:11] 加上现在政府的法令规范非常严格,导致他们很难去引进外结劳工来资源。
[13:16] 最糟糕的是好不容易培养好的学徒,最后还会被台积电这种大厂用高薪辞细过去,
[13:22] 讲要留住人才可以说是难上加难。
[13:25] 第二个压力就是毛利率被稀释,台湾这个工程市场早就已经变成了一片红海,
[13:30] 而且整体的供应链现在都还在强调,导致他们的利润空间被挤压得越来越薄。
[13:35] 第三个是资金链的压力,他自己的资本额就只有区区的3.7亿,就这么一点点的本钱,
[13:42] 却要在前期提早准备原料,加上工人的工资全部都是按月解算,这会让他们的利息成本必须管得死紧。
[13:49] 第四个则是客户过度集中的风险,目前像是美光,几乎就占了他在海外的绝大部分客户,
[13:55] 而台湾本地则又是以台积电为主要的建厂来源。
[13:59] 这种跟着大客户绑在一起的模式,往往会把未来的营收波动放大的好几倍。
[14:05] 公司现在想出来的结法,是希望透过推动校园的产绝合作来自己培育人才,
[14:10] 还有长期希望透过人工智慧优化流程,以及加强在地的员工培训。
[14:15] 但是雷达要在这里跟你讲大实话,这几招通通都需要时间去磨的慢工,短期内绝对是急不来的。
[14:23] 七科红城在投资市场上到底该怎么定位,雷达在这里要跟你分享一个非常关键的观念。
[14:29] 我们合理推论,七科红城这家公司赚的其实是客户建厂的资本支出财,而不是那种金片卖的好不好,库存多不多的紧记财。
[14:39] 所以你在判断它未来有没有前景的时候,重点根本不在于现在人工智慧这个题材热不热,而是要看客户今年实际上开工了几座场,任列了几座场的工程款。
[14:51] 只要那些半导体大厂能稳定的把新厂房交出了,它的营收表现就会有一个基本盘在支撑,这个核心逻辑你一定要先牢牢抓住。
[15:01] 可是我们反过来思考,这同时也代表了它的风险是比别人还要更提早牵制的。
[15:06] 依据整个半导体产业的运作逻辑来判断,万一哪一天客户的建厂进度发生延荡、细科红城的营收表现,就会比那些晶圆代工厂还要更早,也更剧烈地往下倒以下,因为它就是站在建厂这条供应链的最前端。
[15:20] 所以雷达个人是把它看成观察大厂建厂进度的领先主要。
[15:24] 它绝对不是一党可以让你单纯抱着,完全不看外在环境的半导体高成章股,把这个本质分清楚,你在市场上再不会买错期待。
[15:34] 在节目的最后,雷达直接帮你整理出五个核心治疗,往后这几季你只要死死盯着这几个重点来看就好了。
[15:41] 第一点就是他们的毛利绿宝卫战,看看2026年第一季毫不容易冲上去的那条23%的生命件,在接下来的旺季到底能不能守得住。
[15:50] 第二点是费用率的拐点什么时候出现,也就是海外团队的那些大笔费用体列。
[15:55] 到底是不是像管理层所讲的只是短期限下,能不能在最近几个季度的财报里面快点回落下来。
[16:02] 第三点是月营收的认列节奏,像是先前四月份的营收数字调难一下,后续的月份能不能马上回升上来。
[16:10] 借此向市场证明,这只是工程款,认列的时间差波动,而不是市场需求真的转弱。
[16:17] 第四点是海外市场有没有实质的对戒,例如美国的准备期到底什么时候可以真正变成手上的订单。
[16:24] 日本二场又会在明年的什么时候正式动工,还有新加坡美国那边的单。
[16:29] 究竟何时能变成看得到的实质营收。
[16:32] 第五点,则是那笔股利,到底能不能真正落底,也就是6月24号股东会场。
[16:37] 那个配息期元,跟50%以上的配息率,到底最后能不能顺利通过。
[16:42] 把这五项重要资料顾好,这档股票接下来的这出息,你才有可能安安稳稳地看下去。
[16:48] 如果您认同这种不随市场情绪起伍,专注于产业数据跟逻辑推演的分析风格,请订阅价值股雷达频道,开启小铃铛,按下喜欢跟分享。
[16:58] 您的支持是我们继续挖掘财报细节,锁定优质好股的最大动力。
[17:03] 我是价值股雷达,我们下集见。
