[00:00] 大家好,投资不想随便钻,锁定价值股雷达。
[03:20] 既然还没卖电,那大家肯定好奇,他到底怎么赚钱,
[03:23] 我们就来好好拆解他的商业模式。
[03:25] 公司明确表示,服务就是一家标准的独立发电厂,
[03:29] 这在绿能产业里面,其实是一个很常见的获利模式。
[03:32] 讲白了,就是发电厂通通有他们自己出钱来盖,
[03:35] 盖好之后,再由自己的人马亲自营运管理。
[03:38] 然后,他们会去跟大客户前下长期的购电协议,
[03:42] 把发出来的电,就这样一度一度地卖出去。
[03:45] 透过这种方式,换取一笔稳稳的长约现金流,
[03:48] 这在财务预测上是非常具有吸引力的。
[03:51] 那么,到底买单的客户是哪些大老板呢?
[03:54] 财报显示里面有受到政府严格监管的传统电力公司。
[03:58] 当然,也包含了一些大型的社区聚合商,
[04:01] 以及实力雄厚的传统能源巨头。
[04:04] 还有那些正在疯狂扩建人工智慧资料中心的
[04:07] 超大规模云端业者,这些都是未来的用电怪兽。
[04:11] 我们来看一下合约数字这边,
[04:13] 目前他们已经成功签约了高达6500万瓦的金人发电量。
[04:17] 在背后直接对应的就是72亿美金的合约营售。
[04:20] 这个数字一摊开来,可是会让股价直接跳空的。
[04:24] 而且他们每度电的报价大约落在100-130美金这个区间。
[04:28] 避论空间,抓得还算不错。
[04:30] 讲实在话,这种长线的合约能见度,
[04:33] 对于一家还没发电的公司来说,真的是非常漂亮。
[04:36] 但是雷达这边,一定要特别提醒你一句,
[04:39] 这些看起来很庞大的营售,通通都还是未来之。
[04:43] 我们合理推论这一切庞大利益的前提,
[04:45] 都建立在发电厂最后真的要能够顺利发的出电。
[04:49] 如果不信跳票,那这些几十亿美金的合约,
[04:52] 通通都不算数,股价肯定会面临严重的修正。
[04:55] 所以你看,我们绕了一大圈探讨他的商业模式,
[04:58] 最后的重点,依然又回到了执行这两个字。
[05:02] 其实很多散户朋友,根本不懂这其中的玄机,
[05:05] 想说,第12发电不是几十年前早就已经有了吗?
[05:09] 大家都在怀疑,凭什么Frivol可以把饼画得这么大。
[05:13] 雷达跟你讲,接下来要说的,正是他的核心底气。
[05:17] 传统的低热发电限制非常多,
[05:19] 只能在游温泉或是火山那种非常特殊地质的地方,
[05:22] 才有办法往下挖。
[05:24] 这种点位极度稀少,而且开发难度极高,
[05:27] 说穿了他的本质,就是拿着探测仪器,到处去找低热。
[05:31] 能不能找到,还得看楼天也到底赏不赏饭池,
[05:34] 这种不确定性在资本市场可是大计。
[05:36] 但是服务的做法完全不一样,
[05:38] 他们直接把以前业员有在开采石油的那一套精密技术斑骨来用,
[05:42] 利用最先进的水平钻紧技术,再加上水力压裂法,
[05:46] 这等于是打破地形限制,自己动手制造低热。
[05:49] 公司对外表示,这头全新的打法,
[05:52] 在理论上几乎是全球随处都能够进行大规模的开发。
[05:56] 关于能量输出,这块雷达必须要讲清楚,
[05:59] 公司在财报上用的字眼纯粹就是预估的意思。
[06:02] 我们合理推论,他的野心是想做到传统的好几个量级,
[06:06] 借此赤下整个绿电市场的庞大市占率。
[06:09] 但雷达还是有再次强调问,
[06:11] 这纯粹只是个预估值,而并不是他们现在就已经完全做到的事情。
[06:15] 另外在技术细节上,他走的是空气冷却,加上封闭回圈,
[06:19] 这对于解决环保抗争非常有效。
[06:22] 公司表示这个特殊设计的目的,
[06:24] 主要就是在大幅降低发电过程中的用水量,以及整体的摊排量。
[06:28] 大家冷静下来想想看,一个完全不挑地点,
[06:31] 而且又比较不好水的全新绿色发电法。
[06:34] 在我们现在这个全世界又缺电又缺水的焦虑年代,
[06:37] 这条干净能源的路,会完全没有人要投资吗?
[06:40] 我左看右看都觉得,这绝对是一门好生意,
[06:43] 就看芙芙能不能称道把电成功送出去的那一件。
[06:47] 前面讲完,他们是怎么挖出地热的,
[06:50] 现在这也我们来看看他们到底要怎么复制这个模式。
[06:54] 以前传统地热最大的毛病就是没有标准化,
[06:57] 公司说过去盖电厂,就像是做客制化的手工艺一样。
[07:01] 每次盖一座新的就等于全部都要重新来过,
[07:04] 你用这种方式根本就没有办法把建制成本给降下来。
[07:08] 佛卧这家公司要怎么破解这个死局呢?
[07:11] 他们搞出了一个叫做地热区块的标准化模组。
[07:14] 每一个模组就是五十百万瓦的发电量,
[07:17] 然后就像对金木一样一块一块地往上堆叠起来。
[07:20] 最后变成好几十亿瓦规模的超大型地热发电厂。
[07:23] 大家冷静下来想看,这不就是我们小时候在玩的乐高吗?
[07:27] 这种标准化的做法带来了三个非常明显的好处,
[07:30] 公司特别列出来的就是高度的可重复性以及产出效能的大幅提升。
[07:35] 再加上最重要的大规模制造所带来的经济效益。
[07:39] 雷达跟你讲,这里面其实藏对一个非常关键的细节。
[07:42] 他们在财报里面有一句原话是这么写的,
[07:45] 每当他们往下打一口井,做收集到的所有数据。
[07:49] 全部都在为下一座新电厂的降低成本铺路。
[07:52] 我们合理推论,这就是现代制造业里面最值钱的那条工业化学习曲线。
[07:57] 简单来说,就是电厂盖的欲落成本就会越便宜,
[08:00] 而且挖井的技术也会变得越来越纯熟。
[08:03] 至于这个宏大的计划到底能不能成真?
[08:06] 我们等一下后面还会再回头来好好渴问谈。
[08:09] 大家现在只要先记录这条最重要的学习曲线就好了。
[08:13] 这对后面的股价估值影响非常大。
[08:16] 那大家可能会好奇,为什么偏偏是现在这个时间点爆发?
[08:20] 这就要把眼光方圆去看看整个全球大环境的变化了。
[08:24] 根据公司在财报里面所引用的预估数字来看,
[08:27] 到了2035年,光是可靠的电力容量缺口,就高达98个11万。
[08:32] 到底都是谁在疯狂的把这些宝贵的电力也吃掉了?
[08:36] 其实就是庞大的人工智慧运算,加上美国制造业大举回流。
[08:40] 还有全球都在推动的交通工具电气化局势。
[08:43] 这三支键同时设下来,导致现有的电网,根本就吃不掉。
[08:47] 你要知道这些超大型的耗电锯售,要的到底是什么?
[08:51] 他们要的是一天24小时,绝对不能停工的零碳排机在电力。
[08:55] 像以前那种靠天吃饭的风力发电跟太阳能发电,
[08:59] 那种有一阵没一阵的供电模式,
[09:01] 根本就会不保现在的人工智慧资料中心啦。
[09:04] 不只是市场有强烈需求,连美国政府的政策这边也开始在动了。
[09:08] 财报显示众议院已经正式通过了第1个能源,推进法案。
[09:12] 甚至还有4个周联合起来,搞了一个跨党派的推动联盟。
[09:16] 他们直接把未来的发电目标,大胆地喊到了221万。
[09:20] 雷达跟你讲,我们把这些零碎的市场情报全部兜起来看。
[09:23] 庞大的电力缺口,加上国家级的政策推动,再加上全天后干净电力。
[09:28] 这就是为什么谷歌这种科技巨头,愿意提早跟他们签下31瓦框架合约的底层逻辑。
[09:33] 讲白了中端客户的需求这块,还真的是非常硬。
[09:37] 我们把焦点重新拉回来,看看他们最新的财报数字。
[09:41] 各位看到巨额的亏损数字千万别被吓到了,你要懂得开门到。
[09:46] 公司表示,单级的营业亏损大约是2010万美金。
[09:51] 这对于一家根本还没有开始卖电的新创公司来说,其实算是很正常的。
[09:56] 我们进一步拆解它3184万美金的进损里面,
[10:00] 其实又1314万美金是属于认股权挣的评价损失。
[10:05] 雷达特别把这个数字圈起来要提醒你,
[10:07] 这完全只是非现金的账面数字损失,而不是公司的本业营运在恶化。
[10:12] 我们现在真正要死死盯着的,到底是哪一个关键数字吗?
[10:15] 那就是高达1.728亿美金的单级资本支出。
[10:19] 这代表这台巨大的工程机器,现在正在疯狂的烧钱,
[10:23] 公司还对外公告说,到了2027年第一季为止。
[10:26] 他们预估还要再砸下大概12亿美金的庞大资金,
[10:30] 其中有11亿美金会直接流向他们主力开发的开埔电厂。
[10:34] 剩下的7000万美金,则是会丢去进行其他新值的早期开发。
[10:38] 你要仔细算算看,这烧钱的速度真的是非常恐怖。
[10:41] 到底Fervor还能够撑多久,就全看的口袋到底够不够深。
[10:45] 雷达掏心掏肺的跟你讲看,这种正在跑马圈地的公司。
[10:49] 你一直去盯着那个进损数字看,是完全没有意义的。
[10:53] 你真正要看的,是他们每个月烧钱的速度,以及手上的现金银蛋。
[10:57] 这笔钱到底够不够支撑到他们把电成功发出来的那一天,
[11:01] 这才是决定这家新创公司未来生死的真正名闻。
[11:04] 这次募支的细节里面,其实藏了非常多的美角。
[11:08] 我们仔细来看,公司最新公告的财务数字。
[11:11] 他们总共发行了8050万股,并且以每股27块美金的价格,成功募到22亿美金的毛额。
[11:17] 雷达跟你讲,这个定价非常关键,财报显示,
[11:21] 这个价格可是突破了原本上修期间,才一声声定出来的。
[11:24] 而且连绿鞋机制,都全部形式完毕了。
[11:27] 这等于是市场上疯狂超为认购了,高达26%。
[11:31] 这代表华尔街的法人机构根本就是抢得要买。
[11:34] 那大家肯定会问,Fervor拿这么多钱,到底要去干嘛?
[11:37] 公司高层对外表示,这笔钱原本的规划,
[11:40] 只是要用来吸引到2030年底前,达到一个11瓦的发电容量。
[11:44] 但是现在,钱募的是在太多了,他们就列了几条新的发展水管,
[11:49] 准备要全面加速2030年的各种专案。
[11:52] 包含投入高报酬的研发计划,去拼那个每千瓦三千美金的目标,
[11:56] 还有提前启动2030年之后的全球布局。
[11:59] 我们合理推论,现在投资人,杂大钱买的已经不止是现在的产能,
[12:04] 而是买它未来能不能疯狂加速扩张的这张选择权。
[12:08] 但是雷达这边,一定要特别提醒你一个红灯讯号,
[12:11] Fervor未来的发展方向,虽然讲得非常漂亮,
[12:14] 可是他们现在竟然拒绝给出任何修正过后的营抽预测,
[12:18] 甚至连未来装置容量的数字目标都不愿意给。
[12:21] 这就等于是跟你说,大方向虽然已经确定有了,
[12:24] 但是真正能够落实的具体数字,他现在还不想交卷给你。
[12:28] 我们接下来这些要讲的东西,散户通常最容易忽略,
[12:32] 但这其实才是一家重资产发电公司最硬的底气所在。
[12:36] 公司正式公告他们第一期的开埔电厂专案,
[12:39] 成功拿到了4.214亿美金的无追索,专案融资。
[12:43] 很多投资人可能不懂无追索到底是什么意思。
[12:46] 雷达跟你讲,这就是这笔庞大的债务,
[12:48] 只拿这个单一案子的资产去当作单捕。
[12:51] 就算最后这个电厂案子真的不幸垮了,也不会烦咬到母公司,
[12:55] 这等于是把母公司宝贵的资本全部留着去充斥未来的成长。
[12:59] 大家要仔细想想,为什么这件事情,
[13:01] 对股价非常重要,因为公司表示,
[13:04] 这是市场上最顶级的金融机构愿意放款。
[13:07] 他们居然愿意为一个全新形态的地热案子提供巨额贷款,
[13:10] 这等于是彻底打破了大家原本对绿能新创的悲观假设。
[13:14] 这就直接向全世界证明了,
[13:16] 它这套先进的发电设备是真的可以从银行搬出钱来的,
[13:19] 而且,这绝对还不是一次性的运气好。
[13:22] 公司高层明确讲说,
[13:24] 这次的融资已经变成一个标准的复制范本,
[13:27] 未来他们每一个地热区块模组,
[13:29] 通通都能够直接套用。
[13:31] 他们长期的目标,
[13:32] 去把未来的贷款成熟,稳稳抓在七成左右。
[13:35] 我们合理推论,
[13:36] 这对一家极度依赖重资产的发电商来讲,非常关键。
[13:39] 你到底能不能从银行提息借到非常便宜的资金,
[13:42] 把厂房给顺利盖出来。
[13:44] 这个借钱的能力,
[13:45] 可是直接优管整家公司的生死存亡。
[13:48] 在现在这个高利率的大环境底下,
[13:50] 钱到底借得到,借不到,
[13:52] 这其实比你手上有什么了不起的发电技术,
[13:55] 还要更加要命啊。
[13:57] 讲到科技巨头谷歌签约这块,
[13:59] 很多人看新闻都会搞混。
[14:01] 雷达今天就一次帮你把整个商业脉络,
[14:03] 给彻底釐清。
[14:04] 公司表示,
[14:05] 他们跟谷歌的战略合作,
[14:07] 可是从小案子一路慢慢长大的。
[14:09] 双方一开始,
[14:10] 先是弄了一个红色试点砖二,
[14:11] 只有三百万瓦。
[14:13] 后来测试成功之后,
[14:14] 双方就签署了捷径转型电价协议,
[14:17] 把合作规模,
[14:18] 一举扩大到了一百一十五百万瓦的金人水准。
[14:20] 结果发展到现在,
[14:22] 他直接跳机签署了一个
[14:23] 三十亿瓦的庞大框架协议。
[14:25] 三十亿瓦哦,
[14:26] 这个发电数字,
[14:27] 真的是非常吓人。
[14:28] 但是雷达要提醒,
[14:30] 这里面有个关键细节,
[14:31] 你一定要仔细听清楚。
[14:32] 财报里面白纸黑字明却写了,
[14:34] 这三十亿瓦,
[14:35] 可是纯粹的增量。
[14:37] 他跟我们前面提到的那个
[14:38] 七十二亿美金在手订单,
[14:40] 是完全不重复计算的,
[14:41] 等于这是直接网上
[14:42] 叠加的大力多,
[14:43] 而不是同一笔账。
[14:45] 那投资人肯定会问,
[14:46] 这个超级大饼到底什么时候,
[14:48] 才会变成实实在在的真钱呢。
[14:50] 公司表示,
[14:51] 未来二十四个月内
[14:52] 会陆续转成正式的购电协议。
[14:54] 可是雷达在这边,
[14:56] 还是要压低声音,
[14:57] 偷偷跟你讲一句实话。
[14:58] 这个庞大框架协议,
[15:00] 最后到底什么时候
[15:01] 能够真正落地。
[15:02] 他的整个节奏完全是由
[15:04] 财大气粗的骨骼,
[15:06] 在那边主导的。
[15:07] 意思就是说,
[15:08] 这笔几十亿美金的大订单,
[15:09] 确实就摆在那边。
[15:11] 可是真正的拉货时间表,
[15:12] 是撕死我在大客户的手上。
[15:14] 服务这家小公司,
[15:15] 根本就没有任何筹码,
[15:16] 可以去逼迫人家提早拉货。
[15:18] 这个客户过度集中的专化,
[15:20] 其实是一个不可忽视的营养。
[15:22] 这点我们后面讲到,
[15:23] 营运风险的时候,
[15:25] 还会再回来好好地算这笔账。
[15:27] 公司表示他们专警的技术,
[15:29] 可以说是,
[15:30] 欲专欲猛,
[15:31] 这代表他们炸取地位的效率,
[15:33] 正在大幅提升。
[15:34] 最早在红色专案测试的时候,
[15:36] 温度只有华氏350度,
[15:38] 套馆的直径,
[15:39] 也只有7串而已。
[15:40] 但是到了开埔一期跟二期的时候,
[15:42] 他们成功把温度拉高到400度,
[15:44] 甚至往430度去充斥。
[15:46] 而且套馆直接加出到
[15:48] 8有8分之5寸,
[15:50] 水平段的钻炭距离,
[15:52] 更是拉长到了7500尺这么远。
[15:54] 最新的布兰福特专案数字,
[15:56] 就更夸张了,
[15:57] 温度直接超过了华氏550度。
[15:59] 往下钻炭的深度,
[16:01] 高达11200尺,
[16:02] 最可怕的是,
[16:03] 他们竟然只花了短短11天,
[16:05] 就全部钻完。
[16:06] 这个超强的效率,
[16:08] 让他们获得认证,
[16:09] 一口气具备了10.8个10亿瓦的
[16:11] 庞大发电潜能。
[16:13] 大家仔细想想看,
[16:14] 仅如果能钻得预热,
[16:15] 而且预伸,
[16:16] 同一口紧能炸出来的发电量,
[16:18] 就会变得愈多。
[16:19] 在关键设备这块,
[16:21] 他们也早早就绑定好了。
[16:22] 公司公告,
[16:23] 已经跟供应商
[16:24] 一口气锁定了35台设备,
[16:26] 这直接对应到
[16:28] 1750万瓦的发电量,
[16:29] 另外还有多家国际大厂
[16:31] 都在他们的供应链名单里面。
[16:33] 其中有一家法国大厂,
[16:35] 还特别强调,
[16:36] 是美国在地制造的。
[16:37] 这很明显就是为了要
[16:39] 闪逼未来的关税风险。
[16:40] 再加上,
[16:41] 他们跟挥达合作
[16:42] 导入了数位分身计划,
[16:44] 透过人工智慧去模拟
[16:45] 并且优化整个发电流程。
[16:47] 雷达跟你讲在技术突破,
[16:49] 以及鞏固供应链这两块,
[16:51] Fervor 是真的有在
[16:52] 扎扎实实的链基本功,
[16:53] 绝对不是吹牛的。
[16:55] 前面讲了一大堆
[16:56] 看起来非常漂亮的力多,
[16:58] 从这一开始,
[16:59] 我们就要真正进入深水去了,
[17:02] 公司目前唯一对外
[17:03] 确认过的
[17:04] 长期成本目标,
[17:05] 就是要把建制成本
[17:06] 压到每千瓦
[17:07] 只要三千美金。
[17:09] 现在,最核心的问题来了,
[17:11] Fervor 目前的
[17:12] 实际发电成本
[17:13] 到底是多少钱呢?
[17:14] 财报显示
[17:15] 华尔街分析师推测
[17:16] 现在大概落在
[17:17] 每千瓦五千五百美金,
[17:19] 这可是远远
[17:20] 高于他们的长期目标。
[17:21] 可是请大家特别注意哦,
[17:23] 对于这个推测
[17:24] 数字公司高层的态度,
[17:26] 竟然是不证实也不否认。
[17:27] 你想想看,
[17:28] 要从五千五百美金
[17:30] 一路狂砍到三千美金,
[17:32] 这中间可是差了
[17:33] 将近百分之四十的
[17:34] 巨大成本缺口。
[17:35] 那他到底打算
[17:36] 要用什么具体的方法
[17:37] 去砍成本,
[17:38] 以及预计要花几年的时间
[17:40] 才能够顺利打标呢?
[17:41] 雷达跟你讲,
[17:42] 这就是整份财报里面
[17:43] 最大的破诈,
[17:44] 他们根本就没有
[17:45] 给出任何明确的时间表。
[17:47] 而且也完全没有提供一条
[17:48] 可以让法人去
[17:49] 追踪的成本
[17:50] 收敛路径图,
[17:51] 这在法人圈
[17:52] 是会被打上大问候的。
[17:53] 公司只是给了投资人
[17:55] 一个非常漂亮
[17:56] 又梦幻的终点,
[17:57] 可是从现在要怎么安稳
[17:58] 走到那个终点的路,
[17:59] 他却完全没话给你看。
[18:01] 我们合理推论
[18:02] 现有的高昂成本
[18:03] 到底要多快
[18:04] 才能够收敛到三千美金,
[18:05] 这绝类是这档股票,
[18:07] 估值最大的未知数。
[18:08] 而且目前严重缺乏
[18:10] 可以让市场验证的
[18:11] 财务揭露资讯。
[18:13] 简单来说,
[18:14] 就是终点
[18:15] 看起来很诱人,
[18:16] 可是过程却是
[18:17] 一片模糊。
[18:18] 接着我们来看这一眼,
[18:20] 就更直觉,
[18:21] 我们来好好算算,
[18:22] 在法术会上,
[18:23] 到底闪掉了
[18:24] 哪些关键的直球对决。
[18:25] 第一个被问到的,
[18:26] 又是没词的
[18:27] 实际专警成本
[18:28] 到底是多少,
[18:29] 分析是单刀直入的提问,
[18:30] 结果执行长
[18:31] 竟然直接拒绝回答。
[18:33] 第二个问题
[18:34] 是关于
[18:35] 布兰福特专案的
[18:36] 确切相转市场,
[18:37] 公司得出的官方回答,
[18:38] 竟然是
[18:39] 现在这个阶段
[18:40] 还不适合讨论。
[18:41] 第三个破绽
[18:42] 是第一期专案
[18:43] 实测出来的
[18:44] 流量跟温度到底多少,
[18:45] 公司只用了
[18:46] 符合预期四个字,
[18:47] 就想轻轻带过。
[18:48] 至于真正的
[18:49] 实际测量数字,
[18:50] 他们却是一个
[18:51] 都守不得给,
[18:52] 大家听到这边
[18:53] 有发现
[18:54] Full Rule发言的规律了没。
[18:55] 雷达跟你讲这
[18:56] 三个关键问题
[18:57] 到底有什么共同点,
[18:58] 那就是,
[18:59] 全都是该大方
[19:00] 摊开硬数据
[19:01] 来证明自己的时候。
[19:02] FullFull竟然非常有默契的
[19:04] 全部都选择了
[19:05] 搜索不假,
[19:06] 我从市场经验
[19:07] 来合理推论一下
[19:08] 这里面的选举。
[19:09] 一家新创公司
[19:10] 对外到底
[19:11] 愿意揭露多少的细节,
[19:12] 这个揭露的尺度
[19:13] 本身其实就是一种
[19:14] 非常强烈的市场讯号。
[19:16] 你在讲那些
[19:17] 未来愿景跟报喜的部分
[19:18] 讲的口墨红飞,
[19:19] 可是轮到真的要拿
[19:20] 营运数字
[19:21] 出来证明的时候
[19:22] 就含糊带过。
[19:23] 当然,
[19:24] 这并不代表
[19:25] 他的营运本身
[19:26] 就一定有
[19:27] 什么严重的问题。
[19:28] 但这种财务透明度的
[19:29] 拿捏,
[19:30] 真的会乱人捏把冷汗。
[19:31] 我们这种
[19:32] 在市场打滚多年的
[19:33] 老古民看久了,
[19:34] 心里自然然
[19:35] 就会对FullFull的
[19:36] 诚信多打上一个大问号。
[19:39] 遇到这种该讲清楚的时候
[19:40] 却偏偏不讲的情况,
[19:42] 这件事情本身就非常值得
[19:43] 你在投资笔记上
[19:44] 狠狠地记上一遍。
[19:46] 漂亮的话,
[19:47] 大家前面都听完了。
[19:48] 现在雷达
[19:49] 要把四个最要命的
[19:50] 红灯直接帮你挂在墙上。
[19:52] 第一盞红灯
[19:53] 就是执行风险,
[19:54] 财报上清清楚楚写着,
[19:56] 现在根本就是
[19:57] 零营数的状态。
[19:58] 光是单一季度,
[20:00] 就狠狠烧掉了
[20:01] 1.73亿美金,
[20:02] 而且熟度发电
[20:03] 还要一直等到
[20:04] 2026年第四季。
[20:06] 更扯的
[20:07] 后面两块第二区块的进度,
[20:09] 竟然还偷偷延后到了
[20:10] 2027年第一季。
[20:11] 第二盞红灯
[20:12] 是事故跟监管问题,
[20:14] 公司公告开埔电厂,
[20:16] 最近有一口井
[20:17] 发生了紧奔事故。
[20:18] 虽然公司对外宣称,
[20:20] 这完全没有影响,
[20:21] 可是你在语异上
[20:22] 明显感觉到
[20:23] 他们急着想要降温,
[20:25] 而且他们还公开承论,
[20:26] 已经修改了修顶程序,
[20:28] 雷达跟你讲会去干程序,
[20:29] 就代表本来真的有状况。
[20:31] 第三盞红灯
[20:32] 是谷歌的绝对控制权,
[20:34] 那个三十亿瓦的框架,
[20:35] 其实只是一个
[20:36] 非刚性的合约。
[20:37] 到底什么时候
[20:38] 要转换成真实
[20:39] 订单的节奏,
[20:40] 全是谷歌说了算,
[20:41] 这家新创公司
[20:42] 根本就缺乏强制力。
[20:44] 第四盞红灯
[20:45] 则是苏联瓶颈的问题,
[20:47] 第二期那400万瓦的产能,
[20:49] 目前只有300
[20:51] 拿到并网区科,
[20:53] 等于中间
[20:54] 还缺了大概100万瓦的
[20:55] 发电缺口,
[20:56] 这四盞灯
[20:57] 你心里最好有个底,
[20:58] 别傻傻地往前冲。
[21:00] 我们把前面讲的
[21:01] 所有东西,
[21:04] 就直接告诉你
[21:05] 到底要怎么定性
[21:06] 这档股票。
[21:07] 它绝对不是传统那种
[21:08] 稳稳赚钱的电力股,
[21:09] 你千万别用
[21:10] 每年等着配息的老脑袋,
[21:11] 去算它的价值。
[21:13] 我们合理推论,
[21:14] 这档股票比较
[21:15] 像是一张选择权,
[21:16] 赌的就是
[21:17] 它那条製造业学习
[21:18] 曲线到底成不成立。
[21:20] 我们来看看
[21:21] 最乐观的多头情境
[21:22] 是什么,
[21:23] 公司表示,
[21:24] 它手上可是握有
[21:25] 42个10亿瓦
[21:26] 以上的庞大钱。
[21:27] 要是这种
[21:28] 标准化江本的计划
[21:29] 真的能够达标,
[21:30] 那一大片荒蕪的土地,
[21:31] 就会立刻变成
[21:32] 一座剧情的
[21:33] 现金流工厂。
[21:34] 那万一失败的
[21:35] 空头情境又是什么呢?
[21:37] 要是发电成本
[21:38] 一直卡关降不下来,
[21:39] 或者是一直发生
[21:40] 工程延迟,
[21:41] 那它最后
[21:42] 就只会沦为一家
[21:43] 只能靠的融资序名,
[21:45] 而且股权还会
[21:46] 一直被不断
[21:47] 稀释的超级大海洞。
[21:48] 雷达跟你讲,
[21:49] 它现在的地板
[21:50] 就是那72亿美金的
[21:51] 在手订单,
[21:52] 这个,
[21:53] 长约数字,
[21:55] 而它未来的股价
[21:56] 天花板,
[21:57] 就是那条工业化曲线,
[21:58] 中间能够撑着
[21:59] 这根柱子的,
[22:00] 就只有执行这两个字。
[22:02] 现在,地板已经有了,
[22:04] 但天花板最后
[22:05] 到底会不会塌下来,
[22:06] 这全看它的工程团队
[22:07] 到底做不做得了出来。
[22:09] 最后,
[22:10] 雷达直接把
[22:11] 最重要的投资作业
[22:12] 补交给你,
[22:13] 未来四个季度,
[22:14] 你就死死盯着
[22:15] 这四个格子就好,
[22:16] 你千万别
[22:17] 每天被那些
[22:18] 乱七八糟的新闻
[22:19] 牵着鼻子走,
[22:20] 第一格我们要盯的
[22:21] 公司的生死闸门。
[22:22] 开埔电厂第一期
[22:23] 到底有没有办法
[22:24] 在2026年第四季,
[22:26] 如期顺利地
[22:27] 发出公司历史上的
[22:28] 第一度电。
[22:29] 这一个格子
[22:30] 如果没有喘过去的话,
[22:31] 后面所有的利多
[22:32] 跟远大梦想,
[22:33] 你通通都不用看了。
[22:34] 第二格,
[22:35] 则是紧盯着
[22:36] 它的降本路径,
[22:37] 看它到底哪一天
[22:38] 才肯对外首次揭露
[22:39] 每次的真实赚紧成本。
[22:41] 或者是直接公布
[22:42] 第二期专案的
[22:43] 实测单位成本,
[22:44] 这两个硬数字
[22:45] 只要一出来,
[22:46] 前面的说连问题
[22:48] 第三个要看的是
[22:49] 合约的真实含金量。
[22:50] 谷歌那个
[22:51] 庞大框架的
[22:52] 第一笔到底什么时候
[22:53] 才会转成正式购电协议。
[22:55] 而且转出来的发电量
[22:56] 到底有多少,
