[00:00] 大家好,投资不想随便抓,锁定价值股雷达
[08:35] 光讲技术跟故事
[08:36] 大家可能没感觉
[08:37] 我们直接把财报摊开来
[08:39] 看最实质的营运数字
[08:40] 2026块几年度
[08:42] 全年营收
[08:43] 一举充上
[08:44] 13亿美元大关
[08:45] 年增率高达206%
[08:47] 这就是雷达前面讲的
[08:48] 三倍数狂标
[08:49] 不只营收跑得快
[08:51] 连毛利率这块的表现
[08:52] 也是非常漂亮
[08:54] 全年毛利率高达68.1%
[08:56] 跟去年相比
[08:57] 大幅增长了310个级点
[09:00] 更猛的还在后头
[09:01] 代表公司本业
[09:02] 赚钱效率的营业利益率
[09:04] 在今年更是大幅度改善了
[09:06] 高达2100个级点
[09:08] 你仔细想想看
[09:09] 这几个冷冰冰的数据
[09:10] 在财务上到底代表着
[09:12] 什么惊人的意义
[09:13] 我跟你讲
[09:14] 今天最重要的一句重点
[09:15] 就在这里
[09:16] 他们非公认
[09:17] 会计员则的尽力
[09:18] 达到了6162万美元
[09:20] 年增率一举超过了5倍
[09:22] 换算下来
[09:22] 每股银鱼来到3.46美元
[09:25] 年增率是夸张的392%
[09:28] 你看到了没有
[09:29] 这就是营收3倍数
[09:30] 但经历确实5倍数
[09:33] 这就是雷达在节目上
[09:34] 一直跟大家强调的
[09:36] 营运杠杆威力
[09:37] 财报上写得清清楚楚
[09:38] 营业分用的增加速度
[09:40] 远远低于
[09:41] 整体营收的增长速度
[09:43] 只要外面的大钱一赚起来
[09:44] 绝大部分
[09:45] 都会直接掉到财报的最底下
[09:47] 变成实在在的存利
[09:49] 这种惊人的营运杠杆
[09:50] 绝对不是单一嫉妒
[09:52] 碰运气的找新表现
[09:53] 而是公司整体的货利结构
[09:55] 已经发生了根本性的改变
[09:57] 只要未来的工厂规模
[09:58] 跟出货量进一步拉开
[10:00] 货利就会像这样
[10:01] 直接喷出来给你看
[10:03] 刚刚我们讲了全年的宏观数字
[10:05] 现在我们把镜头拉近
[10:07] 直接来看看第四季的单季表现
[10:10] 我跟你讲
[10:11] 这一页的数据才是真的下人
[10:13] 2026块几年度
[10:15] 第四季营收达到4.37亿美人
[10:17] 计增7%
[10:18] 而年增高达1.57%
[10:20] 这个好成绩
[10:21] 现在还超出了当初财策的最高标
[10:24] 而且货利了先更猛
[10:25] 单季毛利率充上68.3%
[10:28] 一样也是筹约财策上援
[10:30] 非公论会计原则的净利
[10:32] 更来到2.27亿美元
[10:34] 抓新历史记录
[10:35] 这使得单季净利率
[10:36] 达到了惊人的51.9%
[10:38] 等于是外面赚进来1块钱
[10:40] 就能实施在留下5毛多的存利
[10:42] 可是今天最赤裸的脱水数据
[10:44] 其实是在这里
[10:45] 你拿几计算机仔细说说看
[10:47] 这一季他们光是单一季度的净利
[10:50] 居然比去年同期
[10:51] 整整一整季的总营收
[10:53] 还要高出了33%
[10:55] 我跟你讲这句话
[10:56] 大家一定要在脑袋里多读两遍
[10:58] 一季赚到的净利
[10:59] 居然比去年整季卖出去的营业额还要多
[11:02] 这种货利成长的恐怖协律
[11:04] 在现代的股票市场里
[11:05] 真的只能用夸张两个字来形容
[11:08] 而且他们的现金流
[11:09] 完全也跟货利表现对得上
[11:11] 单季营业现金流1.82亿美元
[11:14] 而自由现金流也有一点7.8亿美元
[11:17] 但是同一时间的资本支出
[11:19] 居然采取有480万美元
[11:21] 这种极度倾资产
[11:22] 且高转换率的营运模式
[11:24] 根本就是一台在市场上
[11:25] 疯狂开动的印钞机
[11:28] 现阶段都已经赚成这样了
[11:29] 那大家最关心的下一个
[11:30] 快级年度表现到底会怎么样
[11:33] 这一页你最重要
[11:34] 是要看懂这条成长曲线的形状
[11:37] 绝对不能只探表面上
[11:38] 那些冷冰冰的预测数字而已
[11:40] 公司目前给出来的全年发展目标
[11:43] 营收年增率预估会超过80%
[11:45] 而毛利率表现跟今年相比
[11:47] 大致上是持平的
[11:49] 在营业费用方面
[11:50] 年增率大约是50%
[11:52] 使得整年的整体经历率
[11:53] 依然可以维持在50%左右的高水准
[11:56] 其中第一季的财务指引营收
[11:58] 落在4.65亿美元
[11:59] 到4.75亿美元之间
[12:01] 毛利率区间预估
[12:02] 则是在67%到69%
[12:05] 可是今天最重要的关键魔鬼
[12:07] 其实是藏在这里
[12:08] 他们的管理层在法苏会上
[12:10] 自己很明白地讲
[12:11] 整个上半年的营收表现
[12:13] 预计只会维持
[12:14] 个位数中断的季度增长
[12:16] 诶 大家听清楚哦
[12:18] 这意味着
[12:18] 上半年仅有个位数的微幅增长
[12:21] 这代表真正要让业绩
[12:23] 往上暴冲的黄金拐点
[12:24] 完全被压在下半年的时间点了
[12:27] 所以你把这条成长曲线
[12:28] 在脑袋里小象一下
[12:30] 它长什么样子
[12:31] 前面上半年
[12:31] 就是平平地慢慢往上爬
[12:33] 要等到下半年
[12:34] 才会整个大角度
[12:35] 翘起来往上喷
[12:36] 我们从这里就能合理推论
[12:38] 这超过80%的
[12:39] 惊人成长预期
[12:41] 重心全部都重压
[12:42] 在下半年的出货表现
[12:44] 公司给的乐观指引
[12:45] 雷达当然愿意相信
[12:47] 可是雷达也要在这边提醒大家
[12:49] 未来能实现承诺的兑现风险
[12:51] 全部都集中在还没有到的那几季
[12:54] 前面平稳
[12:54] 而后面充满堵住
[12:56] 这就是这档股票
[12:57] 现阶段最真实的投资本质
[13:00] 那如果下半年的业绩
[13:01] 想要大角度翘起来
[13:02] 这时候
[13:03] 到底要靠谁来带头往前冲
[13:05] 答案其实已经很明显了
[13:07] 就是光通讯产品
[13:08] 这就是接下来整个
[13:09] 成长棒子
[13:10] 要交过去的核心主角
[13:12] 公司给出的发展目标
[13:14] 是2027块几年度的
[13:15] 光通讯总营收
[13:17] 要一举跨过6亿美元大关
[13:19] 而背后
[13:19] 主要有三条大腿在撑的
[13:21] 第一条是光炫号出了7斤片
[13:23] 旗下的罗宾系列
[13:24] 主打100G的市场
[13:26] 而卡丁娜系列
[13:27] 则主打全新200G的规格
[13:29] 第二条大腿
[13:30] 则是细光子光电积极电路技术
[13:33] 传输数率
[13:34] 完美覆盖了800G到1.6G
[13:36] 未来的技术路线图
[13:37] 更是已经一路铺到了3.2T
[13:40] 而第三条大腿
[13:41] 就是我们前面一再强调
[13:42] 而且他们最引以为傲的
[13:44] 零非普高可靠度光模组产品
[13:46] 不过这里有一个隐藏的关键
[13:48] 大家一定要学会怎么去算
[13:49] 公司说
[13:50] 这三条大腿
[13:51] 在未来的快纪年度
[13:53] 各自都能贡献超过1亿美元
[13:55] 可是奇怪的是
[13:56] 他们预估的加总数字
[13:58] 却会超过6亿美元
[13:59] 1亿加上1亿再加上1亿
[14:01] 在数学上怎么算
[14:02] 都不可能会突然变成6亿
[14:05] 所以我们
[14:05] 从业务逻辑来合理推论
[14:07] 这就代表着
[14:09] 里面必定有某一条大腿
[14:11] 未来的业绩贡献
[14:12] 是远远超过1亿美元这个地标的
[14:15] 至于到底是哪一条产品线这么猛
[14:17] 我们后面就会帮大家
[14:18] 把这个谜底给拆解开来
[14:20] 连他们的财务长
[14:21] 也亲自拆解数据给大家听
[14:23] 下个快纪年度
[14:24] 绝对金额的挣扎
[14:26] 大约有一半是来自光通讯
[14:28] 而另一半
[14:29] 则是来自铜板
[14:31] 这就轻轻处处代表
[14:32] Cradle正在从过去
[14:33] 以铜纳为主的模式
[14:35] 正是走向铜光双引擎的时代交办
[14:38] 光通讯的故事讲完之后
[14:40] Cradle在后面
[14:41] 其实还藏了更长远的秘密网牌
[14:43] 可是大家在看这一页的时候
[14:45] 必须要先把时间抖给搞清楚
[14:47] 因为这三张牌全部都是
[14:48] 二零二八块几年度
[14:49] 才会登场的产品
[14:51] 绝对不是现在就能立刻贡献营售的
[14:53] 第一张牌是
[14:54] 微型发光2GT主动功蓝
[14:56] 它把原本主动式电缆那一套
[14:58] 高可靠度跟低功耗的优势
[15:00] 直接延伸到大约30公尺长度的
[15:02] 光通讯连接上面
[15:03] 第二张牌
[15:04] 这是他们底下的织网产品
[15:06] 这是一种
[15:07] 类似变速箱的晶片技术
[15:09] 主要用来解决人工智慧伺服器里面
[15:11] 记忆体平宽不够的严重瓶颈
[15:14] 目前他们的第一个首发客户
[15:15] 叫做正电子公司
[15:17] 做的是2T低功耗倍速记忆体的推论引擎
[15:20] 公司自己预估未来每颗运算晶片
[15:23] 预计可以给他们贡献
[15:24] 高达二千到三千美元的营出
[15:27] 第三张牌
[15:28] 这是CPU跟NPU架构
[15:30] 也就是市场上最热门的次世代
[15:31] 供风装光学技术
[15:33] 这部分的初始营收
[15:34] 一样是要等到2028块几年度
[15:37] 可是雷达
[15:38] 要在这边
[15:39] 特别提醒大家这句话
[15:40] 这些听起来很厉害的题材
[15:42] 现在都只是记录市场的想象空间
[15:44] 根本还没有被记录
[15:45] 2027块几年度的财报指引里面
[15:48] 意思就是说
[15:49] 这些全部都是后年才会发生的故事
[15:52] 你现在拿来做梦可以
[15:53] 但是如果想要拿来分今年的照
[15:55] 那雷达跟你讲是绝对不行的
[15:57] 大家一定要听清楚
[15:59] 这些是2028块几年度的事情
[16:01] 绝对不是现在
[16:03] 前面讲的数据跟技术
[16:04] 看起来都很完美
[16:06] 现在我们得进入真正考验
[16:07] 基本面的深水区
[16:09] 雷达要来问一个
[16:10] 虧楼在法术会上
[16:11] 最不想回答的敏感问题
[16:13] 那就是他们的客户集中度
[16:15] 从财报上可以清清楚楚的看到
[16:18] 2026块几年度第四级虧楼
[16:20] 有4个营收占比
[16:21] 超过10%的超级大客户
[16:23] 而且
[16:24] 这4家全部都是美国本土的
[16:26] 科技巨头
[16:27] 他们的营收占比分别是
[16:28] 34%
[16:29] 27%
[16:30] 16%
[16:31] 以及10%
[16:33] 你现在拿起笔来
[16:34] 把前三大客户的证比加起来
[16:36] 惊人的数字出来了
[16:37] 居然高达77%
[16:40] 而且工时单一最大客户一家
[16:42] 就吃掉了他们
[16:43] 等等34%的营业额
[16:45] 诶
[16:46] 这个夸张的数字
[16:47] 你真的敢看吗
[16:48] 我们从市场的运作逻辑
[16:50] 来合理推轮
[16:51] 这就是虧楼现在面临
[16:53] 最真实的风险本质
[16:55] 他们的营运命运
[16:56] 等于是跟少数几家超大规模
[16:58] 业者的资本支出节奏
[17:00] 深度绑在一起
[17:01] 未来只要这里面的
[17:02] 任何一家客户
[17:03] 把订单稍微微调一下
[17:05] 对cradle来讲
[17:05] 造成的冲击
[17:06] 都会被剧烈放大
[17:08] 这就是标准的一家客户
[17:10] 只要打个喷涕
[17:11] 他们整间公司
[17:12] 就要跟着重感冒
[17:14] 那面对这种客户
[17:15] 过度集中的老问题
[17:17] 公司到底有没有拿出
[17:18] 什么解放
[17:20] 有
[17:20] 管理常在会上
[17:21] 特别点明了
[17:22] 新兴的人工智慧
[17:23] 云端服务商这个全新客群
[17:25] 他们认为未来
[17:26] 合计是有机会
[17:27] 可以达到整体营作
[17:28] 20%的量级
[17:30] 可是雷达跟你讲
[17:31] 你现在要把这四个字
[17:32] 在心里圈起来
[17:34] 那就是有机会这三个字
[17:36] 因为这只是公司目前给出来
[17:37] 分散化发展的掌握目标
[17:39] 绝对不是已经兑现的继承事实
[17:41] 未来到底能不能真的做到
[17:43] 我们后面几集必须要盯紧一点
[17:46] 这一页是我们整份分析报告里面
[17:48] 与其最尖锐的地方
[17:49] 雷达在这里
[17:50] 看到了两个市场警报
[17:52] 我们接下来一个一个看清楚
[17:54] 第一个警报
[17:55] 是管理常在法说会上
[17:56] 亲口下修的语气
[17:58] 当现场分析时追问关于
[18:00] 1.6T
[18:01] 也就是
[18:01] 单通到200G的规格
[18:03] 到底什么时候才能放量出货的时候
[18:06] 管理层很直白的坦言
[18:07] 2027块几年度
[18:08] 这部分的营收贡献
[18:10] 相对来说会非常轻微
[18:12] 为什么会这样
[18:13] 因为现在整个人工智慧产业的
[18:14] 配套设备
[18:15] 根本还没到位
[18:17] 未来的出货时辰
[18:18] 全部都掌握在客户的手上
[18:20] 像是罗宾平台那辈的进度
[18:22] 我跟你讲
[18:23] 原本市场最期待
[18:24] 觉得会爆发的那颗光通讯引擎
[18:27] 现在被公司自己主动往后推迟了
[18:29] 这绝对不是外面市场的乱猜
[18:31] 而是公司高层自己释放出来的保守均号
[18:34] 而第二个警报
[18:35] 就显得更微谅了
[18:36] 当时有人很犀利的提问
[18:38] 问他们光通讯
[18:39] 在第一季单季
[18:40] 到底能贡献多少产值
[18:42] 你猜公司怎么回答
[18:43] 他们一直拿全年会超过
[18:45] 6亿美元这个大数字来回答
[18:47] 就是不肯拆开来讲
[18:48] 第一季
[18:49] 单季的具体数据
[18:51] 这里雷达奥
[18:52] 要先跟大家讲清楚分流
[18:54] 公司
[18:54] 其实没有在闪躲
[18:56] 他们只是不拆单季数字
[18:58] 可是我们从业务面
[18:59] 合理推论
[19:00] 他们之所以不拆单季
[19:02] 近期光通讯的十字贡献
[19:03] 八成还非常小
[19:05] 所以在现阶段暂时不小要量化它
[19:07] 这是雷达主观的专业判断
[19:09] 而不是在做实
[19:10] 他们在闪躲问题
[19:11] 这在市场上
[19:12] 就是一个愿打一个愿爱
[19:14] 可是大家心里一定要有点
[19:16] 今年最重要的
[19:17] 光通讯拐点
[19:19] 最快也必须要等到下半年
[19:20] 才有可能在财报上
[19:22] 看到明显的成果了
[19:24] 警报其实还没有完全解除
[19:26] 我们在这一页
[19:27] 必须要把三个非常关键的指标
[19:28] 放在一起看
[19:30] 第一个就是大家最关心的
[19:32] 硬体供应量问题
[19:33] 目前所有单通到
[19:34] 200G的次世代新产品
[19:36] 全部都是重压在
[19:37] 最先进的三奈米之城
[19:39] 你仔细想想看
[19:40] 现在全球的三奈米产能有
[19:41] 多么紧巧
[19:42] 这根本是全产业所有科技巨头
[19:44] 都在疯狂抢夺的战略资源
[19:47] 公司在法说会上
[19:48] 虽然一直强调
[19:49] 他们跟金元代工厂的
[19:50] 供应商关系非常深厚
[19:52] 可是雷达在这边
[19:53] 要老实跟你讲
[19:54] 这种说法在市场上
[19:55] 只能叫做信心喊话
[19:57] 绝对不能当做
[19:58] 保证拿得到产能的绝对保证
[20:01] 第二个是库存先行的警讯
[20:03] 财报显示
[20:03] 他们第四季的库存金额
[20:05] 比上一季
[20:06] 主组增加了大约4295万美元
[20:08] 在下半年产品
[20:09] 准备要全面放量之前
[20:11] 先提早大量突祸
[20:12] 在商业逻辑上
[20:13] 本来算是非常合理的常态
[20:15] 可是你也要反过来
[20:16] 换个角度讲
[20:17] 万一下半年管理层预期
[20:19] 那根向上喷处的
[20:20] 曲棍球杆
[20:20] 没有如期速起来
[20:22] 这批挤压在仓库里面的
[20:24] 高额库存
[20:24] 到时候
[20:25] 就会回头狠狠的咬你一口
[20:27] 变成严重的资产减损
[20:29] 第三个要注意的
[20:30] 是现金水位的变化
[20:32] 虽然目前他们账面上看起来
[20:33] 还有高达14亿美元的现金
[20:36] 这数字看起来
[20:37] 确实非常爽快
[20:38] 可是第一级
[20:39] 因为他们去完成了
[20:40] 一种大型的技术并购案
[20:42] 导致单级的现金进流出
[20:43] 高达大约7亿5千万美元
[20:45] 在这笔庞大的大额资金出账之后
[20:48] 他们整间公司的现金水位
[20:49] 其实已经出现
[20:50] 非常明显的往下掉
[20:51] 大家千万不能忽视
[20:53] 这个资金流效
[20:54] 底下财务长还特别补伤了一句
[20:56] 管理层名讲
[20:57] 未来既没有增值的打算
[20:59] 也没有要进场实施库场股
[21:01] 他们之下把手上的现金保留下来
[21:03] 用在未来可能出现的
[21:04] 机会性并购弹性上
[21:06] 这代表他们想把手上的好牌
[21:08] 全部自己留着用
[21:09] 短时间内
[21:09] 不会有任何回馈股东的动作
[21:12] 接下来
[21:13] 我们必须要跳出
[21:14] 表层的财务数字
[21:15] 来进行更深一步的产业
[21:17] 第二层思考
[21:18] 我们前面在第九页
[21:19] 也特别留下来的
[21:20] 那个家种不对劲的弥团
[21:22] 在这一页
[21:22] 雷达就要亲自帮大家解开
[21:24] 我们先来看长期的战略布局
[21:26] 管理层认为光通讯跟铜篮业务
[21:29] 最终可以做到个战一半
[21:31] 甚至在未来的几年之内
[21:32] 光通讯的营收贡献
[21:34] 是有机会可以彻底超越传统铜篮的
[21:36] 为什么高层会给出这么大胆的预测
[21:39] 因为光通讯模组可插拔的整体市场规模
[21:42] 远远大于他们目前靠主动式电缆
[21:44] 所吃下来的那个特定市场
[21:46] 而这里面
[21:47] 最关键的魔鬼
[21:48] 其实是隐藏在产品的平均单价结构里面
[21:52] 我跟你讲
[21:52] 这才是目前被整个市场严重低估的核心秘密
[21:55] 光学号处理其晶片跟细光子的单价
[21:58] 其实都只是卡在两位数美元的普通水嘴而已
[22:01] 可是他们最核心的零C曝光模组产品
[22:05] 单价居然是勾达今年的三位数美元
[22:08] 你现在用三位数的庞大单价
[22:10] 才以出货量
[22:11] 前面那个家种逻辑的谜底
[22:13] 就完全解开了
[22:14] 前面提到这三条产品
[22:16] 价在未来的快纪年度
[22:17] 合计会超过6亿美元
[22:18] 里面必定有一条贡献远超1亿美元
[22:21] 那一条毫无疑问
[22:23] 就是这个高单价的零C曝光模组产品
[22:25] 它注定会是未来整个
[22:26] 光通续业务里面绝对最大的营收贡献者
